5e650df87cb1e05336c83a30152b8bb251117000bc28ec66f9e03c3073a055e3,1a4bc6cc5459b0f6f92d8cfb97ad68ba02f605711ca3f88f6511e15a7b0715a5,eb4b954aa14f04ab2d5cbc57125e4038e265494ec13ba7d5a655959e049e62f8,bdf4231d9bf4903a5b3ae6039967eeb0e04ce79500c85778089a70573a3f2cc8,839ab1c64877c1e654aefcd08ac99e5d96ddf226b3f85e788bf03cc3831d0b38
"5213062","10213","1","10213001","9000277"
"5213064","10213","2","10213002","9000278"
"5213066","10213","3","10213003","9000279"
"5213068","10213","4","10213004","9000280"
"5213070","10213","5","10213005","9000281"
"5213072","10213","6","10213006","9000282"
"5213074","10213","7","10213007","9000283"
"5213076","10213","8","10213008","9000284"
"5213078","10213","9","10213009","9000285"
"5213080","10213","10","10213010","9000286"
"5213082","10213","11","10213011","9000287"
"5213084","10213","12","10213012","9000288"
"5213086","10213","13","10213013","9000289"
"5213088","10213","14","10213014","9000290"
"5213090","10213","15","10213015","9000291"
"5213092","10213","16","10213016","9000292"
"5213094","10213","17","10213017","9000293"
"5213096","10213","18","10213018","9000294"
"5213098","10213","19","10213019","9000295"
"5213100","10213","20","10213020","9000296"
"5213102","10213","21","10213021","9000297"
