43011d460df5c2949197b08074edf6b3dadd22e3ad661bddab56843066051669,b0759ea17a7ba3994dbae25cc75d19a9c8462394e16e3b6011455579bdc7a248,29c477a41b1a1b3add09dde5ceef575081b736ebe6b0b0ef25be40862795a434,b0caa57818d193c8a56920d047c31fa86e0706620af198d44897a7b764c9a9a4,57ef3ec975f6ed43d0463a584f079c722e066764eb2673733b6e8e912a9fe5ac
"10000101","100001011","12","150000","94002"
"10000101","100001012","2","6","22003"
"10000102","100001021","12","500000","94002"
"10000102","100001022","2","6","22003"
"10000103","100001031","12","500000","94002"
"10000103","100001032","4","3","140001"
"10000103","100001033","2","3","25001"
"10000104","100001041","12","500000","94002"
"10000104","100001042","2","6","22003"
"10000105","100001051","12","500000","94002"
"10000105","100001052","4","4","140001"
"10000105","100001053","2","4","25001"
"10000106","100001061","12","500000","94002"
"10000106","100001062","2","6","22003"
"10000107","100001071","12","500000","94002"
"10000107","100001072","4","4","140001"
"10000107","100001073","2","4","25001"
"10000108","100001081","12","500000","94002"
"10000108","100001082","2","6","22003"
"10000109","100001091","12","500000","94002"
"10000109","100001092","4","4","140001"
"10000109","100001093","2","4","25001"
"10050501","100505011","12","120000","94002"
"10050501","100505012","2","3","22003"
"10050502","100505021","12","120000","94002"
"10050502","100505022","2","4","22003"
"10050503","100505031","12","120000","94002"
"10050503","100505032","2","4","22003"
"10050511","100505111","12","120000","94002"
"10050511","100505112","2","3","22003"
"10050512","100505121","12","160000","94002"
"10050512","100505122","2","4","22003"
"10060601","100606011","12","120000","94002"
"10060601","100606012","2","3","22003"
"10060602","100606021","12","120000","94002"
"10060602","100606022","2","4","22003"
"10060603","100606031","12","120000","94002"
"10060603","100606032","2","4","22003"
"10060611","100606111","12","120000","94002"
"10060611","100606112","2","3","22003"
"10060612","100606121","12","160000","94002"
"10060612","100606122","2","4","22003"
"10070701","100707011","12","120000","94002"
"10070701","100707012","2","3","22003"
"10070702","100707021","12","120000","94002"
"10070702","100707022","2","4","22003"
"10070703","100707031","12","120000","94002"
"10070703","100707032","2","4","22003"
"10070711","100707111","12","120000","94002"
"10070711","100707112","2","3","22003"
"10070712","100707121","12","160000","94002"
"10070712","100707122","2","4","22003"
"10080801","100808011","12","120000","94002"
"10080801","100808012","2","3","22003"
"10080802","100808021","12","120000","94002"
"10080802","100808022","2","4","22003"
"10080803","100808031","12","120000","94002"
"10080803","100808032","2","4","22003"
"10080811","100808111","12","120000","94002"
"10080811","100808112","2","3","22003"
"10080812","100808121","12","160000","94002"
"10080812","100808122","2","4","22003"
