8caf32071655bf78716b25e23b1ddb761b0fd288078b3311854bd1dfe7fe5b30,9cf3c6dc80707a0a20c6feffb97aaa0b168c88498e8c124a06f0e5cda75dff34,3e8ddd1ae59585d54cac9162158f19673432935c2491bd874f07cf84bf9bfe63,dc11d6f10ef3099b01506062fcf92c7024c5101fcf7d73ef6354dbc917d212ba,b7f1f6276236a2590ae7546ddbdb512d7f966e1baee6a9a368854e5324d6033b,4c34f1d1d380a3bba0622b576030d7f11f3dfb7e549699c1a220ed5006db1e33,ea9159a060314f3d32b4b267f168e4abb83a2d318916bcd51971b628c752f73b,288f3ecb0e3eeac8448bdf0cad18cf47f8ceabd35d36264382dd3736d27dfd3d,1001fada0bee7eef436dfece14c98e86a201ce22896d9e98cbb2288bfbe29b95,b4c40355ea66266f61eae1427ce5e6aa23680adfbcb34d7338c99965642ea227,ff53eb0c90db39df4cc29f49b22a0f7936dcdd25b27861577d9deed91b0120fb,16ed4a68f85a35302bad4f07e8d81c9d3984d5397c04d37840b07ea345cbef87
"924071100","0","1","924072101","92407110","90","1","500000000","1","92407","92407120","924073101"
"924071200","92407110","2","924072102","92407120","90","2","1000000000","1","92407","92407130","924073102"
"924071300","92407120","3","924072103","92407130","90","3","1500000000","1","92407","92407140","924073103"
"924071400","92407130","3","924072104","92407140","90","4","0","1","92407","0","924073104"
"924072100","0","1","924072201","92407210","90","1","500000000","1","92407","92407220","924073201"
"924072200","92407210","2","924072202","92407220","90","2","1000000000","1","92407","92407230","924073202"
"924072300","92407220","3","924072203","92407230","90","3","1500000000","1","92407","92407240","924073203"
"924072400","92407230","3","924072204","92407240","90","4","0","1","92407","0","924073204"
"924073100","0","1","924072301","92407310","90","1","500000000","1","92407","92407320","924073301"
"924073200","92407310","2","924072302","92407320","90","2","1000000000","1","92407","92407330","924073302"
"924073300","92407320","3","924072303","92407330","90","3","1500000000","1","92407","92407340","924073303"
"924073400","92407330","3","924072304","92407340","90","4","0","1","92407","0","924073304"
"924081100","0","1","924082101","92408110","90","1","500000000","1","92408","92408120","924083101"
"924081200","92408110","2","924082102","92408120","90","2","1000000000","1","92408","92408130","924083102"
"924081300","92408120","3","924082103","92408130","90","3","1500000000","1","92408","92408140","924083103"
"924081400","92408130","3","924082104","92408140","90","4","0","1","92408","0","924083104"
"924082100","0","1","924082201","92408210","90","1","500000000","1","92408","92408220","924083201"
"924082200","92408210","2","924082202","92408220","90","2","1000000000","1","92408","92408230","924083202"
"924082300","92408220","3","924082203","92408230","90","3","1500000000","1","92408","92408240","924083203"
"924082400","92408230","3","924082204","92408240","90","4","0","1","92408","0","924083204"
"924083100","0","1","924082301","92408310","90","1","500000000","1","92408","92408320","924083301"
"924083200","92408310","2","924082302","92408320","90","2","1000000000","1","92408","92408330","924083302"
"924083300","92408320","3","924082303","92408330","90","3","1500000000","1","92408","92408340","924083303"
"924083400","92408330","3","924082304","92408340","90","4","0","1","92408","0","924083304"
"924091100","0","1","924092101","92409110","90","1","500000000","1","92409","92409120","924093101"
"924091200","92409110","2","924092102","92409120","90","2","1000000000","1","92409","92409130","924093102"
"924091300","92409120","3","924092103","92409130","90","3","1500000000","1","92409","92409140","924093103"
"924091400","92409130","4","924092104","92409140","90","4","0","1","92409","0","924093104"
"924092100","0","1","924092201","92409210","90","1","500000000","1","92409","92409220","924093201"
"924092200","92409210","2","924092202","92409220","90","2","1000000000","1","92409","92409230","924093202"
"924092300","92409220","3","924092203","92409230","90","3","1500000000","1","92409","92409240","924093203"
"924092400","92409230","4","924092204","92409240","90","4","0","1","92409","0","924093204"
"924093100","0","1","924092301","92409310","90","1","500000000","1","92409","92409320","924093301"
"924093200","92409310","2","924092302","92409320","90","2","1000000000","1","92409","92409330","924093302"
"924093300","92409320","3","924092303","92409330","90","3","1500000000","1","92409","92409340","924093303"
"924093400","92409330","4","924092304","92409340","90","4","0","1","92409","0","924093304"
"924101100","0","1","924102101","92410110","90","1","500000000","1","92410","92410120","924103101"
"924101200","92410110","2","924102102","92410120","90","2","1000000000","1","92410","92410130","924103102"
"924101300","92410120","3","924102103","92410130","90","3","1500000000","1","92410","92410140","924103103"
"924101400","92410130","4","924102104","92410140","90","4","0","1","92410","0","924103104"
"924102100","0","1","924102201","92410210","90","1","500000000","1","92410","92410220","924103201"
"924102200","92410210","2","924102202","92410220","90","2","1000000000","1","92410","92410230","924103202"
"924102300","92410220","3","924102203","92410230","90","3","1500000000","1","92410","92410240","924103203"
"924102400","92410230","4","924102204","92410240","90","4","0","1","92410","0","924103204"
"924103100","0","1","924102301","92410310","90","1","500000000","1","92410","92410320","924103301"
"924103200","92410310","2","924102302","92410320","90","2","1000000000","1","92410","92410330","924103302"
"924103300","92410320","3","924102303","92410330","90","3","1500000000","1","92410","92410340","924103303"
"924103400","92410330","4","924102304","92410340","90","4","0","1","92410","0","924103304"
