8aa458a295fa4743c382c2720b47c35e8b2e450f2aa819168a5895e2ef27148b,701b6705ab58767d67264bef8e81a7a6d1582a7f9973e9f78f9c17bd16bc49b8,d795cbd7c39cc98376340d43d933b8748fca195f6a8544fd611adc1a6dbe284e,981d22213b782e093948c7bcf8935dac366d6ed4d65524ffd8f578d0302268ed,8bf916254cdb93eb19a317fda55d97f104058a784aae5924286b32264ab6b95d,e0e0a30869cab5a2102e656b7f794e7333f08750a4bb520916c63994aac3a8e9,c78c273694361f4beb7bb58aff750218cf91d8e7d979dc3be2772c8fa7bad0c6,698b7053721f9b97e292d45d9c926941ac43e324cc6442d441662c38e1aedf91
"平凡な未鑑定トレジャー","200","100","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な\n未鑑定トレジャー","1","1","53001"
"貴重な未鑑定トレジャー","400","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な\n未鑑定トレジャー","1","2","53002"
"至高の未鑑定トレジャー","800","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の\n未鑑定トレジャー","1","3","53003"
"平凡なジェムストーン","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","0","1","53004"
"貴重なジェムストーン","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","0","2","53005"
"至高のジェムストーン","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","0","3","53006"
"平凡なインゴット","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","0","1","53007"
"貴重なインゴット","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","0","2","53008"
"至高のインゴット","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","0","3","53009"
"平凡なスクロール","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","0","1","53010"
"貴重なスクロール","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","0","2","53011"
"至高のスクロール","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","0","3","53012"
"平凡なティアラ","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","0","1","53013"
"貴重なティアラ","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","0","2","53014"
"至高のティアラ","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","0","3","53015"
"平凡なルーン","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","0","1","53016"
"貴重なルーン","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","0","2","53017"
"至高のルーン","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","0","3","53018"
"平凡なクラウン","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","0","1","53019"
"貴重なクラウン","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","0","2","53020"
"至高のクラウン","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","0","3","53021"
"平凡なアーティファクト","200","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","0","1","53022"
"貴重なアーティファクト","400","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","0","2","53023"
"至高のアーティファクト","800","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","0","3","53024"
