56abfb062f69d80455cf7bc816e314f73a6de73315a80788484dc71103dff59b,5c61bc9672123d6d10545274a2531cbe013b8326ea4b8ed9739954415b6b095a,ee0bd5280180eb3b67fc85238419e984e8ab9ea515f1522b2a941de0d91ac501,4afb6850825c5801e9177b5466613fab214b3ecec69f8d8a20b24b21b08e3289,ed2f3603e0abed758f094124d118a92a2d034e00aad656cf213302aca71c8bcb,6eeeadd6baa842b78f03b2c7152f4fe14e5ab72c0ba5b4a623fc6c7acbed8257,e081bf1ad0f566d8c5f1cb86da1377407efce8e0215068913bac120721544a1d,6b0ae20cbae5bd5e3cca92d4a3d1e984c45f11d928f5918f45ff5369426ec7d0,a76ccb6df707df56c9777724244d3284481a3baebe41250d8118d325d3288112,aa1e603e157e7d341bc9740ae9d5021ccf8da8a8e09927130569ecfb8f5d123f,b6ed14284ffedd62c632320df877d137ea08a33851454965029a3893f4ac1db4
"1","1","1001","100","1","118511","1","72","1.65","taq_karin_idle","-194"
"","1","1002","0","vo_minigame_1009","vo_minigame_1009_top_001","21","0","","",""
"0","1","1003","8","118511","賞品も用意して\nいますので頑張って\nくださいね♪","11","0","0","0","0"
"","1","1004","1","118511","taq_karin_talk_normal","3","","0.2","",""
"","1","1005","","1003","","91","","","",""
"","1","1006","1","118511","taq_karin_idle","3","","0.2","",""
"1","2","2001","100","1","118511","1","72","1.65","taq_karin_idle","-194"
"","2","2002","0","vo_minigame_1009","vo_minigame_1009_top_002","21","0","","",""
"0","2","2003","8","118511","みなさんの知識が\n試されますよ","11","0","0","0","0"
"","2","2004","1","118511","taq_karin_talk_thinking","3","","0.2","",""
"","2","2005","","2003","","91","","","",""
"","2","2006","1","118511","taq_karin_idle","3","","0.2","",""
"1","3","3001","100","1","118511","1","72","1.65","taq_karin_idle","-194"
"","3","3002","0","vo_minigame_1009","vo_minigame_1009_top_003","21","0","","",""
"0","3","3003","8","118511","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","11","0","0","0","0"
"","3","3004","1","118511","taq_karin_talk_surprise","3","","0.2","",""
"","3","3005","","3003","","91","","","",""
"","3","3006","1","118511","taq_karin_idle","3","","0.2","",""
"1","4","4001","100","1","118511","1","72","1.65","taq_karin_idle","-194"
"","4","4002","0","vo_minigame_1009","vo_minigame_1009_top_004","21","0","","",""
"0","4","4003","8","118511","わからないときは\n勘に頼ってみても\nいいと思います","11","0","0","0","0"
"","4","4004","1","118511","taq_karin_talk_normal2","3","","0.2","",""
"","4","4005","","4003","","91","","","",""
"","4","4006","1","118511","taq_karin_idle","3","","0.2","",""
"1","5","5001","100","1","118511","1","72","1.65","taq_karin_idle","-194"
"","5","5002","0","vo_minigame_1009","vo_minigame_1009_top_005","21","0","","",""
"0","5","5003","7","118511","仲よく協力して\n全問正解を\n目指してくださいね♪","11","0","0","0","0"
"","5","5004","1","118511","taq_karin_talk_joy3","3","","0.2","",""
"","5","5005","","5003","","91","","","",""
"","5","5006","1","118511","taq_karin_idle","3","","0.2","",""
