a3ec30c9e46a374c73e9985fdf7d0bac22d9d8d84ebf282fbc68c096fa6d489e,a45a347007da7563804c60e0666e5d0a2cde185c64065ff7d86980fa5523fd4b,462d3f183f27a38684720313afb8f2835f22e3840ff7caa75f449edc60167efc,4fc51ddbfd728e0c126aa1e990e54b4ab5492f917d4b8fff5240ea6b9ca9ab8a,88e396d84b50cdfafffeef40785159140b167ad2c23517e296ca2b662d7d008f,bcea6c2830081b45777d2ca1278394a36c691f8c0182a7714fbe48a724833ee4,2a9cc89092a46ed1041f7a2e95e5afdf798e519e15f9fc968bf898612d034b61,916582bcfadc546f7d9fab605e6d6ee6ebc831aa215e1b752ae31f1cc6586411,fef309eecfd1c5e4170f6ce330fbe3302fd611f1e44e2cd7df94d07d6c2f4ee7,8c6d1ec960258e58bc22d2ea499037337a2b1b11b67e69386e547c1a7604973d,9b3b1fb1993cef2c46c85705b79d079c8b9e2b0a201d44e50e478bbd12c1515b,def632f32b0937d48c970c8726c953861a30e82f7054378c6986073b1a85bddd
"1","5.5","0","610201102","5201321","0","1","5","10201201","5201322","0","70"
"3","1.5","600","610201103","0","15","2","5","10201201","5201323","3","0"
"1","1.5","0","610201104","0","0","3","5","10201201","0","0","0"
"1","5.5","0","610201105","0","0","1","5","10201501","0","0","70"
"3","1.5","600","610201106","0","15","2","5","10201501","0","3","0"
"1","1.5","0","610201107","0","0","3","5","10201501","0","0","0"
"2","5.5","600","610201152","5201331","0","1","5","10201251","5201332","3","0"
"1","1.5","0","610201153","0","0","2","5","10201251","5201333","0","65"
"1","1.5","0","610201154","0","0","3","5","10201251","0","0","0"
"2","5.5","600","610201155","0","0","1","5","10201551","0","3","0"
"1","1.5","0","610201156","0","0","2","5","10201551","0","0","65"
"1","1.5","0","610201157","0","0","3","5","10201551","0","0","0"
"2","5.5","600","610202102","5202321","0","1","5","10202201","5202322","3","0"
"1","1.5","0","610202103","0","0","2","5","10202201","5202323","0","70"
"1","1.5","0","610202104","0","0","3","5","10202201","0","0","0"
"2","5.5","600","610202105","0","0","1","5","10202501","0","3","0"
"1","1.5","0","610202106","0","0","2","5","10202501","0","0","70"
"1","1.5","0","610202107","0","0","3","5","10202501","0","0","0"
"2","5.5","600","610203102","5203321","0","1","5","10203201","5203322","3","0"
"1","1.5","0","610203103","0","0","2","5","10203201","5203323","0","66"
"1","1.5","0","610203104","0","0","3","5","10203201","0","0","0"
"2","5.5","600","610203105","0","0","1","5","10203501","0","3","0"
"1","1.5","0","610203106","0","0","2","5","10203501","0","0","66"
"1","1.5","0","610203107","0","0","3","5","10203501","0","0","0"
"2","5.5","600","610204102","5204321","0","1","5","10204201","5204322","3","0"
"1","1.5","0","610204103","0","0","2","5","10204201","5204323","0","60"
"1","1.5","0","610204104","0","0","3","5","10204201","0","0","0"
"2","5.5","600","610204105","0","0","1","5","10204501","0","3","0"
"1","1.5","0","610204106","0","0","2","5","10204501","0","0","80"
"1","1.5","0","610204107","0","0","3","5","10204501","0","0","0"
"2","5.5","600","610205102","5205321","0","1","5","10205201","5205322","3","0"
"1","1.5","0","610205103","0","0","2","5","10205201","5205323","0","65"
"1","1.5","0","610205104","0","0","3","5","10205201","0","0","0"
"2","5.5","600","610205105","0","0","1","5","10205501","0","3","0"
"1","1.5","0","610205106","0","0","2","5","10205501","0","0","66"
"1","1.5","0","610205107","0","0","3","5","10205501","0","0","0"
"2","5.5","600","610206102","5206321","0","1","5","10206201","5206322","3","0"
"2","1.5","600","610206103","0","0","2","5","10206201","5206323","3","0"
"1","1.5","0","610206104","0","0","3","5","10206201","0","0","0"
"2","5.5","600","610206105","0","0","1","5","10206501","0","3","0"
"2","1.5","600","610206106","0","0","2","5","10206501","0","3","0"
"1","1.5","0","610206107","0","0","3","5","10206501","0","0","0"
"2","5.5","600","610207102","5207321","0","1","5","10207201","5207322","3","0"
"1","1.5","0","610207103","0","0","2","5","10207201","5207323","0","66"
"1","1.5","0","610207104","0","0","3","5","10207201","0","0","0"
"2","5.5","600","610207105","0","0","1","5","10207501","0","3","0"
"1","1.5","0","610207106","0","0","2","5","10207501","0","0","66"
"1","1.5","0","610207107","0","0","3","5","10207501","0","0","0"
"2","5.5","600","610208102","5208321","0","1","5","10208201","5208322","3","0"
"1","1.5","0","610208103","0","0","2","5","10208201","5208323","0","70"
"1","1.5","0","610208104","0","0","3","5","10208201","0","0","0"
"2","5.5","600","610208105","0","0","1","5","10208501","0","3","0"
"1","1.5","0","610208106","0","0","2","5","10208501","0","0","70"
"1","1.5","0","610208107","0","0","3","5","10208501","0","0","0"
"2","5.5","600","610209102","5209321","0","1","5","10209201","5209322","3","0"
"1","1.5","0","610209103","0","0","2","5","10209201","5209323","0","55"
"1","1.5","0","610209104","0","0","3","5","10209201","0","0","0"
"2","5.5","600","610209105","0","0","1","5","10209501","0","3","0"
"1","1.5","0","610209106","0","0","2","5","10209501","0","0","60"
"1","1.5","0","610209107","0","0","3","5","10209501","0","0","0"
"2","5.5","600","610210102","5210321","0","1","5","10210201","5210322","3","0"
"1","1.5","0","610210103","0","0","2","5","10210201","5210323","0","65"
"1","1.5","0","610210104","0","0","3","5","10210201","0","0","0"
"2","5.5","600","610210105","0","0","1","5","10210501","0","3","0"
"1","1.5","0","610210106","0","0","2","5","10210501","0","0","60"
"1","1.5","0","610210107","0","0","3","5","10210501","0","0","0"
"2","5.5","600","610211102","5211321","0","1","5","10211201","5211322","3","0"
"1","1.5","0","610211103","0","0","2","5","10211201","5211323","0","40"
"1","1.5","0","610211104","0","0","3","5","10211201","0","0","0"
"2","5.5","600","610211105","0","0","1","5","10211501","0","3","0"
"1","1.5","0","610211106","0","0","2","5","10211501","0","0","45"
"1","1.5","0","610211107","0","0","3","5","10211501","0","0","0"
"2","5.5","600","610212102","5212321","0","1","5","10212201","5212322","3","0"
"1","1.5","0","610212103","0","0","2","5","10212201","5212323","0","60"
"1","1.5","0","610212104","0","0","3","5","10212201","0","0","0"
"2","5.5","600","610212105","0","0","1","5","10212501","0","3","0"
"1","1.5","0","610212106","0","0","2","5","10212501","0","0","60"
"1","1.5","0","610212107","0","0","3","5","10212501","0","0","0"
"2","5.5","600","610213102","5213321","0","1","5","10213201","5213322","3","0"
"1","1.5","0","610213103","0","0","2","5","10213201","5213323","0","60"
"1","1.5","0","610213104","0","0","3","5","10213201","0","0","0"
"2","5.5","600","610213105","0","0","1","5","10213501","0","3","0"
"1","1.5","0","610213106","0","0","2","5","10213501","0","0","60"
"1","1.5","0","610213107","0","0","3","5","10213501","0","0","0"
"2","5.5","600","610213152","5213331","0","1","5","10213251","5213332","5.5","0"
"1","1.5","0","610213153","0","0","2","5","10213251","5213333","0","70"
"1","1.5","0","610213154","0","0","3","5","10213251","0","0","0"
"2","5.5","600","610213155","0","0","1","5","10213551","0","5.5","0"
"1","1.5","0","610213156","0","0","2","5","10213551","0","0","70"
