72e04e5f46ee830d9827ea516910564e8e548caece6db67ae67160f4261e0304,7c71228df21d691894f340ba55dcd4e26b63b5f82f66568d6eeb6f0fe0a18c15,bf653907f7d78ba8ecb3bd9397c60604a7f398b8608b3aa5e9665a0d2b5c773f,5d08362256dcea302d84cf0bbede8e06b6edfd9ff8694ff3c9d2ebe912a8533d,b64fd7688eb1e55b608453b959cf351a94f483c3252e7807e5b2b9f4d76c2924,a95035ab5b6edb1e89a69be50d01572c2b1b60c841535bdf970d67f0f5554bf4,65e83b085070c311d630f1ca8ec34f015974de80aca25c9ec898b8d47b127649
"","0","10008111","1","1","0","10008101"
"","0","10008115","2","1","0","10008112"
"","0","10008103","3","3","0","10008101"
"","0","10008115","4","3","0","10008105"
"","0","150","5","4","0","10008112"
"","0","10028111","6","1","0","10028101"
"","0","10028115","7","1","0","10028112"
"","0","10028103","8","3","0","10028101"
"","0","10028115","9","3","0","10028105"
"","0","150","10","4","0","10028112"
"","0","20012104","11","11","20012107","20012104"
"","0","20012108","12","11","20012109","20012108"
"","0","20012110","13","11","20012114","20012110"
"","0","20012115","14","11","20012115","20012115"
"","0","120","15","4","0","20012110"
"","0","20008111","16","1","0","20008101"
"","0","20008115","17","1","0","20008112"
"","0","20008103","18","3","0","20008101"
"","0","20008115","19","3","0","20008105"
"","0","150","20","4","0","20008112"
