02395acef4bfcfae3859f451167a7fb6959b7510758103b4c22f19a5e73f6959,21e406b3c555efea6f963172dbd38dd2f591278bd28c052f9343573667440721,3955f5cc1bedf1b35e951aa0f167bbcbe0ebc8559863dbe6758c0a098a22d307,15f7c70ef08f1c8508411203bc44781ad989dc792b2ab08a23e19500c1682d77,330e9a8986236f5d638376bf6ebae068c668ee6974b1626267d055408fa0c82d,8770915f8e2dc1a14de0c3ca3b0e66ce0fe13bf4654af555dd00680222c7e444,9487ae934e1ebadc74126e2ffdbc53f4eb207657744980d4676a71214f09c611,33d433577723224da2780c9b556bfc647333dcc2b21415bd989b53dfd2926ad8,50ea9275bba473f4599f3190dc835b274941e7f61fadcd752403e375985d6080,c8caaa2c2c7add9f94fef47c2a84400a653a23f89c8bbb0c01462b99634b23b7,d825605f0439701c51e3edc83879f4e9383f16a68edac668ae749ce43a9e3fda
"61001","1","-280","1.55","110","1","idle_normal","1","5152061","110311","382"
"61002","1","-210","1.55","106","1","idle_normal","0","5152061","131911","145"
"61003","1","-225","1.55","107","1","joy_idle_normal","0","5152061","102311","-50"
"61004","1","-240","1.55","108","1","wish_idle","0","5152061","102111","-245"
"61005","1","-255","1.55","109","1","idle_normal","0","5152061","107711","-440"
"61006","1","-105","1.45","103","1","doya_idle","0","5152061","122811","40"
"61007","1","-120","1.45","104","1","idle_normal","0","5152061","122911","-160"
"61008","1","-135","1.45","105","1","idle_normal","0","5152061","122711","-355"
"61009","13","","","","110311","","","5152061","210",""
"61010","13","","","","131911","","","5152061","206",""
"61011","13","","","","107711","","","5152061","209",""
"61012","13","","","","122711","","","5152061","205",""
"61013","13","","","","122811","","","5152061","203",""
"61014","13","","","","122911","","","5152061","204",""
"61015","13","","","","102111","","","5152061","208",""
"61016","13","","","","102311","","","5152061","207",""
"61017","5","160","0.75","210","2","empty","0","5152061","2","-110"
"61018","5","-45","1","210","3","empty","0","5152061","3","352"
"61019","31","1","1","0","1","","","5152061","1","0"
"61020","31","1","0","0","2","","","5152061","2","0"
"61021","31","1","1","0","3","","","5152061","3","0"
"61022","31","1","0","0","11","","","5152061","11","0"
"61023","91","","","","0","","","5152061","0",""
"61024","37","","","","3","","","5152061","telop_1",""
"61025","102","","","0","0","","","5152061","0",""
"61026","93","","","","1","","","5152061","0",""
"61027","3","1","0.2","0","110311","","0","5152061","callout_in","callout_loop"
"61028","93","","","","0.1","","","5152061","0",""
"61029","21","","","0","vo_rag","","","5152061","vo_rag_6001","0"
"61030","3","","0","0","3","","","5152061","1001_in",""
"61031","93","","","","1.9","","","5152061","1",""
"61032","3","","0","0","3","","","5152061","1001_mid",""
"61033","92","","","","","","","5152061","",""
"61034","3","","0","0","3","","","5152061","1001_out",""
"61035","93","","","","0.2","","","5152061","0",""
"61036","3","","0.3","1","110311","","","5152061","doya_idle_joy1R",""
"61037","3","1","0.2","0","102311","","0","5152061","gutsB_in_joy","gutsB_talk_joy"
"61038","3","","0.2","1","102111","","","5152061","wish_talk",""
"61039","3","1","0.2","0","131911","","0","5152061","hello_2","idle_normal_joy"
"61040","3","","0.2","1","107711","","","5152061","sad_talk_joy",""
"61041","3","1","0.2","0","122811","","0","5152061","handsup_in","handsup_loop"
"61042","3","","0.2","1","122911","","","5152061","leanforward_joy",""
"61043","3","","0.2","1","122711","","","5152061","talk_normal",""
"61044","21","","","0","vo_rag","","","5152061","vo_rag_6002","0"
"61045","2","0","","142","3","","","5152061","-110","0"
"61046","3","","0","0","3","","","5152061","1002_in",""
"61047","93","","","","1.9","","","5152061","1",""
"61048","3","","0","0","3","","","5152061","1002_mid",""
"61049","92","","","","","","","5152061","",""
"61050","3","","0","0","3","","","5152061","1002_out",""
"61051","3","","0.2","1","102311","","","5152061","gutsB_idle",""
"61052","3","","0.2","1","102111","","","5152061","wish_idle",""
"61053","3","","0.2","1","131911","","","5152061","idle_normal",""
"61054","3","","0.2","1","107711","","","5152061","sad_idle_normal",""
"61055","3","","0.2","1","122811","","","5152061","cool_idle",""
"61056","3","","0.2","1","122911","","","5152061","idle_normal_joy1R",""
"61057","3","","0.2","1","122711","","","5152061","wish_idle",""
"61058","3","1","0.2","0","110311","","0","5152061","gutsB_in","gutsB_talk"
"61059","21","","","0","vo_rag","","","5152061","vo_rag_6003","0"
"61060","11","1","0","10","110311","0","15","5152061","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","1"
"61061","91","","","0","0","","","5152061","","0"
"61062","25","","","","bgm_MC175B","","","5152061","bgm_MC175B",""
"61063","32","","","","2","","","5152061","1",""
"61064","3","1","0.2","0","110311","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61065","21","","","0","vo_rag","","","5152061","vo_rag_6004","0"
"61066","11","0","0","10","110311","1.7","0","5152061","まずは空に向かって\n腕をグングン伸ばしてー！","1"
"61067","93","","","","0.1","","","5152061","0",""
"61068","3","1","0.2","0","131911","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61069","3","1","0.2","0","102311","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61070","3","1","0.2","0","102111","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61071","3","1","0.2","0","107711","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61072","3","1","0.2","0","122811","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61073","3","1","0.2","0","122911","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61074","3","1","0.2","0","122711","","0","5152061","kids_gungun_in","kids_gungun_loop"
"61075","93","","","","5.2","","","5152061","0",""
"61076","91","","","0","61066","","","5152061","","0"
"61077","21","","","0","vo_rag","","","5152061","vo_rag_6005","0"
"61078","11","0","13","10","102311","2.3","60","5152061","グーン、グーン！\nあはは、思い切り体動かすの楽しいね！","1"
"61079","93","","","","7.8","","","5152061","0",""
"61080","91","","","0","61078","","","5152061","","0"
"61081","3","","0.3","1","110311","","","5152061","kids_furifuri",""
"61082","21","","","0","vo_rag","","","5152061","vo_rag_6006","0"
"61083","11","0","21","10","110311","1.7","17","5152061","今度は腰を左右にフリフリ！\nキュートに、そしてリズミカルにね！","1"
"61084","93","","","","0.1","","","5152061","0",""
"61085","3","","0.3","1","131911","","","5152061","kids_furifuri",""
"61086","3","","0.3","1","102311","","","5152061","kids_furifuriB",""
"61087","3","","0.3","1","102111","","","5152061","kids_furifuri",""
"61088","3","","0.3","1","107711","","","5152061","kids_furifuriB",""
"61089","3","","0.3","1","122811","","","5152061","kids_furifuri",""
"61090","3","","0.3","1","122911","","","5152061","kids_furifuriB",""
"61091","3","","0.3","1","122711","","","5152061","kids_furifuri",""
"61092","93","","","","7.3","","","5152061","0",""
"61093","91","","","0","61083","","","5152061","","0"
"61094","21","","","0","vo_rag","","","5152061","vo_rag_6007","0"
"61095","11","0","0","10","102111","0.5","60","5152061","フリフリ～、楽しくなってきましたぁ♪","1"
"61096","93","","","","5.2","","","5152061","0",""
"61097","91","","","0","61095","","","5152061","","0"
"61098","3","","0.2","1","131911","","","5152061","joy_idle",""
