8efc2b757a4f4f95980f52c8eb372a65421972a78a26e9333648b274846d93e9,08f65551ccaf7501dcf562faaff681866d7341e62db2930d898c6f26560aa7e0,049e3037a3134569d7cf8166202c24848bd5362ce2da32c985dd412e17757fb4
"カオリと海辺で大特訓！","1003","5021700"
"礼に始まり礼に終わる","1003","5021701"
"挑め、己の限界に","1003","5021710"
"本物が一番","1003","5021711"
"再び、エルピス島へ！","1004","5027700"
"過熱する戦い","1004","5027701"
"真打登場","1004","5027702"
"戦いの果てに……","1004","5027703"
"さらなる高みへ！","1004","5027704"
"チーズを見張ろう！","1005","5040700"
"小さき敵との攻防","1005","5040701"
"チーズの誘惑","1005","5040702"
"芽生える愛情？","1005","5040703"
"労働は続くよどこまでも","1005","5040704"
"究極への道","1008","5080700"
"プリンは続くよどこまでも","1008","5080701"
"バカンスは終わらない","1010","5096700"
"競い、分かり合う絆","1010","5096701"
"教えてキャル先生","1012","5126700"
"甘酸っぱいのは誰のせい？","1012","5126701"
"勉強なんて大嫌い…？","1012","5126702"
"鉛筆100本分の青春","1012","5126703"
"ベンキョーできる系女子！","1012","5126710"
"効果エグすぎてワロ","1012","5126711"
"好きこそものの上手なれ？","1012","5126712"
"解けない不思議","1012","5126713"
"より高みを目指して","1013","5142700"
"限界へのチャレンジ","1013","5142701"
"素晴らしき友情","1013","5142702"
"戦車バトル大会、開幕！","1014","5156700"
"果てしなく続く闘いの走路","1014","5156701"
"正解目指して一致団結！","1009","9004201"
