9331930ff7a02d4c00155e1f04577e3e53e884554bd89e62bc2a9c1fa02da4b1,77790f09bccddd83b97c6f5f5e04c9dede3d9fc2edbe58b9c0e4a75ae8d4bee6,111ccc64a36cc2d34b7dc0ac7842cfefbe7ad97be571852bf551855aeec4da16,67b814e99716b2a7be230241c3580d17f3e47da355a6dda144a5dec2074263d8,9ceb0780b31698961952e533be5a0288abbd56386999547c69e549b15584532c,4ff6f43071c0ded304daaed3f16ea699e4d4b5011088dc45828f6198f5a5d35f,f7f11779672f6249093add859b75de8dcb7a5849a85038a45fec8fd62fe767de,7f850fda5c37b0ec1fbc256c0e4e2a4118277542fce0c9ceb3d96ec4bf56c5f4,71a36fd2c0ee304c45a44a71376a0b8ede3cfe689a9967bae7237b0b00641ec2,4747049d74dbab17e79906b05709ea0d9678d9965c43420bfd22a1e5a1158caf,de231f4cc02f343f825ad9a8ed42f8b1a8d88a4ed58edae90ae9416360932b25,c53d423dce7c0fa348c7331e29f4cd4bb121b7b6d6566bdae6036763884d8005
"4","0","0","1","5154062","0","0","0.8","515406201","0","0","1"
"2","vo_abd_0101","0","0","5154062","vo_abd","0","0","515406202","0","0","2"
"1","0","2","0","5154062","0","1","0","515406203","0","300","3"
"4","0","0","1","5154062","0","0","2.1","515406204","0","0","4"
"2","vo_abd_0102","0","0","5154062","vo_abd","0","0","515406205","0","0","5"
"1","0","2.05","0","5154062","0","2","0","515406206","0","400","6"
"4","0","0","1","5154062","0","0","3.2","515406207","0","0","7"
"2","vo_abd_0103","0","0","5154062","vo_abd","0","0","515406208","0","0","8"
"1","0","1","0","5154062","0","3","0","515406209","0","60","9"
"4","0","0","1","5154062","0","0","1.4","515406210","0","0","10"
"1","0","2.5","0","5154062","0","3","0","515406211","60","430","11"
"4","0","0","1","5154062","0","0","3.3","515406212","0","0","12"
"2","vo_abd_0104","0","0","5154062","vo_abd","0","0","515406213","0","0","13"
"1","0","0.2","0","5154062","0","4","0","515406214","0","27","14"
"4","0","0","1","5154062","0","0","0.5","515406215","0","0","15"
"1","0","0.2","0","5154062","0","4","0","515406216","27","60","16"
"4","0","0","1","5154062","0","0","0.6","515406217","0","0","17"
"1","0","0.8","0","5154062","0","4","0","515406218","60","145","18"
"4","0","0","1","5154062","0","0","1.2","515406219","0","0","19"
"1","0","1.8","0","5154062","0","4","0","515406220","145","400","20"
"4","0","0","1","5154062","0","0","2.2","515406221","0","0","21"
"2","vo_abd_0105","0","0","5154062","vo_abd","0","0","515406222","0","0","22"
"1","0","0.6","0","5154062","0","5","0","515406223","0","95","23"
"4","0","0","1","5154062","0","0","1","515406224","0","0","24"
"1","0","0.7","0","5154062","0","5","0","515406225","95","195","25"
"4","0","0","1","5154062","0","0","1.5","515406226","0","0","26"
"1","0","0.8","0","5154062","0","5","0","515406227","195","315","27"
"4","0","0","1","5154062","0","0","1","515406228","0","0","28"
"1","0","0.7","0","5154062","0","5","0","515406229","315","415","29"
"4","0","0","1","5154062","0","0","2","515406230","0","0","30"
"2","vo_abd_0106","0","0","5154062","vo_abd","0","0","515406231","0","0","31"
"1","0","1","0","5154062","0","6","0","515406232","0","160","32"
"4","0","0","1","5154062","0","0","1.3","515406233","0","0","33"
"1","0","1","0","5154062","0","6","0","515406234","160","415","34"
"4","0","0","1","5154062","0","0","2.3","515406235","0","0","35"
"2","vo_abd_0107","0","0","5154062","vo_abd","0","0","515406236","0","0","36"
"1","0","0.7","0","5154062","0","7","0","515406237","0","85","37"
"4","0","0","1","5154062","0","0","0.8","515406238","0","0","38"
"1","0","0.8","0","5154062","0","7","0","515406239","85","360","39"
"4","0","0","1","5154062","0","0","2","515406240","0","0","40"
"2","vo_abd_0108","0","0","5154062","vo_abd","0","0","515406241","0","0","41"
"1","0","2.63","0","5154062","0","8","0","515406242","0","415","42"
"4","0","0","1","5154062","0","0","2.63","515406243","0","0","43"
"2","vo_abd_0109","0","0","5154062","vo_abd","0","0","515406244","0","0","44"
"1","0","1","0","5154062","0","9","0","515406245","0","200","45"
"4","0","0","1","5154062","0","0","2","515406246","0","0","46"
"1","0","0.5","0","5154062","0","9","0","515406247","200","245","47"
"4","0","0","1","5154062","0","0","1.2","515406248","0","0","48"
"1","0","1.5","0","5154062","0","9","0","515406249","245","415","49"
"4","0","0","1","5154062","0","0","2.5","515406250","0","0","50"
"2","vo_abd_0110","0","0","5154062","vo_abd","0","0","515406251","0","0","51"
"1","0","0.2","0","5154062","0","10","0","515406252","0","35","52"
"4","0","0","1","5154062","0","0","0.6","515406253","0","0","53"
"1","0","1.3","0","5154062","0","10","0","515406254","35","400","54"
"4","0","0","1","5154062","0","0","2.3","515406255","0","0","55"
"2","vo_abd_0111","0","0","5154062","vo_abd","0","0","515406256","0","0","56"
"1","0","0.3","0","5154062","0","11","0","515406257","0","60","57"
"4","0","0","1","5154062","0","0","1.2","515406258","0","0","58"
"1","0","1","0","5154062","0","11","0","515406259","60","315","59"
"4","0","0","1","5154063","0","0","0.8","515406301","0","0","1"
"2","vo_abd_0201","0","0","5154063","vo_abd","0","0","515406302","0","0","2"
