388edfca383aa5d3c177400adf741a834d4b7a2c79e62363f1590bbcf4480adb,c767934f8e1b03dbaa2de99c7b48514ad0d8366912c278cf06c48419a84cb2c7,f546c91d72fb2be47d467d3c7b3794a808640a56776cbe18c351ec0b6583416d,f5543fc263c454b39bbec1230d8d65294c2a5d332369755350b02c4d962d141b,1c020f5ec8fe08110c0af2b0620b822bb31ca0403257a97000b58a78961addf9,1a1cdffd6705c678fb101192ed59e534c1381685e5ac023bc59b7816ebbcf9d3,633ef7ef555f9e8dad790b41b6edc8ebd337772e70d0051dab70690e7384ff2f,035fee06aa9b334b3c236ed4db444d28aaeba09dc2b0d2bee99fb0a1637b79ff
"1.ジュノー平野","2030/12/17 14:59:59","bgm_M61","1.ジュノー平野","bgm_M61","101","2015/12/17 15:00:00","11001"
"2.パラス高原","2030/12/17 14:59:59","bgm_M61","2.パラス高原","bgm_M61_02","101","2015/12/17 15:00:00","11002"
"3.ヘーベ丘陵","2030/12/17 14:59:59","bgm_M61","3.ヘーベ丘陵","bgm_M61_03","101","2015/12/17 15:00:00","11003"
"4.ベスタ渓谷","2030/12/17 14:59:59","bgm_M61","4.ベスタ渓谷","bgm_M61_04","101","2015/12/17 15:00:00","11004"
"5.ケレス森林","2030/12/17 14:59:59","bgm_M62","5.ケレス森林","bgm_M62_01","101","2015/12/17 15:00:00","11005"
"6.フローラ湖畔","2030/12/17 14:59:59","bgm_M62","6.フローラ湖畔","bgm_M62_02","101","2015/12/17 15:00:00","11006"
"7.メティス大瀑布","2030/12/17 14:59:59","bgm_M62","7.メティス大瀑布","bgm_M62_03","101","2015/12/17 15:00:00","11007"
"8.イリス樹海","2030/12/17 14:59:59","bgm_M42","8.イリス樹海","bgm_M42_02","101","2015/12/17 15:00:00","11008"
"9.フリガ雪原","2030/12/17 14:59:59","bgm_M58","9.フリガ雪原","bgm_M58","101","2015/12/17 15:00:00","11009"
"10.ロレッタ海岸","2030/12/17 14:59:59","bgm_M101","10.ロレッタ海岸","bgm_M101","101","2015/12/17 15:00:00","11010"
"11.ゲヌア砂漠","2030/12/17 14:59:59","bgm_M93","11.ゲヌア砂漠","bgm_M93","101","2015/12/17 15:00:00","11011"
"12.ボノニア砂丘","2030/12/17 14:59:59","bgm_M94","12.ボノニア砂丘","bgm_M94","101","2015/12/17 15:00:00","11012"
"13.ドロテア湿地","2030/12/17 14:59:59","bgm_M118","13.ドロテア湿地","bgm_M118","101","2015/12/17 15:00:00","11013"
"14.ウジェニア熱地","2030/12/17 14:59:59","bgm_M95","14.ウジェニア熱地","bgm_M95","101","2015/12/17 15:00:00","11014"
"15.タリア火山","2030/12/17 14:59:59","bgm_M96","15.タリア火山","bgm_M96","101","2015/12/17 15:00:00","11015"
"16.テミス銀嶺","2030/12/17 14:59:59","bgm_M140","16.テミス銀嶺","bgm_M140","101","2015/12/17 15:00:00","11016"
"17.フィデス氷原","2030/12/17 14:59:59","bgm_M141","17.フィデス氷原","bgm_M141","101","2015/12/17 15:00:00","11017"
"18.ファエトン原野・北部","2030/12/17 14:59:59","bgm_M179","18.ファエトン\n　　　　　原野・北部","bgm_M179","102","2015/12/17 15:00:00","11018"
"19.ファエトン原野・南部","2030/12/17 14:59:59","bgm_M179","19.ファエトン\n　　　　　原野・南部","bgm_M179","102","2015/12/17 15:00:00","11019"
"20.カスタリア樹林・西部","2030/12/17 14:59:59","bgm_M180","20.カスタリア\n　　　　　樹林・西部","bgm_M180","102","2015/12/17 15:00:00","11020"
"21.カスタリア樹林・東部","2030/12/17 14:59:59","bgm_M180","21.カスタリア\n　　　　　樹林・東部","bgm_M180","102","2015/12/17 15:00:00","11021"
"22.マティルド岩峯・南部","2030/12/17 14:59:59","bgm_M232","22.マティルド\n　　　　　岩峯・南部","bgm_M232","102","2015/12/17 15:00:00","11022"
"23.マティルド岩峯・北部","2030/12/17 14:59:59","bgm_M232","23.マティルド\n　　　　　岩峯・北部","bgm_M232","102","2015/12/17 15:00:00","11023"
"24.レディウス群峰・西麓","2030/12/17 14:59:59","bgm_M233","24.レディウス\n　　　　　群峰・西麓","bgm_M233","102","2015/12/17 15:00:00","11024"
"25.レディウス群峰・東麓","2030/12/17 14:59:59","bgm_M233","25.レディウス\n　　　　　群峰・東麓","bgm_M233","102","2015/12/17 15:00:00","11025"
"26.ペテロ大森林・西部","2030/12/17 14:59:59","bgm_M260","26.ペテロ大森林・西部","bgm_M260","102","2015/12/17 15:00:00","11026"
"27.ペテロ大森林・東部","2030/12/17 14:59:59","bgm_M260","27.ペテロ大森林・東部","bgm_M260","102","2015/12/17 15:00:00","11027"
"28.ディズタル河食岸・北部","2030/12/17 14:59:59","bgm_M278","28.ディズタル\n　　　　　河食岸・北部","bgm_M278_E28","102","2015/12/17 15:00:00","11028"
"29.ディズタル河食岸・南部","2030/12/17 14:59:59","bgm_M278","29.ディズタル\n　　　　　河食岸・南部","bgm_M278_E29","102","2015/12/17 15:00:00","11029"
"30.フテラ断崖・北部","2030/12/17 14:59:59","bgm_M293","30.フテラ断崖・北部","bgm_M293","102","2015/12/17 15:00:00","11030"
"31.フテラ断崖・南部","2030/12/17 14:59:59","bgm_M293","31.フテラ断崖・南部","bgm_M293","102","2015/12/17 15:00:00","11031"
"32.ファスキア森林・南部","2030/12/17 14:59:59","bgm_M339","32.ファスキア\n　　　　　　森林・南部","bgm_M339","102","2015/12/17 15:00:00","11032"
"33.ファスキア森林・東部","2030/12/17 14:59:59","bgm_M339","33.ファスキア\n　　　　　　森林・東部","bgm_M339","102","2015/12/17 15:00:00","11033"
"34.デクスティア岩崖・西壁","2030/12/17 14:59:59","bgm_M374","34.デクスティア\n　　　　　岩崖・西壁","bgm_M374","102","2015/12/17 15:00:00","11034"
"35.デクスティア岩崖・東壁","2030/12/17 14:59:59","bgm_M374","35.デクスティア\n　　　　　岩崖・東壁","bgm_M374","102","2015/12/17 15:00:00","11035"
"36.ヴェーナ湖畔道・南部","2030/12/17 14:59:59","bgm_M392","36.ヴェーナ\n　　　　　湖畔道・南部","bgm_M392","102","2015/12/17 15:00:00","11036"
