ddb6f7603a414e941d859bccf492a13421322a4632e073951350793505b1f10b,b7b5a05ad19a3badeb228dbf884dcacee8e5ca78bfb91a2d91af4e1daeb50aaa,13b2985b29dfbf6925246376ae7ad8d5972745149e422686a874b0d05150077c,478153ce25f5d1d017ee6bc8adbe30a764617b8892e146b5ab9ece087eaf653a,b57ce371207f12fdbeb9aedb6ce602607940ec0416034f1b5a84a52916d10756
"12","100101","5000000","94002","1"
"2","100102","2000","90008","2"
"2","100103","20","25001","3"
"2","100104","2500","90008","4"
"2","100105","30","25001","5"
"8","100106","300","91002","6"
"2","100107","1","41000","7"
"12","100108","5000000","94002","8"
"12","100109","1000000","94002","9"
"12","100110","1000000","94002","10"
"12","100111","1000000","94002","11"
"2","100112","400","20004","12"
"2","100113","300","20004","13"
"2","100114","200","20004","14"
"12","100115","1000000","94002","15"
"12","100116","1000000","94002","16"
"12","100117","1000000","94002","17"
"2","100118","400","20004","18"
"2","100119","300","20004","19"
"2","100120","200","20004","20"
"12","100121","1000000","94002","21"
"12","100122","1000000","94002","22"
"12","100123","1000000","94002","23"
"2","100124","400","20004","24"
"2","100125","300","20004","25"
"2","100126","200","20004","26"
"12","100201","5000000","94002","27"
"2","100202","2000","90008","28"
"2","100203","20","25001","29"
"2","100204","2500","90008","30"
"2","100205","30","25001","31"
"8","100206","300","91002","32"
"2","100207","1","41000","33"
"12","100208","5000000","94002","34"
"12","100209","1000000","94002","35"
"12","100210","1000000","94002","36"
"12","100211","1000000","94002","37"
"2","100212","400","20004","38"
"2","100213","300","20004","39"
"2","100214","200","20004","40"
"12","100215","1000000","94002","41"
"12","100216","1000000","94002","42"
"12","100217","1000000","94002","43"
"2","100218","400","20004","44"
"2","100219","300","20004","45"
"2","100220","200","20004","46"
"12","100221","1000000","94002","47"
"12","100222","1000000","94002","48"
"12","100223","1000000","94002","49"
"2","100224","400","20004","50"
"2","100225","300","20004","51"
"2","100226","200","20004","52"
"12","100301","5000000","94002","53"
"2","100302","2000","90008","54"
"2","100303","20","25001","55"
"2","100304","2500","90008","56"
"2","100305","30","25001","57"
"8","100306","300","91002","58"
"2","100307","1","41000","59"
"12","100308","5000000","94002","60"
"12","100309","1000000","94002","61"
"12","100310","1000000","94002","62"
"12","100311","1000000","94002","63"
"2","100312","400","20004","64"
"2","100313","300","20004","65"
"2","100314","200","20004","66"
"12","100315","1000000","94002","67"
"12","100316","1000000","94002","68"
"12","100317","1000000","94002","69"
"2","100318","400","20004","70"
"2","100319","300","20004","71"
"2","100320","200","20004","72"
"12","100321","1000000","94002","73"
"12","100322","1000000","94002","74"
"12","100323","1000000","94002","75"
"2","100324","400","20004","76"
"2","100325","300","20004","77"
"2","100326","200","20004","78"
"12","100401","5000000","94002","79"
"2","100402","2000","90008","80"
"2","100403","20","25001","81"
"2","100404","2500","90008","82"
"2","100405","30","25001","83"
"8","100406","300","91002","84"
"2","100407","1","41000","85"
"12","100408","5000000","94002","86"
"12","100409","1000000","94002","87"
"12","100410","1000000","94002","88"
"12","100411","1000000","94002","89"
"2","100412","400","20004","90"
"2","100413","300","20004","91"
"2","100414","200","20004","92"
"12","100415","1000000","94002","93"
"12","100416","1000000","94002","94"
"12","100417","1000000","94002","95"
"2","100418","400","20004","96"
"2","100419","300","20004","97"
"2","100420","200","20004","98"
"12","100421","1000000","94002","99"
"12","100422","1000000","94002","100"
"12","100423","1000000","94002","101"
"2","100424","400","20004","102"
"2","100425","300","20004","103"
"2","100426","200","20004","104"
"12","100501","5000000","94002","105"
"2","100502","2000","90008","106"
"2","100503","20","25001","107"
"2","100504","2500","90008","108"
"2","100505","30","25001","109"
"8","100506","300","91002","110"
"2","100507","1","41000","111"
"12","100508","5000000","94002","112"
"12","100509","1000000","94002","113"
"12","100510","1000000","94002","114"
"12","100511","1000000","94002","115"
"2","100512","400","20004","116"
"2","100513","300","20004","117"
"2","100514","200","20004","118"
"12","100515","1000000","94002","119"
"12","100516","1000000","94002","120"
"12","100517","1000000","94002","121"
"2","100518","400","20004","122"
"2","100519","300","20004","123"
"2","100520","200","20004","124"
"12","100521","1000000","94002","125"
"12","100522","1000000","94002","126"
"12","100523","1000000","94002","127"
"2","100524","400","20004","128"
"2","100525","300","20004","129"
"2","100526","200","20004","130"
"12","100601","5000000","94002","131"
"2","100602","2000","90008","132"
"2","100603","20","25001","133"
"2","100604","2500","90008","134"
"2","100605","30","25001","135"
"8","100606","300","91002","136"
"2","100607","1","41000","137"
"12","100608","5000000","94002","138"
"12","100609","1000000","94002","139"
"12","100610","1000000","94002","140"
"12","100611","1000000","94002","141"
"2","100612","400","20004","142"
"2","100613","300","20004","143"
"2","100614","200","20004","144"
"12","100615","1000000","94002","145"
"12","100616","1000000","94002","146"
"12","100617","1000000","94002","147"
"2","100618","400","20004","148"
"2","100619","300","20004","149"
"2","100620","200","20004","150"
"12","100621","1000000","94002","151"
"12","100622","1000000","94002","152"
"12","100623","1000000","94002","153"
"2","100624","400","20004","154"
"2","100625","300","20004","155"
"2","100626","200","20004","156"
"12","100701","5000000","94002","157"
