75151ca51111e384d406cb9f28a99b73717e1312e60ffc50b3025f82561d0556,ee4e7a92c5796200cca105a3b176c51ebc4cd2dc815f4a21f10be1b551ea757d,11fbc294800833b8ef6344b28050e4338e68f0130fb1cb02c9bea87293032776,5ab81b0028d673e75b0ee22a0c182e0cfad29f54becf632a491bd5068cbb009f,f134dd157dd6a756c099eafe818813d5c2b341389dac9c101aea3791e2471eb8,2fc02b9cb8f089d736a22621d946aa256872b7bad91114ee2fb49dc0743c9171,4f068135092c9cd2c946733a39fb8113c684c12f96669646950146eab2529365,c006342dfdfd6565ae933a16cf26efe2672af8835788c7c8d67a758bf606807a,62392e2e8108f0688b6f902fdbdbd85387b638d2864cb8b166cf2752c3be3331,a01a39a1beb80a1c47cc1cec1d7ebd00a205d42237eb2585e992f6c1eb56cc40,ead711024f74521d0f7d337eb986b1e8b1b380abbafc934223608861826f421c,02cb39f21b27c372e0992c784c8ba4ef04e9af13e4ae11bd040a2452cc320a61,c2f259642ee4d919f8e89d068c97e1bd212d6dbdeae8591dedddc6377ac49a31,c3ce629b3c647f84dc1107b8cc757cafa5c886484d49978e46a33bfa39db9f23,15e66f7da50c6e88135d2fd08b6830cf2db78da055d094122a5cb3bc0098017f,ed07f6bfdbcf0f588ba590807bc0d39b615c9e1e76c93325e14ff63d835ecf14
"0","A","44","8","2","27","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","トゥインクルウィッシュ","155","人助け、応援","100101","16","東山奈央","人助けが大好き！　前向き格闘娘","獣人族","ヒヨリ"
"0","O","47","4","2","5","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","トゥインクルウィッシュ","158","料理、人間観察","100201","17","種田梨沙","戦闘のサポートが得意な、心優しい少女","ヒューマン","ユイ"
"0","B","46","1","2","12","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","トゥインクルウィッシュ","163","読書、乗馬、お茶","100301","18","早見沙織","クールで何事にも真っ直ぐな剣士","魔族","レイ"
"0","O","27","8","5","10","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","リトルリリカル","128","いたずら、探検","100401","9","諸星すみれ","探検好きのイタズラっ子","ヒューマン","ミソギ"
"0","O","40","11","8","25","？？？","王宮騎士団（NIGHTMARE）","146","ヒーローごっこ","100501","12","下田麻美","ヒーローに憧れる騎士見習いの少女","獣人族","マツリ"
"0","O","42","11","7","22","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","悪魔偽王国軍（ディアボロス）","150","サックス","100601","13","浅倉杏美","甘え上手なみんなの人気者","魔族","アカリ"
"0","B","32","1","7","23","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","悪魔偽王国軍（ディアボロス）","130","プリンを食べること","100701","14","雨宮天","プリン大好きゴースト娘","魔族","ミヤコ"
"0","AB","40","10","15","10","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","ヴァイスフリューゲル　ランドソル支部","150","鏡で自分を見ること","100801","14","大空直美","ボクは誰よりも美しい","エルフ","ユキ"
"0","A","45","7","13","5","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","トワイライトキャラバン","159","小説執筆","100901","17","髙野麻美","前世を信じる中二病患者、「疾風の冥姫」","魔族","アンナ"
"0","O","42","9","10","22","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","自警団（カォン）","155","空想、ぬいぐるみ集め","101001","16","内田真礼","マホマホ王国のプリンセス","獣人族","マホ"
