80f8898bf03e39662acc58e261e095d35c61900b772d65207cd49ed529156f7a,3e8f6e15640c5864cbc95d6d76058fc72f6d59ad2e9e2e37ed965d2f1b72452a,f6f046b7c7cc95fc4ca47d8a2445bd98aacb81280266b3f27f598f96c81d7d71,faab27e9e6bb46fe78b7ff175cec63d0b802efe6fe3e8eb392e2a21275bb604e,de9ea4eca4b27bd3f67dcddb64563e404c4b805b2a42859b5b1abfe4ffe02eab,0b7ace57e7dac5254c2ecdddcbd23266551cc8986a239f3797e166259f12e50c,bf1d2125d48526be574984b34fb5937737665f0e1267dfe813af1c23b642b266,fdd7fbbd3b0de680a1b2067683e85eb471026438185c8bcdd8a85c9db6dc4127,2a9565fb777ef94056230b8b700b0e9abf71602a8d1c2ec578252e029d1f5a2a,d42c4a50b276efc0b38517d6205fe4eea3c833176f42847a8d014973ceaf36f7,1c25f97951618de8eda5936866e785028b31249ccd692dab1ba135107b7b0022,187ed8f82ffcdb7093fcd00cf2b27c0671bdebea9bfda812fe9b23d29fcc2626,11cb58959152e48e857e9d06cef326cbe1c82f9d13d9669a675aa4c4b72f3321,e407c23573727ab3ccfe294af2ff2dd9540b10c2af3458457c49f006a70f94cb,6fffcae6b98b9e281c19378cd156ac9fbbdb6438888c127f10883ebcbc3a31c7,6794aefb2305f766cf232a8bad79b260f07baf46d0682f31c1e6be6d45c21197,5004a85e0aa7660dbd726d92e2f993ef8c3bd2f8b43c17c6e3d36ff7b5868c07,8edb1adad4938c66275d89142f6ef3b3ef8984870db1c1c96ae9717fe173f056,129863e992683bd7db83bfd6ff595275383abf96ca553ae68c3869dad3677186,2074c67516a3ac5ae4bbde63aef443e886b7f6159e28f3164fb1b97c14242e2b,0e76955cc87de5aaec4d3f86ba4e19d927fee0bc9d5b22aab76bf6b54be2384b,a6f6749b39a23a680d38c38f879208b1b9dabd9f1b6046452c917423886ea435
"1001","-480","0","101001","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101001","0.7","-30","1","10010101","10","1"
"1001","-260","0","101001","1","0.75","2","0","1","200","1.2","0","bgm_M64","-120","0","101001","1","-30","1","10010102","10","2"
"1001","-40","0","101001","1","0.75","3","100","1","200","1.1","-10","bgm_M64","0","-50","101001","1","-30","1","10010103","0","3"
"1001","240","0","101001","1","0.7","4","0","1","200","1","0","bgm_M64","-50","0","101001","1","-30","1","10010104","0","4"
"1001","480","0","101011","1","1.2","5","200","1","250","1.3","0","bgm_M55","-40","0","101011","1","-30","1","10010105","0","5"
"1002","-480","0","101001","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-155","0","101021","0.7","-30","1","10020101","10","1"
"1002","-265","0","101001","1","0.75","2","250","1","200","1.2","0","bgm_M64","-120","0","101021","1","-30","1","10020102","10","2"
"1002","-30","-15","101001","1","0.9","3","100","1","200","1.4","-10","bgm_M64","30","-30","101021","1","-30","1","10020103","0","3"
"1002","220","0","101001","1","1","4","100","1","200","1.5","0","bgm_M64","-90","-30","101021","1.25","-30","1","10020104","0","4"
"1002","440","0","101011","1","1.4","5","200","1","250","1.8","0","bgm_M55","0","0","101031","1.6","-30","1","10020105","0","5"
"1003","-470","0","101041","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-155","0","101041","0.7","-30","1","10030101","10","1"
"1003","-210","0","101041","1","0.75","2","250","1","200","1.2","0","bgm_M64","-95","0","101041","1","-30","1","10030102","10","2"
"1003","50","0","101041","1","0.75","3","100","1","200","1.1","-10","bgm_M64","-120","-50","101041","1","-30","1","10030103","0","3"
"1003","195","0","101041","1","0.8","4","100","1","200","1.5","0","bgm_M64","35","-30","101041","1.2","-30","1","10030104","0","4"
"1003","450","0","101042","1","1.1","5","150","1","210","1.8","0","bgm_M55","-55","-50","101042","1.35","-30","1","10030105","0","5"
"1004","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101161","0.7","-30","1","10040101","10","1"
"1004","-260","0","101161","1","0.75","2","0","1","200","1.2","0","bgm_M64","-120","0","101161","1","-30","1","10040102","10","2"
"1004","-20","-15","101161","1","0.9","3","100","1","200","1.4","-10","bgm_M64","55","-30","101161","1","-30","1","10040103","0","3"
"1004","180","0","101161","1","0.9","4","0","1","200","1.3","0","bgm_M64","-30","-30","101161","1","-30","1","10040104","0","4"
"1004","470","-40","101162","1","0.9","5","200","1","250","1.2","-30","bgm_M55","-60","-50","101162","0.9","-30","1","10040105","0","5"
"1005","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101171","0.7","-30","1","10050101","10","1"
"1005","-260","0","101161","1","0.75","2","0","1","200","1.2","0","bgm_M64","-120","0","101171","1","-30","1","10050102","10","2"
"1005","-20","-15","101161","1","0.9","3","100","1","200","1.4","-10","bgm_M64","45","-30","101171","1","-30","1","10050103","0","3"
"1005","190","0","101161","1","0.7","4","0","1","200","1","0","bgm_M64","-70","0","101171","1","-30","1","10050104","0","4"
"1005","445","-40","101162","1","1","5","200","1","240","1.3","0","bgm_M55","-25","-30","101172","1","-30","1","10050105","0","5"
"1006","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101191","0.7","-30","1","10060101","10","1"
"1006","-260","0","101161","1","0.75","2","0","1","200","1.2","0","bgm_M64","-100","0","101191","1","-30","1","10060102","10","2"
"1006","-10","-15","101161","1","0.8","3","100","1","200","1.1","-10","bgm_M64","65","0","101191","1","-30","1","10060103","0","3"
"1006","190","0","101161","1","0.8","4","0","1","200","1.2","0","bgm_M64","-110","0","101191","1","-30","1","10060104","0","4"
"1006","485","0","101162","1","0.9","5","270","1","280","1.15","-45","bgm_M55","-70","-50","101192","1","-30","1","10060105","-10","5"
"1007","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101201","0.7","-30","1","10070101","10","1"
"1007","-260","0","101161","1","0.9","2","120","1","240","1.2","0","bgm_M64","-120","0","101201","1","-30","1","10070102","10","2"
"1007","-10","-15","101161","1","0.8","3","100","1","200","1.1","-10","bgm_M64","65","0","101201","1","-30","1","10070103","0","3"
"1007","190","0","101161","1","0.9","4","100","1","200","1.2","0","bgm_M64","-110","0","101201","1","-30","1","10070104","0","4"
"1007","475","-20","101162","1","1","5","270","1","250","1.45","-45","bgm_M55","-30","-50","101202","1","-30","1","10070105","10","5"
"1008","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101291","0.7","-30","1","10080101","10","1"
"1008","-260","0","101161","1","0.9","2","120","1","240","1.2","0","bgm_M64","-120","0","101291","1","-30","1","10080102","10","2"
"1008","-40","-15","101161","1","0.8","3","100","1","200","1.1","-10","bgm_M64","65","0","101291","1","-30","1","10080103","0","3"
"1008","150","0","101161","1","0.9","4","100","1","200","1.3","0","bgm_M64","-110","0","101291","1.3","-30","1","10080104","0","4"
"1008","490","-20","101162","1","1.1","5","45","1","230","1.45","30","bgm_M55","-15","15","101292","1.3","-30","1","10080105","30","5"
"1009","-480","0","101161","1","0.6","1","250","1","210","0.8","-30","bgm_M64","-120","0","101301","0.7","-30","1","10090101","10","1"
"1009","-260","0","101161","1","0.75","2","120","1","200","1.2","0","bgm_M64","-120","0","101301","1","-30","1","10090102","10","2"
"1009","-50","-15","101161","1","1.55","3","100","1","200","2.3","-10","bgm_M64","100","0","101301","2.2","-30","1","10090103","0","3"
"1009","180","0","101161","1","1","4","100","1","200","1.3","0","bgm_M64","-100","15","101301","1.3","-30","1","10090104","0","4"
"1009","470","-20","101162","1","1","5","200","1","270","1.2","-30","bgm_M55","-55","-15","101302","1.1","-30","1","10090105","10","5"
"1010","-450","0","101161","1","0.575","1","170","1","210","1","-30","bgm_M64","-130","-25","101441","0.9","-30","1","10100101","10","1"
"1010","-250","0","101161","1","0.75","2","120","1","200","1.2","0","bgm_M64","-120","0","101441","1","-30","1","10100102","10","2"
"1010","-10","-15","101161","1","0.8","3","100","1","200","1.1","-10","bgm_M64","50","0","101441","1","-30","1","10100103","0","3"
"1010","180","0","101161","1","0.9","4","0","1","200","1.3","0","bgm_M64","-100","-30","101441","1","-30","1","10100104","0","4"
"1010","470","-20","101162","1","0.95","5","200","1","270","1.2","-30","bgm_M55","-70","-35","101442","1.1","-30","1","10100105","10","5"
"1011","-450","0","101451","1","0.575","1","170","1","210","1","-30","bgm_M64","-130","-25","101451","0.9","-30","1","10110101","10","1"
"1011","-250","0","101451","1","0.75","2","120","1","200","1.2","0","bgm_M64","-120","0","101451","1","-30","1","10110102","10","2"
"1011","-20","-15","101451","1","0.9","3","100","1","200","1.4","-10","bgm_M64","50","-30","101451","1","-30","1","10110103","0","3"
"1011","200","0","101451","1","0.65","4","100","1","220","0.9","0","bgm_M64","-100","20","101451","0.8","-30","1","10110104","0","4"
"1011","510","0","101452","1","1.25","5","200","1","290","1.55","-50","bgm_M55","-70","-35","101452","1.4","-30","1","10110105","0","5"
