fb39dd86e61d08f5e68c388349a349c33398776ae5099487ba1d1996e0260d0c,b5d510dc700c0feee79d8a41b8a8261504129d7eea2f30b78878f7324e8375f4,981ebb51f8c0e73f023d43eed1b6c5a53131cffa84f4cb6f8e20148d36c83bb1,147878ea162ee852065eea8d7ed8396cd25b8d333b9b97dfd9b6f9cd004113ae,f17c4288e4cd4bf3dd040d70d4c3c5561bc0f6c76f06ea6447205ff6252c72fd,8c811813ef359772664b6670be106567d6354e9f65505c4facad7f0305396a39,f7d717ad6ec10a8c9d2a9d1f5ce637fadf1ab26367f0a4e97cf4a3fa71b12236,0b7e3c11a8932229e7ad94b181325a15a805d8a718859c0788570d88f599afcf,740a8aa2aea9723f307a369159ac0c4b987f444712b5b59e30927027985103c1,91f30989aa97cc30f19bd22808ba79a005d59f83f4cc0fe335c0fd9dfac7a7e3,bae9fe421c86c6d6b489933ac46b6132e35b9fed4bae9a54b02f69b0b7936ab2,893ba7c0d1f69dbf5f4744bf3695c6e169e0a268344e12735ee1961d6a1871c5,700b24805bc51f244c3f00760eacfe27f0378dcb4844ff44730eaebac84197a8
"1","0","bgm_M33","1","2030/03/26 14:59:00","0","380000","0","0","2018/03/26 15:00:00","10001","380000","bgm_M33"
"2","0","bgm_M99","1","2030/03/26 14:59:00","0","380000","0","0","2018/04/26 15:00:00","10002","380000","bgm_M99"
"3","0","bgm_M107","1","2030/03/26 14:59:00","0","380000","0","0","2018/05/25 16:00:00","10003","380000","bgm_M107"
"4","0","bgm_M113","1","2030/03/26 14:59:00","0","380000","0","0","2018/06/26 15:00:00","10004","380000","bgm_M113"
"5","0","bgm_M121","1","2030/03/26 14:59:00","0","380000","0","0","2018/07/26 15:00:00","10005","380000","bgm_M121"
"6","0","bgm_M128","1","2030/03/26 14:59:00","0","380000","0","0","2018/08/27 15:00:00","10006","380000","bgm_M128"
"7","0","bgm_M135","1","2030/03/26 14:59:00","0","380000","0","0","2018/09/26 15:00:00","10007","380000","bgm_M135"
"8","0","bgm_M162","1","2030/03/26 14:59:00","0","380000","0","0","2018/10/26 15:00:00","10008","380000","bgm_M162"
"9","0","bgm_M171","1","2030/03/26 14:59:00","0","380000","0","0","2018/11/26 15:00:00","10009","380000","bgm_M171"
"10","0","bgm_M182","1","2030/03/26 14:59:00","0","380000","0","0","2018/12/26 15:00:00","10010","380000","bgm_M182"
"11","0","bgm_M189","1","2030/03/26 14:59:00","0","380000","0","0","2019/01/25 15:00:00","10011","380000","bgm_M189"
"12","0","bgm_M206","1","2030/03/26 14:59:00","0","380000","0","0","2019/02/22 15:00:00","10012","380000","bgm_M206"
"13","0","bgm_M215","1","2030/03/26 14:59:00","0","380000","0","0","2019/03/25 15:00:00","10013","380000","bgm_M215"
"14","0","bgm_M33","1","2030/03/26 14:59:00","0","380000","0","0","2019/04/11 15:00:00","10014","380000","bgm_M33"
"15","0","bgm_M223","1","2030/03/26 14:59:00","0","380000","0","0","2019/04/24 15:00:00","10015","380000","bgm_M223"
"16","0","bgm_M99","1","2030/03/26 14:59:00","0","380000","0","0","2019/05/09 15:00:00","10016","380000","bgm_M99"
"17","0","","1","2030/03/26 14:59:00","0","380000","0","0","2019/05/24 15:00:00","10017","380000",""
"18","0","bgm_M107","1","2030/03/26 14:59:00","0","380000","0","0","2019/06/10 15:00:00","10018","380000","bgm_M107"
"19","0","bgm_M237","1","2030/03/26 14:59:00","0","380000","0","0","2019/06/25 15:00:00","10019","380000","bgm_M237"
"20","0","bgm_M113","1","2030/03/26 14:59:00","0","380000","0","0","2019/07/08 15:00:00","10020","380000","bgm_M113"
"21","0","bgm_M245","1","2030/03/26 14:59:00","0","380000","0","0","2019/07/25 15:00:00","10021","380000","bgm_M245"
"22","0","bgm_M121","1","2030/03/26 14:59:00","0","380000","0","0","2019/08/08 15:00:00","10022","380000","bgm_M121"
"23","0","bgm_M254","1","2030/03/26 14:59:00","0","380000","0","0","2019/08/26 15:00:00","10023","380000","bgm_M254"
"24","0","bgm_M128","1","2030/03/26 14:59:00","0","380000","0","0","2019/09/09 15:00:00","10024","380000","bgm_M128"
"25","0","bgm_M265","1","2030/03/26 14:59:00","0","380000","0","0","2019/09/24 15:00:00","10025","380000","bgm_M265_Top"
"26","0","bgm_M135","1","2030/03/26 14:59:00","0","380000","0","0","2019/10/10 15:00:00","10026","380000","bgm_M135"
"27","0","bgm_M273","1","2030/03/26 14:59:00","0","380000","0","0","2019/10/25 15:00:00","10027","380000","bgm_M273"
