cf00932be107d61c6c3b9376b574b4dc0fe01b5cc358e309d7c94b2041f17bab,44e87855d10c5ca2d010842e4fb3280246ac5093854e9cbc9345e6e1ccc0b30f,f011711a88621c4d86a0be59a2530c33a12def29a4638299da1a5eead0f8108d,6a4686e5c776a8ace26b8d9760fb167e5aa9e7df8aa856c00e1e3146de3192a1,e2a817d3a9246ee54bd3f848ec8168e25be137605b2e14b553a1300b55fbecaa
"150000","94002","12","10000101","100001011"
"6","22003","2","10000101","100001012"
"500000","94002","12","10000102","100001021"
"6","22003","2","10000102","100001022"
"500000","94002","12","10000103","100001031"
"3","140001","4","10000103","100001032"
"3","25001","2","10000103","100001033"
"500000","94002","12","10000104","100001041"
"6","22003","2","10000104","100001042"
"500000","94002","12","10000105","100001051"
"4","140001","4","10000105","100001052"
"4","25001","2","10000105","100001053"
"500000","94002","12","10000106","100001061"
"6","22003","2","10000106","100001062"
"500000","94002","12","10000107","100001071"
"4","140001","4","10000107","100001072"
"4","25001","2","10000107","100001073"
"500000","94002","12","10000108","100001081"
"6","22003","2","10000108","100001082"
"500000","94002","12","10000109","100001091"
"4","140001","4","10000109","100001092"
"4","25001","2","10000109","100001093"
"120000","94002","12","10050501","100505011"
"3","22003","2","10050501","100505012"
"120000","94002","12","10050502","100505021"
"4","22003","2","10050502","100505022"
"120000","94002","12","10050503","100505031"
"4","22003","2","10050503","100505032"
"120000","94002","12","10050511","100505111"
"3","22003","2","10050511","100505112"
"160000","94002","12","10050512","100505121"
"4","22003","2","10050512","100505122"
"120000","94002","12","10060601","100606011"
"3","22003","2","10060601","100606012"
"120000","94002","12","10060602","100606021"
"4","22003","2","10060602","100606022"
"120000","94002","12","10060603","100606031"
"4","22003","2","10060603","100606032"
"120000","94002","12","10060611","100606111"
"3","22003","2","10060611","100606112"
"160000","94002","12","10060612","100606121"
"4","22003","2","10060612","100606122"
"120000","94002","12","10070701","100707011"
"3","22003","2","10070701","100707012"
"120000","94002","12","10070702","100707021"
"4","22003","2","10070702","100707022"
"120000","94002","12","10070703","100707031"
"4","22003","2","10070703","100707032"
"120000","94002","12","10070711","100707111"
"3","22003","2","10070711","100707112"
"160000","94002","12","10070712","100707121"
"4","22003","2","10070712","100707122"
"120000","94002","12","10080801","100808011"
"3","22003","2","10080801","100808012"
"120000","94002","12","10080802","100808021"
"4","22003","2","10080802","100808022"
"120000","94002","12","10080803","100808031"
"4","22003","2","10080803","100808032"
"120000","94002","12","10080811","100808111"
"3","22003","2","10080811","100808112"
"160000","94002","12","10080812","100808121"
"4","22003","2","10080812","100808122"
