5dac4192ff57bc37072653bad88bca53072807b89bbdc81c7f1fa5cbb91426b3,d9c5adc86c304086e0db6824e68cc57a3aa5bca44b720b64b31ddaeccc58e2ef,050a873b935541fb84fcca7421c6fe29173eb727693728e066ab8816461ad2af
"421","9000169","2816"
"751","9000170","2816"
"1061","9000210","2816"
"1361","9000211","2816"
"1671","9000212","2816"
"1801","9000213","2816"
"1981","9000214","2816"
"2281","9000217","2816"
"2591","9000218","2816"
"2891","9000219","2816"
"3201","9000220","2816"
"3511","9000221","2816"
"3791","9000224","2816"
"4091","9000226","2816"
"4092","9000228","2816"
