c330d2e5c56e9227b9e1f592661342a2acb2a1883fa1ced2bb3805c8e1cf6f1b,380e268d53ce00a413325e5b7d753b1ebb7e63bc027783eb376efb45ca66b8c0,eb5a8d2169c1ec7f393410fd3fc78f9271f257e7bca447550dada5f8cd2268a2,82a22cda692e5e4a50206812699930736fe8a78b78857a90947cd8fc0b16dea4,b13a516583a5da8f8665d0387e6ceff785d7e9351dcb4b5d8274faf78a2a6d6a,bcb749eb5def8d31d09253b4c070852e13b4e230ac1d0ee8fcba6f3f097cdc24,b40b20a94b9745d16c912be1e0f7231279a22938fb194230a25a2654fad7ca22,1c33f661d652edc9d07ad2e22c63ec74b73bd3dde23386bf295464ff862a712a,8d9ac2e41b7bd7e8df7016db759b1055a8e4571bcb0ac83bfd7fccdfdbcdd737,799a615b259940a4b34dcd41e1e33ed0af8793ecac37184c29d5e3839e217686,19ad419d6bd3065a775fef8240ea05189eaa365f6c9e596843503f9c17186f84
"1001","90","78100111","78100111","103624","1001","1","bgm_MC294","１戦目","bgm_MC294","100111"
"1001","90","78100112","78100112","103624","1001","1","bgm_MC294","２戦目","bgm_MC294","100112"
"1001","90","78100113","78100113","103624","1001","1","bgm_MC294","３戦目","bgm_MC294","100113"
"1001","90","78100114","78100114","103624","1001","1","bgm_MC294","４戦目","bgm_MC294","100114"
"1001","90","78100115","78100115","103624","1001","2","bgm_MC295B","５戦目","bgm_MC295B","100115"
"1001","90","78100121","78100121","103624","1001","1","bgm_MC294","１戦目","bgm_MC294","100121"
"1001","90","78100122","78100122","103624","1001","1","bgm_MC294","２戦目","bgm_MC294","100122"
"1001","90","78100123","78100123","103624","1001","1","bgm_MC294","３戦目","bgm_MC294","100123"
"1001","90","78100124","78100124","103624","1001","1","bgm_MC294","４戦目","bgm_MC294","100124"
"1001","90","78100125","78100125","103624","1001","2","bgm_MC295B","５戦目","bgm_MC295B","100125"
"1001","90","78100131","78100131","103624","1001","1","bgm_MC294","１戦目","bgm_MC294","100131"
"1001","90","78100132","78100132","103624","1001","1","bgm_MC294","２戦目","bgm_MC294","100132"
"1001","90","78100133","78100133","103624","1001","1","bgm_MC294","３戦目","bgm_MC294","100133"
"1001","90","78100134","78100134","103624","1001","1","bgm_MC294","４戦目","bgm_MC294","100134"
"1001","90","78100135","78100135","103624","1001","2","bgm_MC295B","５戦目","bgm_MC295B","100135"
"1002","90","78100211","78100211","103624","1002","1","bgm_MC294","１戦目","bgm_MC294","100211"
"1002","90","78100212","78100212","103624","1002","1","bgm_MC294","２戦目","bgm_MC294","100212"
"1002","90","78100213","78100213","103624","1002","1","bgm_MC294","３戦目","bgm_MC294","100213"
"1002","90","78100214","78100214","103624","1002","1","bgm_MC294","４戦目","bgm_MC294","100214"
"1002","90","78100215","78100215","103624","1002","2","bgm_MC295B","５戦目","bgm_MC295B","100215"
"1002","90","78100221","78100221","103624","1002","1","bgm_MC294","１戦目","bgm_MC294","100221"
"1002","90","78100222","78100222","103624","1002","1","bgm_MC294","２戦目","bgm_MC294","100222"
"1002","90","78100223","78100223","103624","1002","1","bgm_MC294","３戦目","bgm_MC294","100223"
"1002","90","78100224","78100224","103624","1002","1","bgm_MC294","４戦目","bgm_MC294","100224"
"1002","90","78100225","78100225","103624","1002","2","bgm_MC295B","５戦目","bgm_MC295B","100225"
"1002","90","78100231","78100231","103624","1002","1","bgm_MC294","１戦目","bgm_MC294","100231"
"1002","90","78100232","78100232","103624","1002","1","bgm_MC294","２戦目","bgm_MC294","100232"
"1002","90","78100233","78100233","103624","1002","1","bgm_MC294","３戦目","bgm_MC294","100233"
"1002","90","78100234","78100234","103624","1002","1","bgm_MC294","４戦目","bgm_MC294","100234"
"1002","90","78100235","78100235","103624","1002","2","bgm_MC295B","５戦目","bgm_MC295B","100235"
"1003","90","78100311","78100311","103624","1003","1","bgm_MC294","１戦目","bgm_MC294","100311"
"1003","90","78100312","78100312","103624","1003","1","bgm_MC294","２戦目","bgm_MC294","100312"
"1003","90","78100313","78100313","103624","1003","1","bgm_MC294","３戦目","bgm_MC294","100313"
"1003","90","78100314","78100314","103624","1003","1","bgm_MC294","４戦目","bgm_MC294","100314"
"1003","90","78100315","78100315","103624","1003","2","bgm_MC295B","５戦目","bgm_MC295B","100315"
"1003","90","78100321","78100321","103624","1003","1","bgm_MC294","１戦目","bgm_MC294","100321"
"1003","90","78100322","78100322","103624","1003","1","bgm_MC294","２戦目","bgm_MC294","100322"
"1003","90","78100323","78100323","103624","1003","1","bgm_MC294","３戦目","bgm_MC294","100323"
"1003","90","78100324","78100324","103624","1003","1","bgm_MC294","４戦目","bgm_MC294","100324"
"1003","90","78100325","78100325","103624","1003","2","bgm_MC295B","５戦目","bgm_MC295B","100325"
"1003","90","78100331","78100331","103624","1003","1","bgm_MC294","１戦目","bgm_MC294","100331"
"1003","90","78100332","78100332","103624","1003","1","bgm_MC294","２戦目","bgm_MC294","100332"
"1003","90","78100333","78100333","103624","1003","1","bgm_MC294","３戦目","bgm_MC294","100333"
"1003","90","78100334","78100334","103624","1003","1","bgm_MC294","４戦目","bgm_MC294","100334"
"1003","90","78100335","78100335","103624","1003","2","bgm_MC295B","５戦目","bgm_MC295B","100335"
