a77430cbad0ab6a9f9c4443aff5c1faa41348d43c5b0dc45db1c3801f7859ae8,76bedcef9be822c9151c005b1b28906bb54d13c7c13a73c49e04799b6761eca5,ab2bc6754b20b83f2f0dc4c0f0e0fc4d1e08b73a79367b89aa41f5c54fb8192f,9175ad17ec403a61347b8a5d8dd22136d0291a5b0b9d4213acc04ab52c63858c,80cf2ca2dc446316b966dd96680c8bcc23aa665311ef1097c6114276a6517880,49203030dd474877c984298a460b497774d02af9abf19530901a4ff552d80cd2
"1","10009106","1","10009101","0","1"
"1","10009112","1","10009101","0","2"
"1","10010110","1","10010101","0","3"
"2","1001901","1","10019101","0","4"
"1","10021112","1","10021101","0","5"
"1","10025109","1","10025101","0","6"
"3","5025001","2","10025","500810","7"
"1","20009106","1","20009101","0","8"
"1","20009112","1","20009101","0","9"
"1","20010110","1","20010101","0","10"
"3","5042001","2","10042","501001","12"
"2","2001501","1","20015101","0","13"
"3","5044001","2","10044","501031","14"
"1","20016112","1","20016101","0","15"
"3","5046002","2","10046","501103","16"
"1","10049109","1","10049101","0","17"
"1","10066112","1","10066101","0","19"
"3","5066005","2","10066","501291","20"
"3","5042001","2","10069","501001","21"
"3","5044001","2","10071","501031","22"
"3","5068001","2","10068","501341","23"
"3","5070004","2","10070","501353","24"
"3","5070005","2","10070","500016","25"
"3","5072004","2","10072","501364","26"
"3","5072006","2","10072","501365","27"
"3","5046002","2","10073","501103","28"
"3","5074001","2","10074","501383","29"
"1","10076112","1","10076101","0","30"
"3","5076005","2","10076","505036","31"
"3","5078004","2","10078","501451","32"
"3","5080005","2","10080","501463","33"
"1","10082105","1","10082101","0","34"
"1","10082108","1","10082102","0","35"
"1","10082111","1","10082103","0","36"
"3","5082002","2","10082","501160","37"
"3","5082004","2","10082","501031","38"
"3","5082005","2","10082","501483","39"
"3","5084001","2","10084","500368","40"
"3","5084002","2","10084","510306","41"
"3","5084003","2","10084","500039","42"
"3","5085002","2","10085","500368","43"
"3","5085003","2","10085","510203","44"
"3","5085004","2","10085","500272","45"
"3","5085005","2","10085","501501","46"
"3","5088005","2","10088","501810","47"
"3","5042001","2","20025","501001","50"
"3","5090002","2","10090","501541","51"
"3","5044001","2","20026","501031","55"
"1","10093112","1","10093101","0","56"
"3","5066005","2","10093","501291","57"
"3","5046002","2","20027","501103","58"
"3","5092001","2","10092","501031","59"
"3","5092004","2","10092","501551","60"
"3","5094001","2","10094","501593","61"
"3","5068001","2","10095","501341","62"
"3","5025001","2","20018","500810","67"
"3","5096002","2","10096","501613","68"
"3","5070004","2","10097","501353","73"
"3","5070005","2","10097","500016","74"
"3","5098000","2","10098","501031","75"
"1","10098104","1","10098101","0","76"
"1","10098111","1","10098102","0","77"
"3","5072004","2","10099","501364","78"
"3","5072006","2","10099","501365","79"
"3","5100003","2","10100","500837","80"
"3","5074001","2","10101","501383","82"
"3","5074001","2","10101","501383","83"
"3","5102002","2","10102","501873","84"
"1","10103112","1","10103101","0","85"
"3","5076005","2","10103","505036","86"
"3","5108002","2","10108","501911","88"
"3","5104003","2","10104","500133","89"
"3","5078004","2","10105","501451","90"
"3","5110005","2","10110","501931","93"
"3","5111005","2","10111","500013","94"
"3","5080005","2","10107","501463","95"
"1","10109105","1","10109101","0","96"
"1","10109108","1","10109102","0","97"
"1","10109111","1","10109103","0","98"
"3","5082002","2","10109","501160","99"
"3","5082004","2","10109","501031","100"
"3","5082005","2","10109","501483","101"
"3","5084001","2","10112","500368","103"
"3","5084002","2","10112","510306","104"
