314f002286c0a6f861596c451c2a63adf48886d8369b894acb1281f0e4f0e9eb,082890fdb125c723feb0605704cfd7a048f230afce96fe488948d261b6a7e0c6,134f2c55cf0b98a57b8de6d7fcc97b7ff3424373888a1ec222307ab4943c4cf5,8f90027f30ee8b8e37e4e248e8a0c5b7651010e048c3f64e4ecb2b47b68c62d0,20998754e7049e9a6ddcee2cf80881425eb49ec08a14454fb1e57c6af28db180,ed76839434b75b0a58c18afab44a450aacc0ebe4a37b3f5e529112cf9c500a9d,78e151ac182581c5ad50e2e89322790f75cf1c5b06366804a180bdb03df2250c
"10001","ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004","2","vo_minigame_1004_top_1_000","1000101","1"
"10002","しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004","2","vo_minigame_1004_top_1_003","1000201","1"
"10003","どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004","1","vo_minigame_1004_top_1_004","1000301","2"
"10004","石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004","1","vo_minigame_1004_top_1_005","1000401","2"
"10005","しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004","1","vo_minigame_1004_top_1_006","1000501","2"
"10006","ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004","2","vo_minigame_1004_top_1_007","1000601","3"
"10007","ぐもももも（シリトリ タノシイ）","vo_minigame_1004","2","vo_minigame_1004_top_1_008","1000701","3"
"10008","ぐもももも！（イノリ イイヤツ）","vo_minigame_1004","2","vo_minigame_1004_top_1_009","1000801","3"
"10009","カヤぴぃ相手でも手加減しないです","vo_minigame_1004","2","vo_minigame_1004_top_2_010","1000901","1"
"10009","上等だ！やるからには本気で来いよな","vo_minigame_1004","1","vo_minigame_1004_top_2_011","1000902","2"
"10010","カヤぴぃ、謝るなら今のうちです","vo_minigame_1004","2","vo_minigame_1004_top_2_012","1001001","1"
"10010","イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004","1","vo_minigame_1004_top_2_013","1001002","2"
"10011","カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004","2","vo_minigame_1004_top_2_014","1001101","1"
"10011","待て！オレがバカみたいにいうな！！","vo_minigame_1004","1","vo_minigame_1004_top_2_015","1001102","2"
"10012","さあ、あたしたちの力を見せてやるです","vo_minigame_1004","1","vo_minigame_1004_top_2_016","1001201","1"
"10012","ぐも！（マカセロ！）","vo_minigame_1004","2","vo_minigame_1004_top_2_017","1001202","3"
"10013","よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004","1","vo_minigame_1004_top_2_018","1001301","1"
"10013","ぐも！（オデ チョコスキ）","vo_minigame_1004","2","vo_minigame_1004_top_2_019","1001302","3"
"10014","なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","1","vo_minigame_1004_top_2_023","1001401","2"
"10014","もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","2","vo_minigame_1004_top_2_024","1001402","1"
"10015","いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","1","vo_minigame_1004_top_2_025","1001501","2"
"10015","望むところです手加減はなしですよ","vo_minigame_1004","2","vo_minigame_1004_top_2_026","1001502","1"
"10016","へっ、なかなかやるじゃねえか","vo_minigame_1004","1","vo_minigame_1004_top_2_027","1001601","2"
"10016","カヤぴぃも思ったよりやるですね！","vo_minigame_1004","2","vo_minigame_1004_top_2_028","1001602","1"
"10017","お～い、ドラゴンもどき？","vo_minigame_1004","1","vo_minigame_1004_top_2_029","1001701","2"
"10017","ぐもっ！？（ヒッ！）","vo_minigame_1004","2","vo_minigame_1004_top_2_030","1001702","3"
"10018","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","1","vo_minigame_1004_top_2_031","1001801","2"
"10018","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","2","vo_minigame_1004_top_2_032","1001802","3"
"10019","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","1","vo_minigame_1004_top_2_033","1001901","2"
