75b4d2d742195ec2912de8a594c3614b929c41c125da1388e29e3e258c5d5168,f09c08fb2ff2147375f540dda9e8424aa410229873946a5fe9f0dd13038f24cb,dbb162491dce187a7e1371ea4b653161a18342817ba72fab3c2d6e8325800771,bc114ad6b856ed0c54e160ec0e5e4b9d1d52009c7de8d0cf43a8e5ad76c5dd2d,bd8817deffd4cd057bb80b630b7ea74e000777df077d58624c10c7d84df090e0,1b8230c79b657c6500533f3b6d731a7ac6b161a07d3290573c63ea825c24bc63
"1","1101","1","20025","0","0"
"1","1102","1","20025","0","0"
"1","1103","0","20025","5042002","1"
"1","1104","1","20025","0","0"
"1","1105","0","20025","5042003","1"
"1","1106","1","20025","0","0"
"1","1107","0","20025","5042005","2"
"2","1201","0","20025","5042007","1"
"2","1202","0","20025","5042007","2"
"2","1203","1","20025","0","0"
"2","1204","1","20025","0","0"
"1","1301","0","20025","0","0"
