59ed1a5f9a51c25168269ece78932b80d76fa40f3690a26d2d46cad1fa842117,dd721351a497ee7b9c59c35f45904ce618ffb6c20e588652fae8a39f8cfdc1e6,5bebe3b1a30b27a112da24523e95c1735216aff0de4e2e7ef79b0f86957c94d4,9ef9cacdd647c5e2c6160767456f7e64e2e98cb2d75dcd580b03701fd8858702,17ecc43d473f03af2a716f7332df2eace5651b77e9b9a9685ee0ad2e7fa2c12c,70a816306dca1ab23ca048c17aa2439de4d20ceae0a19fbd8d708cc4f2d22e11,62c2b41422a4f793095a8c81e30002a61ca8cdd14c5cbd86da972d3cf5010ba2,d40a8bc932557c383e4dd6735d9d2a069bfe7ae6960b04601cbe919e2db08bdf,cb782610bbb2df0f39d9d59bb80baea4667cf318ef77be8c20eacc67cd259dc5,af88b96df2a6208bf2fb3d7e7e1b3fbc4152cbdfc6f7f18663f64c65743b8bd4
"バグ","1","パグ","0","0","0","2110001","0","ハグ","バク"
"テクノロジー","1","手首","0","0","0","2110003","0","テイク","テクニック"
"なだれ","1","ゆきやけ","0","0","0","2110005","0","じひびき","ふぶき"
"磁石","1","大理石","0","0","0","2110006","0","黒曜石","化石"
"オーシャン","1","ミスト","0","0","0","2110007","0","ガルフ","リバー"
"アットマーク","1","カットマーク","0","0","0","2110008","0","バットマーク","ラットマーク"
"太陽の日があたる場所","1","建物の中の場所","0","0","0","2110010","0","いつもすずしい場所","太陽があたらない場所"
"アップデート","1","バレンタインデート","0","0","0","2110011","0","ハッピーデート","ダブルデート"
"ブリザード","1","バリケード","0","0","0","2110012","0","オブリガード","ブルドーザー"
"太陽","1","火星","0","0","0","2110014","0","地球","月"
"地平線","1","新幹線","0","0","0","2110016","0","電話線","放物線"
"黒歴史","1","青歴史","0","0","0","2110018","0","赤歴史","白歴史"
"しょうゆ","1","みそ","0","0","0","2110019","0","お酢","みりん"
"背中","1","顔","0","0","0","2110021","0","手のひら","お腹"
"鉄板","1","看板","0","0","0","2110022","0","ベニヤ板","ガラス板"
"ドレスコード","1","エンコード","0","0","0","2110023","0","バーコード","プレスコード"
"こけらおとし","1","まくおとし","0","0","0","2110024","0","やくおとし","だるまおとし"
"コイン","1","ライン","0","0","0","2110025","0","ライス","コイル"
"アパレル","1","パラソル","0","0","0","2110026","0","ナチュラル","パラレル"
"透かし","1","薄塗り","0","0","0","2110028","0","上塗り","ぼかし"
"目薬","1","胃薬","0","0","0","2110031","0","塗り薬","風邪薬"
"ぬか","1","石の上","0","0","0","2110032","0","馬の耳","のれん"
"金棒","1","豆腐","0","0","0","2110034","0","カナブン","なみだ"
"水","1","サイダー","0","0","0","2110035","0","コーラ","レモネード"
"三度","1","四度","0","0","0","2110036","0","二度","一度"
"たんこぶ","1","メガネ","0","0","0","2110037","0","手ぬぐい","髪の毛"
"闇","1","天国","0","0","0","2110038","0","極楽","光"
"ぼた餅","1","あんみつ","0","0","0","2110039","0","ようかん","団子"
"はち","1","あぶ","0","0","0","2110040","0","か","はえ"
"馬","1","猫","0","0","0","2110041","0","羊","猿"
"水","1","土","0","0","0","2110042","0","火","風"
"冷","1","水","0","0","0","2110043","0","氷","寒"
"朝","1","脇","0","0","0","2110044","0","散","韓"
"生姜","1","生卵","0","0","0","2110045","0","生米","生麦"
"宣誓","1","占星","0","0","0","2110046","0","先制","先生"
"起床","1","気性","0","0","0","2110047","0","希少","気象"
"不","1","未","0","0","0","2110049","0","無","非"
"非","1","未","0","0","0","2110050","0","無","不"
"無","1","未","0","0","0","2110051","0","非","不"
"未","1","無","0","0","0","2110052","0","非","不"
"三日坊主","1","有名無実","0","0","0","2110053","0","一日千秋","馬耳東風"
"たぬき","1","きつね","0","0","0","2110054","0","いぬ","ねこ"
"たび","1","あしのうら","0","0","0","2110056","0","てぶくろ","くつひも"
"百","1","万 ","0","0","0","2110058","0","千","十"
"十","1","七","0","0","0","2110060","0","八","九"
"ハッピーエンド","1","ハイテンション","0","0","0","2111001","0","アジテーション","ジャッジメント"
"どるるるる～ん★","1","夢はスーパースター☆☆★","0","0","0","2111002","0","やばいですね★","ちぇる～ん☆"
"尖った長い耳","1","二つの角を頭部に持つ","0","0","0","2111003","0","最も人口が多い","獣の耳と尻尾がある"
"カォン","1","キャォン","0","0","0","2111004","0","パォン","クォン"
"成長","1","教育","0","0","0","2111005","0","高価","輝く"
"銀","1","金","0","0","0","2120002","0","鉄","銅"
"レバー","1","モツ","0","0","0","2120004","0","ハツ","ラバー"
"トラウマ","1","ストレス","0","0","0","2120005","0","バシャウマ","タケウマ"
"時雨","1","雷雨","0","0","0","2120006","0","分雨","秒雨"
"鉄","1","金","0","0","0","2120009","0","銅","銀"
"大黒柱","1","大白柱","0","0","0","2120011","0","大青柱","大赤柱"
"電報","1","電灯","0","0","0","2120012","0","電源","電車"
"みりん","1","みそ","0","0","0","2120013","0","お酢","しょうゆ"
"でがらし","1","こいめ","0","0","0","2120014","0","しぶみ","ですぎ"
"かみて","1","じょうず","0","0","0","2120016","0","じょうしゅ","うわて"
"よせ","1","よるせき","0","0","0","2120017","0","よせき","よりせき"
"フリーウェイ","1","レールウェイ","0","0","0","2120018","0","フライアウェイ","ロングウェイ"
"かすがい","1","念仏","0","0","0","2120021","0","腕押し","釘"
"爪","1","尻","0","0","0","2120022","0","鼻","眉"
"論語","1","かすがい","0","0","0","2120023","0","念仏","小判"
"ひょうたん","1","巾着","0","0","0","2120025","0","花瓶","とっくり"
"雀","1","虎","0","0","0","2120026","0","牛","馬"
"一朝一夕","1","一兆一億","0","0","0","2120027","0","一長一短","一鳥一石"
"4つ","1","8つ","0","0","0","2120028","0","6つ","2つ"
"hello","1","harro","0","0","0","2120029","0","herro","hallo"
"優柔不断","1","日進月歩","0","0","0","2120031","0","一進一退","不言実行"
"金曜日","1","月曜日","0","0","0","2120033","0","日曜日","木曜日"
"水曜日","1","火曜日","0","0","0","2120034","0","木曜日","金曜日"
"ダイイングメッセージ","1","ダイビングメッセージ","0","0","0","2120035","0","ダンシングメッセージ","ダビングメッセージ"
"馬","1","獅子","0","0","0","2120036","0","犬","牛"
"トイレ","1","キッチン","0","0","0","2120037","0","クローゼット","川"
"かんがみる","1","こころみる","0","0","0","2120038","0","かいまみる","かんがえる"
"八百万","1","二百万","0","0","0","2120039","0","五百万","三百万"
"蛇","1","猪","0","0","0","2120042","0","猿","熊"
"一死","1","すべて正しい","0","0","0","2120045","0","状態","瀕死"
"不信","1","すべて正しい","0","0","0","2120046","0","追跡","人物"
"硬化","1","すべて正しい","0","0","0","2120047","0","両替","紙幣"
"きゅうしいっしょう","1","さんしゃさんよう","0","0","0","2120048","0","しぶんごれつ","はちめんろっぴ"
"せんざいいちぐう","1","いちもうだじん","0","0","0","2120049","0","しめんそか","ひゃっぱちひゃくちゅう"
"図る","1","測る","0","0","0","2120050","0","計る","謀る"
"就く","1","付く","0","0","0","2120051","0","突く","着く"
"青","1","白","0","0","0","2120053","0","黒","赤"
"五分","1","二分","0","0","0","2120054","0","七分","三分"
"敵同士","1","師弟","0","0","0","2120055","0","カップル","家族"
"タケノコ","1","アスパラ","0","0","0","2120056","0","シイタケ","マツタケ"
"金","1","命","0","0","0","2120057","0","仕事","女"
"真綿","1","糸","0","0","0","2120058","0","髪の毛","麻"
"眉","1","うなじ","0","0","0","2120059","0","あご","耳"
"亀","1","猫","0","0","0","2120060","0","犬","鶴"
"狐","1","兎","0","0","0","2120061","0","猫","狸"
"バイバイぼっち団","1","バイトばっかり団","0","0","0","2121001","0","ぼくらの防衛団","ばたんきゅー冒険団"
