056d0231587143b28bbbdba40bcbace5d66d8b6a2197e42ddcbd0cee0a0402fc,4133d376c9fced040a7c722f533d154e09dc9b16143c78bb302ed9966bca5aff,7c981f12560b34ebb26a931fc29b21ececdbd7ebde68761592039191a0197e19,b3326571193d8db8660a392f00ca1fa52f785a391bebf7767f0b65ebb60e6600,09973b4d7fb362855795dd5851e908b5d015d7ecf1842e7f8c744cc338975386,0b62d1d1146675dad3f5164b7c673364939af8456e606d5aa13a830de3d3ff6c,0469cf072cc7a0530f9a3cd0ce892950615bb41d5abab09797a8fe909e6381ed,6cbfda71f64311b1700c461fc582491bdf4bd5bd627f88e9a2e8f984ccb706b3,3115fc70e6e5bf0d1df7688b81c9571144eebc5e97eb24921f2104af601f473c
"11","0.7","502001102","1","43.5","320010106","1","0","1"
"67","0.65","502001103","2","13","320010106","2","0","3"
"49","0.65","0","3","-74","320010106","3","0","2"
"13","0.7","502001108","4","-49","320010107","1","0","1"
"62","0.85","502001109","5","-4","320010107","2","0","3"
"50","0.65","0","6","59","320010107","3","0","2"
"-10","1.05","0","7","0","320010108","1","0","1"
"-10","1.05","0","8","-15","320010109","1","0","1"
"-45","0.43","0","9","-85","320010110","1","0","1"
"-45","0.43","0","10","85","320010110","2","0","2"
"11","0.7","502001202","11","43.5","320010206","1","0","1"
"67","0.65","502001203","12","13","320010206","2","0","3"
"49","0.65","0","13","-74","320010206","3","0","2"
"13","0.7","502001208","14","-49","320010207","1","0","1"
"62","0.85","502001209","15","-4","320010207","2","0","3"
"50","0.65","0","16","59","320010207","3","0","2"
"-10","1.05","0","17","0","320010208","1","0","1"
"-10","1.05","0","18","-15","320010209","1","0","1"
"-45","0.43","0","19","-85","320010210","1","0","1"
"-45","0.43","0","20","85","320010210","2","0","2"
"11","0.7","502001302","21","43.5","320010306","1","0","1"
"67","0.65","502001303","22","13","320010306","2","0","3"
"49","0.65","0","23","-74","320010306","3","0","2"
"13","0.7","502001308","24","-49","320010307","1","0","1"
"62","0.85","502001309","25","-4","320010307","2","0","3"
"50","0.65","0","26","59","320010307","3","0","2"
"-10","1.05","0","27","0","320010308","1","0","1"
"-10","1.05","0","28","-15","320010309","1","0","1"
"-45","0.43","0","29","-85","320010310","1","0","1"
"-45","0.43","0","30","85","320010310","2","0","2"
"11","0.7","502001402","31","43.5","320010406","1","0","1"
"67","0.65","502001403","32","13","320010406","2","0","3"
"49","0.65","0","33","-74","320010406","3","0","2"
"13","0.7","502001408","34","-49","320010407","1","0","1"
"62","0.85","502001409","35","-4","320010407","2","0","3"
"50","0.65","0","36","59","320010407","3","0","2"
"-10","1.05","0","37","0","320010408","1","0","1"
"-10","1.05","0","38","-15","320010409","1","0","1"
"-45","0.43","0","39","-85","320010410","1","0","1"
"-45","0.43","0","40","85","320010410","2","0","2"
"11","0.7","502001502","41","43.5","320010506","1","0","1"
"67","0.65","502001503","42","13","320010506","2","0","3"
"49","0.65","0","43","-74","320010506","3","0","2"
"13","0.7","502001508","44","-49","320010507","1","0","1"
"62","0.85","502001509","45","-4","320010507","2","0","3"
"50","0.65","0","46","59","320010507","3","0","2"
"-10","1.05","0","47","0","320010508","1","0","1"
"-10","1.05","0","48","-15","320010509","1","0","1"
"-45","0.43","0","49","-85","320010510","1","0","1"
"-45","0.43","0","50","85","320010510","2","0","2"
"11","0.7","502002102","51","43.5","320020106","1","0","1"
"67","0.65","502002103","52","13","320020106","2","0","3"
"49","0.65","0","53","-74","320020106","3","0","2"
"13","0.7","502002108","54","-49","320020107","1","0","1"
"62","0.85","502002109","55","-4","320020107","2","0","3"
"50","0.65","0","56","59","320020107","3","0","2"
"-10","1.05","0","57","0","320020108","1","0","1"
"-10","1.05","0","58","-15","320020109","1","0","1"
"-45","0.43","0","59","-85","320020110","1","0","1"
"-45","0.43","0","60","85","320020110","2","0","2"
"11","0.7","502002202","61","43.5","320020206","1","0","1"
"67","0.65","502002203","62","13","320020206","2","0","3"
"49","0.65","0","63","-74","320020206","3","0","2"
"13","0.7","502002208","64","-49","320020207","1","0","1"
"62","0.85","502002209","65","-4","320020207","2","0","3"
"50","0.65","0","66","59","320020207","3","0","2"
"-10","1.05","0","67","0","320020208","1","0","1"
"-10","1.05","0","68","-15","320020209","1","0","1"
"-45","0.43","0","69","-85","320020210","1","0","1"
"-45","0.43","0","70","85","320020210","2","0","2"
"11","0.7","502002302","71","43.5","320020306","1","0","1"
"67","0.65","502002303","72","13","320020306","2","0","3"
"49","0.65","0","73","-74","320020306","3","0","2"
"13","0.7","502002308","74","-49","320020307","1","0","1"
"62","0.85","502002309","75","-4","320020307","2","0","3"
"50","0.65","0","76","59","320020307","3","0","2"
"-10","1.05","0","77","0","320020308","1","0","1"
"-10","1.05","0","78","-15","320020309","1","0","1"
"-45","0.43","0","79","-85","320020310","1","0","1"
"-45","0.43","0","80","85","320020310","2","0","2"
"11","0.7","502002402","81","43.5","320020406","1","0","1"
"67","0.65","502002403","82","13","320020406","2","0","3"
"49","0.65","0","83","-74","320020406","3","0","2"
"13","0.7","502002408","84","-49","320020407","1","0","1"
"62","0.85","502002409","85","-4","320020407","2","0","3"
"50","0.65","0","86","59","320020407","3","0","2"
"-10","1.05","0","87","0","320020408","1","0","1"
"-10","1.05","0","88","-15","320020409","1","0","1"
"-45","0.43","0","89","-85","320020410","1","0","1"
"-45","0.43","0","90","85","320020410","2","0","2"
"11","0.7","502002502","91","43.5","320020506","1","0","1"
"67","0.65","502002503","92","13","320020506","2","0","3"
"49","0.65","0","93","-74","320020506","3","0","2"
"13","0.7","502002508","94","-49","320020507","1","0","1"
"62","0.85","502002509","95","-4","320020507","2","0","3"
"50","0.65","0","96","59","320020507","3","0","2"
"-10","1.05","0","97","0","320020508","1","0","1"
"-10","1.05","0","98","-15","320020509","1","0","1"
"-45","0.43","0","99","-85","320020510","1","0","1"
"-45","0.43","0","100","85","320020510","2","0","2"
"11","0.7","502003102","101","43.5","320030106","1","0","1"
"67","0.65","502003103","102","13","320030106","2","0","2"
"49","0.65","0","103","-74","320030106","3","0","3"
"13","0.7","502003108","104","-49","320030107","1","0","1"
"62","0.85","502003109","105","-4","320030107","2","0","3"
"50","0.65","0","106","59","320030107","3","0","2"
"-10","1.05","0","107","0","320030108","1","0","1"
"-10","1.05","0","108","-15","320030109","1","0","1"
"-45","0.43","0","109","-85","320030110","1","0","1"
"-45","0.43","0","110","85","320030110","2","0","2"
"11","0.7","502003202","111","43.5","320030206","1","0","1"
"67","0.65","502003203","112","13","320030206","2","0","2"
"49","0.65","0","113","-74","320030206","3","0","3"
"13","0.7","502003208","114","-49","320030207","1","0","1"
"62","0.85","502003209","115","-4","320030207","2","0","3"
"50","0.65","0","116","59","320030207","3","0","2"
"-10","1.05","0","117","0","320030208","1","0","1"
"-10","1.05","0","118","-15","320030209","1","0","1"
"-45","0.43","0","119","-85","320030210","1","0","1"
"-45","0.43","0","120","85","320030210","2","0","2"
"11","0.7","502003302","121","43.5","320030306","1","0","1"
