6b7b058e74f418525f9207ac60316f067d3311543957f9431dd7d28b24d6ca1e,1bf10f93cb5193ae5e6095d65002ae196b7bf295685e54b0280c8bc1fb068ce0,2a1ab9f6e266a3c3bc304be1eeeeaf292c9044f96f5dcc329a0cfa19cb2c8620,65aa6a9e907f073e2a4da90ae307cd524c7b23f9546689718387d1e0fbba2b08,2721068a38f21dd0287ca6be564bcb8de4d63fc3423c4018504f82e78573c186,1ea05e51fa478daa4174bd3b139210cb68a073d2fd504a1f8c6de6abbf30849c,1c0a8c504534f4d6734ea8939ada0b8c066f4f234598326726847b7d95acd02e,8a0f5ebb3417a081df986ca1b2bc525ed78901c16f330371eab1195cee2be1c1,3b2929d4bab35045e19ddd67147078b9eddb54f10102f7c3e8ef7d43c9bf5ee1,f890d4e2896ca78e7f8b695501fa16a697f532a4f791787ade04d15a7fe9c0a3,290cccf64b3ea5ff3f71000154c7a77f917e66ebea300ca75d50a905281e4cd0
"12001","0","1","52","1","5","30","talk_sad","12","2.2","-250"
"12002","0","1","1","1","6","1","","12","0","0"
"12003","0","0","29","0","5","50","black","12","1","0"
"12004","0","1","1","0","6","1","","12","0","0"
"12005","","","","0","91","","","12","",""
"12006","0","1","1","1","6","1","","12","0.2","1"
"12007","0","1","1","0","6","1","","12","0.2","1"
"12008","","-20","-250","1","2","0.3","","12","","2"
"12009","","0","0","0","2","0.3","","12","","2"
"12010","","0","","0.6","93","","","12","",""
"12011","","vo_asb_0121","0","vo_asb","21","0","","12","",""
"12012","0","思えば手土産すらも、\n持参できず仕舞いでした……","10","1","11","1","0","12","0","1"
"12013","","","0","0","91","0","","12","",""
"12014","","guts2_talk_shy","1","1","3","","","12","0.2",""
"12015","","vo_asb_0122","0","vo_asb","21","0","","12","",""
"12016","0","次に伺う時は必ず……！","10","1","11","1","0","12","0","1"
"12017","","","0","0","91","0","","12","",""
"12018","","sad_talk_surprise","1","1","3","","","12","0.2",""
"12019","","vo_asb_0123","0","vo_asb","21","0","","12","",""
"12020","0","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","10","1","11","1","0","12","0","1"
"12021","","","0","0","91","0","","12","",""
"12022","","surprise_talk_dere","1","1","3","","","12","0.3",""
"12023","","vo_asb_0124","0","vo_asb","21","0","","12","",""
"12024","0","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","10","1","11","1","0","12","0","1"
"12025","","","0","0","91","0","","12","",""
"12026","0","sad_talk_riri_in","0","1","3","sad_idle_red_riri","","12","0.4","1"
"12027","","vo_asb_0125","0","vo_asb","21","0","","12","",""
"12028","0","……一緒に……手土産を……\n……ぽっ。","10","1","11","1","0","12","0","1"
"12029","","","0","0","91","0","","12","",""
"12030","","","","12031","101","","","12","",""
"12031","0","1","1","1","6","1","","12","0.3","0"
"12032","0","1","1","0","6","1","","12","0.3","0"
"12033","","-120","-250","1","2","0.3","","12","","1"
"12034","","-100","0","0","2","0.3","","12","","1"
"12035","","0","","0","22","","","12","",""
"12036","","0","","0.4","93","","","12","",""
"13001","0","1","17","1","5","20","riri_idle_look_shy","13","2.2","-230"
"13002","0","2","19","2","5","-140","clear_idle_look_shy","13","2.2","-255"
"13003","1","3","18","3","5","270","idle_look_precia","13","2.2","-245"
"13004","0","1","1","1","6","1","","13","0","0"
"13005","0","1","1","2","6","1","","13","0","0"
"13006","0","1","1","3","6","1","","13","0","0"
"13007","","100","0","1","31","0","","13","0","1"
