9d0a71109f43f85eb881037090940077ddf171110635b7c79e65eea85a70176e,3aa4413997173891ec8351d8313f77de0d0912195968ab12430c4cdc2a4f710c,3486f47ab55f203025b315fc1916c02e8dc59cded6cc3b8459599a77f7f7a9f8,f9a7b81975a41c25591c10bc948408f23ff4fc01d935d07403e5171b8b18eae2,a08b91304b86a9c1788038195aaf519052a5ec594e9eeb9fed0a95aa5fcddd4e,ed2f1583beddacb704adef028eaf3e493097977c7737e6879119e5c45ed2962d,31bfa15dc81fec773efb3c37b734ad91713032cb395925bccc0a61d0c31a85a0,f420731edc18cd571b8a64517a37ce5d4f562ee36517a3967506d0bcd0d3c3b9,226c015408ae5b15dbcb32083e96d8152a5bddd4f5c3379aa438aeb00a9b448e,0987cc500e5d86bac8b4b16a0e6553b038447186c8dafb8571eb972d83e51809,3e9c4dafd01c80160e79dabe1fcd89478657ce5b1f833606ea8bb8dfbf74a4d2
"23","","se_fpc_water_random","","","","","se_10053800","","101","11010001"
"1","0","<unit_id>","-850","cmn_swm_tread","-180","1.75","1","23","101","11010002"
"5","0","1","-850","cmn_swm_tread_pink","-180","1.75","1","22","101","11010003"
"31","","3","-180","","1","1","3","-850","101","11010004"
"91","","0","","","","","0","","101","11010005"
"2","","850","10","","","","<unit_id>","-180","101","11010006"
"2","","850","10","","","","1","-180","101","11010007"
"33","","850","10","","","","3","-180","101","11010008"
"23","","se_fpc_water_random","","","","","se_10053800","","102","11020001"
"1","0","<unit_id>","-850","cmn_swm_tread","-180","1.75","1","23","102","11020002"
"5","0","1","-850","cmn_swm_tread_blue","-180","1.75","1","22","102","11020003"
"31","","3","-180","","1","1","3","-850","102","11020004"
"91","","0","","","","","0","","102","11020005"
"2","","850","10","","","","<unit_id>","-180","102","11020006"
"2","","850","10","","","","1","-180","102","11020007"
"33","","850","10","","","","3","-180","102","11020008"
"23","","se_fpc_water_random","","","","","se_10053800","","103","11030001"
"1","0","<unit_id>","-850","cmn_swm_tread","-180","1.75","1","23","103","11030002"
"5","0","1","-850","cmn_swm_tread","-180","1.75","1","22","103","11030003"
"31","","3","-180","","1","1","3","-850","103","11030004"
"91","","0","","","","","0","","103","11030005"
"2","","850","10","","","","<unit_id>","-180","103","11030006"
"2","","850","10","","","","1","-180","103","11030007"
"33","","850","10","","","","3","-180","103","11030008"
"23","","se_fpc_water_random","","","","","se_10053800","","151","11510001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick","-180","1.75","1","22","151","11510002"
"31","","1","-180","","1","1","1","-850","151","11510003"
"91","","0","","","","","0","","151","11510004"
"2","","1050","10","","","","<unit_id>","-180","151","11510005"
"33","","1050","10","","","","1","-180","151","11510006"
"23","","se_fpc_water_random","","","","","se_10053800","","201","12010001"
"1","0","<unit_id>","-850","cmn_swm_breastStroke","-180","1.75","1","22","201","12010002"
"31","","2","-180","","1","1","2","-850","201","12010003"
"91","","0","","","","","0","","201","12010004"
"2","","850","10","","","","<unit_id>","-180","201","12010005"
"33","","850","10","","","","2","-180","201","12010006"
"23","","se_fpc_water_random","","","","","se_10053800","","251","12510001"
"1","0","<unit_id>","-850","cmn_swm_diving","-180","1.75","1","22","251","12510002"
"31","","9","-180","","1","1","9","-850","251","12510003"
"91","","0","","","","","0","","251","12510004"
"2","","850","10","","","","<unit_id>","-180","251","12510005"
"33","","850","10","","","","9","-180","251","12510006"
"23","","se_fpc_water_random","","","","","se_10053800","","301","13010001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","23","301","13010002"
"5","0","1","-850","cmn_swm_flutterKick_floatRing_pink","-180","1.75","1","22","301","13010003"
"31","","1","-180","","1","1","1","-850","301","13010004"
"91","","0","","","","","0","","301","13010005"
"2","","1050","10","","","","<unit_id>","-180","301","13010006"
"2","","1050","10","","","","1","-180","301","13010007"
"33","","1050","10","","","","1","-180","301","13010008"
"23","","se_fpc_water_random","","","","","se_10053800","","302","13020001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","23","302","13020002"
"5","0","1","-850","cmn_swm_flutterKick_floatRing_blue","-180","1.75","1","22","302","13020003"
"31","","1","-180","","1","1","1","-850","302","13020004"
"91","","0","","","","","0","","302","13020005"
"2","","1050","10","","","","<unit_id>","-180","302","13020006"
"2","","1050","10","","","","1","-180","302","13020007"
"33","","1050","10","","","","1","-180","302","13020008"
"23","","se_fpc_water_random","","","","","se_10053800","","303","13030001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","23","303","13030002"
"5","0","1","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","22","303","13030003"
"31","","1","-180","","1","1","1","-850","303","13030004"
"91","","0","","","","","0","","303","13030005"
"2","","1050","10","","","","<unit_id>","-180","303","13030006"
"2","","1050","10","","","","1","-180","303","13030007"
"33","","1050","10","","","","1","-180","303","13030008"
"23","","se_fpc_water_random","","","","","se_10053800","","351","13510001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","23","351","13510002"
"5","0","1","-850","cmn_swm_flutterKick_floatBoad","-180","1.75","1","22","351","13510003"
"31","","1","-180","","1","1","1","-850","351","13510004"
"91","","0","","","","","0","","351","13510005"
"2","","1050","10","","","","<unit_id>","-180","351","13510006"
"2","","1050","10","","","","1","-180","351","13510007"
"33","","1050","10","","","","1","-180","351","13510008"
"23","","se_fpc_water_random","","","","","se_10053800","","352","13520001"
"1","0","<unit_id>","-850","cmn_swm_flutterKick_floatRing","-180","1.75","1","23","352","13520002"
"5","0","1","-850","cmn_swm_flutterKick_floatBoad_blue","-180","1.75","1","22","352","13520003"
"31","","1","-180","","1","1","1","-850","352","13520004"
"91","","0","","","","","0","","352","13520005"
"2","","1050","10","","","","<unit_id>","-180","352","13520006"
"2","","1050","10","","","","1","-180","352","13520007"
"33","","1050","10","","","","1","-180","352","13520008"
"23","","se_fpc_water_random","","","","","se_10053800","","401","14010001"
"1","0","<unit_id>","-850","cmn_float","-180","1.75","1","22","401","14010002"
"31","","6","-180","","1","1","6","-850","401","14010003"
"91","","0","","","","","0","","401","14010004"
"2","","1050","10","","","","<unit_id>","-180","401","14010005"
"33","","1050","10","","","","6","-180","401","14010006"
"23","","se_fpc_water_random","","","","","se_10053800","","402","14020001"
"1","0","<unit_id>","-850","cmn_float_4","-180","1.75","1","22","402","14020002"
"31","","6","-180","","1","1","6","-850","402","14020003"
"91","","0","","","","","0","","402","14020004"
"2","","1050","10","","","","<unit_id>","-180","402","14020005"
"33","","1050","10","","","","6","-180","402","14020006"
"23","","se_fpc_water_random","","","","","se_10053800","","451","14510001"
"1","0","<unit_id>","-850","cmn_crawl","-180","1.75","1","22","451","14510002"
"31","","1","-180","","1","1","1","-850","451","14510003"
"91","","0","","","","","0","","451","14510004"
"2","","1050","10","","","","<unit_id>","-180","451","14510005"
"33","","1050","10","","","","1","-180","451","14510006"
"23","","se_fpc_water_random","","","","","se_10053800","","501","15010001"
