4f4fddb89e6dd74b443b5392595bffbfe156ae7d189a356db7698506e3c69d12,83d93dd90208a4fa708c187991a2e18715dc8b68a244b9ee120b107f88dfa47a,e8a4f3d7f47caebb42c2db856596fc50bde8c285d6ab83648f54dd2e320ea15f,50790bc60dc8fb62f1f18ef83836b86d7750f22ea4c91edcacd5f615b111de73,1ca68cabc080eb5df69a1b890682ab134239ac464a8b3ba850d8c640a4b0bd8e,13b48146fd06984ade81e70a0b75bdcae15a4d8ae51f989c70899111711d1824,7f13ced995ac3d58fa48def9b05c3113dc4f5bee99f1411eca946c7fd8cfb5b4,54ea67a1d0f42ed22b0bdb0329dcd27c74440873b40e473edd90ac9b5d788d81,b82a610ec4de4f66d386e362c3d9d1cc156d22580104636bfdc47fdf655e3b2b,4e476194c905c83e5320f89f8bae5b6911afbdfc5059732175bfdaed3ed1c980,27a182e90bdf1c6d20c7fc9347fc76caa102b42878bd1515acf1872564d88ed9
"201001","2","201","55","150","118511","-150","1.3","1","0","empty"
"201002","1","201","56","150","1","-150","0.65","5","0","empty"
"201003","3","201","50","-650","3","-180","1.9","5","0","empty"
"201004","201001","201","","","0","","","91","",""
"201005","118511","201","0","","empty","","0","3","",""
"201006","0","201","","","","","","91","",""
"201007","se_labyrinth","201","0","","se_labyrinth_event_drama_201","","","23","",""
"201008","118511","201","0","","201_karin","","0","3","",""
"201009","1","201","0","","201_karin","","0","3","",""
"201010","3","201","0","","201_hero","","0","3","",""
"201011","3","201","-180","1.2","-150","11","","2","",""
"201012","1.7","201","","","0","","","93","",""
"201013","vo_labyrinth_drama","201","0","","vo_labyrinth_drama_20101","","","21","",""
"201014","0.8","201","","","0","","","93","",""
"201015","3","201","1","0","7","0","0","12","0","0"
"201016","se_labyrinth","201","0","","se_labyrinth_event_emote_7","","","23","",""
"201017","1.1","201","","","0","","","93","",""
"311001","310","311","55","-225","310","-213","1.9","5","0","empty"
"311002","104","311","50","427","104","-187","0.8","5","0","empty"
"311003","300","311","0","0","300","1","0","31","",""
"311004","303","311","0","0","303","1","1","31","",""
"311005","303","311","0","0","304","1","1","31","",""
"311006","301","311","0","0","301","1","0","31","",""
"311007","311001","311","","","0","","","91","",""
"311008","310","311","0","","empty","","0","3","",""
"311009","0","311","","","","","","91","",""
"311010","se_labyrinth","311","0","","se_labyrinth_event_drama_311","","","23","",""
"311011","vo_labyrinth_drama","311","0","","vo_labyrinth_drama_31101","","","21","",""
"311012","310","311","0","","311_hiyori_jankenpon_win","","0","3","",""
"311013","104","311","0","","jankenpon_lose","","0","3","",""
"311014","300","311","","","1","","","32","",""
"311015","303","311","","","L_gu_WIN","","","37","",""
"311016","304","311","","","R_choki_LOSE","","","37","",""
"311017","3.133","311","","","0","","","93","",""
"311018","301","311","","","1","","","32","",""
