6ac1f8b22265d1f70205bb8a6763fd1c8f30ce4391b30a9c49399bc2911265ea,afba72c70f89b4f871d1bc656516c40a4c73780b51e32f923be7513aa2071d16,90c9492cfe38a1192e3cf85e74704b9252be35f156e2a784107089c3e4449b8c,96aa72983d63be630b381e4356d7c4f75cfa990aa8eddf044c4929755bd62d58,24c550c1ed2744fe9a8feb1d4d59f8aa8336ea695761cb74bd9c61e5b3382d62
"1","1","1","300","135"
"1","1","2","-100","425"
"1","2","3","125","-100"
"1","2","4","-415","375"
"1","3","5","-50","25"
"1","3","6","-300","-25"
"1","4","7","-335","-195"
"1","4","8","-415","105"
"1","5","9","-160","135"
"1","6","10","-40","345"
"1","7","11","90","-230"
"1","8","12","-420","230"
"1","9","13","250","30"
"1","10","14","-245","280"
"1","11","15","-110","-150"
