a40f97fc687b6977b820dfe71056402ff567089588aee370d8469433e5ffcdd8,9bab04c12dde3e3000b5eed2349bab73046eb9684c3ac49cbcfe72260667fe96,8161c4bbc46c3164632e078a6778017ea1a1fd827173e25aa1a18f9d75ea2996,806d7fdad68b739236083cd51f2bfe5e999081c84c26e0acf92c21bd194a9eca,f51423e2082d4ad42ab7f2768ce281db0bb4c1bbdd80e90a3a64e5f110a708e8,f36d244965d7561eaa480e916bf3074d29bc909e6c3b2d3177b2ded2071ff364,f32e9630cbf5de8c9a95ffc07da43b585e0101ad66980a216ea7798102048a5d,1c7f14d225b4cf27ccbb8fbcc4b54c284a3e797b34acdb47ae3b1344bc5b57e1,fcf403207ca7a454a50046ca8da0993c122f08fd398a01de0f02a7389556cf25,3e3d862c0b8fab39f95a3aef4b7f3c96c4b2dbe806cb9443bac9c3d6240400a0,f969889345f2b6d3a754e6ee62cd89c65a9d9bad835773fa5b1c721df947a3b0,21704069990ae05e6e884759ba59b80c650050a50b6cdb6f668e7676bf35e76b,195e877ff1cff5603f3886a279efe63b2842d987a9b2cd118b5108237527918c,53895c2119b082fb05233d5de86bbcea60d75a238b961374768cf81a01852d07
"カオリ（サマー）","0","2019/07/31 12:00:00","4","110501","0","10021","24015","1","2030/12/17 14:59:59","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","24","4","0"
"カオリ（サマー）","4","2019/07/31 12:00:00","4","110501","0","10021","24016","2","2030/12/17 14:59:59","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","24","1","0"
"カオリ（サマー）","0","2019/07/31 12:00:00","4","110501","0","10021","24017","3","2030/12/17 14:59:59","マジムンだらけで目が回るさ～！\nふらふらさ～！","24","4","0"
"カオリ（サマー）","5.2","2019/07/31 12:00:00","1","110501","0","10021","24018","4","2030/12/17 14:59:59","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","24","2","0"
"カオリ（サマー）","4.2","2019/07/31 12:00:00","5","110501","0","10021","24019","5","2030/12/17 14:59:59","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","24","6","0"
"カオリ（サマー）","0","2019/07/31 12:00:00","2","110501","0","10021","24020","6","2030/12/17 14:59:59","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","24","2","0"
"カオリ（サマー）","6.4","2019/07/31 12:00:00","1","110501","0","10021","24021","7","2030/12/17 14:59:59","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","24","6","0"
"カオリ（サマー）","0","2019/07/31 12:00:00","2","110501","0","10021","24022","8","2030/12/17 14:59:59","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","24","2","0"
"カオリ（サマー）","10.08","2019/07/31 12:00:00","6","110501","0","10021","24023","9","2030/12/17 14:59:59","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","24","3","0"
"カオリ（サマー）","5","2019/07/31 12:00:00","1","110501","0","10021","24024","10","2030/12/17 14:59:59","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","24","2","0"
"カオリ（サマー）","0","2019/07/31 12:00:00","2","110501","0","10021","24025","11","2030/12/17 14:59:59","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","24","2","0"
