d4e7b8d200cb4b0b69c7605d4db4098f25c354c8c2fee32deb967b2790e857aa,086ea1e2fdc6bfac6e457e6ffd8beded8a4d2a5ad75a3dbab1c354f433a1b1a1,80d37ed23f8ed03ea975cb99147b57af6136086d201dd181b01c207e2a5d7fc6,aa3b66e93e2caaec69ea4b343aed8b4d4555c00b290e7c74ade010c6b6797367,f3b7eba64f3ed40e5d804bc792964ff22e51b6baf6920af73108e64fc0fc8426,c114c027b7f2240cb4227eea3c1573ca186f9616dc4adb397b014f257038f2be,2f6d7eaba05f412b7004b337dd418478886efa0d7d1ecede05438e1931a2a9d1,b266cda8e15fe9eaa32cebe9a3da746ab2ab36825c0f0d0bdf3d9fd65f66d0d6,850bd7e6e76235ad580ad218ade829622da052d9fdc055afb936faff93fab75e
"2","1","1","1","0","唯一無二の","1","3","1"
"2","1","1","1","0","完全無欠の","1","3","2"
"2","1","1","1","1","ランドソル最速の","1","3","3"
"2","1","1","1","0","明鏡止水の","1","3","4"
"2","1","1","1","0","史上最速の","1","3","5"
"2","1","1","1","0","最強最速の","1","3","6"
"2","1","1","1","2","アルティメット","1","3","7"
"2","1","1","1","0","百点満点","1","3","8"
"2","1","1","1","0","最優秀","1","3","9"
"2","1","1","1","0","一騎当千の","1","3","10"
"2","1","1","1","0","唯一無二の","1","3","11"
"2","1","1","1","0","天下無双の","1","3","12"
"2","1","1","1","0","泰然自若の","0","3","13"
"2","1","1","1","0","ハイパー","0","3","14"
"2","1","1","1","0","光速の","0","3","15"
"2","1","1","1","0","稀代の","0","3","16"
"2","1","1","1","0","極限の","0","3","17"
"2","1","1","1","0","至高の","0","3","18"
"2","1","1","1","0","煌めく","0","3","19"
"2","1","1","1","0","百戦錬磨の","0","3","20"
"2","1","1","1","0","疾風迅雷の","0","3","21"
"2","1","1","1","0","電光石火の","0","3","22"
"2","1","0","1","0","変幻自在の","1","3","23"
"2","1","0","1","0","空前絶後の","1","3","24"
"2","1","0","1","0","レペゼン","1","3","25"
"2","1","0","1","0","音速の","1","3","26"
"2","1","0","1","0","常識外れの","1","3","27"
"2","1","0","1","0","獅子奮迅の","1","3","28"
"2","1","0","1","2","勇猛果敢なる","1","3","29"
"2","1","0","1","2","威風堂々たる","1","3","30"
"2","1","0","1","0","急がば回れ","1","3","31"
"2","1","0","1","0","心頭滅却","1","3","32"
"2","1","0","1","0","夢見る","0","3","33"
"2","1","0","1","0","ナイス","0","3","34"
"2","1","0","1","0","そこそこの","0","3","35"
"2","1","0","1","2","若葉マークの","0","3","36"
"2","1","0","1","0","未来ある","0","3","37"
"2","1","0","1","0","新米","0","3","38"
"2","1","0","1","0","駆け出しの","0","3","39"
"2","1","0","1","0","ぼちぼちの","0","3","40"
"2","1","0","1","0","新進気鋭の","0","3","41"
"2","1","0","1","0","不撓不屈の","0","3","42"
"2","1","0","1","0","七転八起の","0","3","43"
"2","1","0","1","0","がんばれ","0","3","44"
"2","2","1","1","0","選ばれし","1","3","45"
"2","2","1","1","2","アルティメット","1","3","46"
"2","2","1","1","1","オーシャンブルー","1","3","47"
"2","2","1","1","2","海に愛された","1","3","48"
"2","2","1","1","2","大海を統べる","1","3","49"
"2","2","1","1","0","伝説の","1","3","50"
"2","2","1","1","2","世界を揺るがす","1","3","51"
"2","2","1","1","1","スーパーワイルド","1","3","52"
"2","2","1","1","0","神がかった","1","3","53"
"2","2","1","1","2","ぶっちぎりの","1","3","54"
"2","2","1","1","1","誰にも止められない","0","3","55"
"2","2","1","1","2","血湧き肉躍る","0","3","56"
"2","2","1","1","0","メガ","0","3","57"
"2","2","1","1","1","ナチュラルボーン","0","3","58"
"2","2","1","1","0","大海原の","0","3","59"
"2","2","1","1","1","アドレナリン全開の","0","3","60"
"2","2","1","1","0","オーマ産の","0","3","61"
"2","2","1","1","0","手練れの","0","3","62"
"2","2","1","1","0","歴戦の","0","3","63"
