2f3d6c62688beab0dfa907888aaf05d796ba89429c4760d6444494535a46f0a8,99ca381410e3d2350dbb2ec506171112d4333d6a143f75c9aaceb8027058d0fa,c2dc121c266e16ed288a8453468d4872e16448552d571f1598e782c3e76f6159,4417c767c59d571640391eaf9b3901a5573ea7c2096c84a1786ee279fff6bc6f,b61ce2b8da95b4f258e70e2a3c9738632eb398e76fdc62b930c069e26e5852eb,c53c902d8385413c8d0e92b0ab3edcb2162226990159951575f52806197379e6,48f8a66bb264edd6a48973bbcca27a2d9efd366c55a9eea97c1f4dbc86ea39ae,f99bb577bdf672a25ce66888b590694ae40f5107c88758840643b996f6da4c37,c54e09cf1dc4631cfb7cb85601cc1a4fa3b2b5b2e8a69c01ab53ff8e925fe1e0
"50","0","1","","0","1","0","1.6","610201101"
"-75","0","1","","0","1","200","1.8","610201151"
"50","0","1","","0","1","0","1.6","610201201"
"50","0","1","","0","1","0","1.6","610201202"
"50","0","1","","0","1","0","1.6","610201203"
"-75","0","1","","0","1","200","1.65","610201251"
"-75","0","1","","0","1","200","1.8","610201252"
"-75","0","1","","0","1","200","1.8","610201253"
"50","0","1","","0","1","0","1.6","610201301"
"50","0","1","","0","1","0","1.6","610201302"
"50","0","1","","0","1","0","1.6","610201303"
"-75","0","1","","0","1","200","1.65","610201351"
"-75","0","1","","0","1","200","1.8","610201352"
"-75","0","1","","0","1","200","1.8","610201353"
"0","0","0","","1","2","0","1","610201401"
"0","0","0","","1","3","0","1","610201402"
"0","0","0","","1","4","0","1","610201403"
"0","-200","0","","0","2","0","0.78","610201451"
"0","-140","0","","0","3","0","0.78","610201452"
"0","-60","0","","0","4","0","0.78","610201453"
"0","0","0","","1","2","0","1","610201501"
"0","0","0","","1","3","0","1","610201502"
"0","0","0","","1","4","0","1","610201503"
"0","-200","0","","0","2","0","0.78","610201551"
"0","-140","0","","0","3","0","0.78","610201552"
"0","-60","0","","0","4","0","0.78","610201553"
"-45","0","1","","0","1","190","1.7","610202101"
"-55","0","1","","0","1","190","1.4","610202201"
"-45","0","1","","0","1","190","1.7","610202202"
"-45","0","1","","0","1","190","1.7","610202203"
"-55","0","1","","0","1","190","1.4","610202301"
"-45","0","1","","0","1","190","1.7","610202302"
"-45","0","1","","0","1","190","1.7","610202303"
"0","-200","0","","0","2","0","1","610202401"
"0","-140","0","","0","3","0","1","610202402"
"0","-60","0","","0","4","0","1","610202403"
"0","-60","0","","0","5","0","1","610202404"
"0","-200","0","","0","2","0","1","610202501"
"0","-140","0","","0","3","0","1","610202502"
"0","-60","0","","0","4","0","1","610202503"
"0","-60","0","","0","5","0","1","610202504"
"-80","0","1","","0","1","190","1.03","610203101"
"-42","0","1","","0","1","190","0.66","610203201"
"-80","0","1","","0","1","190","1.03","610203202"
"-80","0","1","","0","1","190","1.03","610203203"
"-42","0","1","","0","1","190","0.66","610203301"
"-80","0","1","","0","1","190","1.03","610203302"
"-80","0","1","","0","1","190","1.03","610203303"
"0","-200","0","","0","2","0","0.78","610203401"
"0","-140","0","","0","3","0","0.78","610203402"
"0","-60","0","","0","4","0","0.78","610203403"
"0","-30","0","","0","5","0","0.78","610203404"
"0","-200","0","","0","2","0","0.78","610203501"
"0","-140","0","","0","3","0","0.78","610203502"
"0","-60","0","","0","4","0","0.78","610203503"
"0","-30","0","","0","5","0","0.78","610203504"
"-65","0","1","","0","1","305","1.75","610204101"
"-55","0","1","","0","1","305","1.4","610204201"
"-65","0","1","","0","1","305","1.75","610204202"
"-65","0","1","","0","1","305","1.75","610204203"
"-55","0","1","","0","1","305","1.4","610204301"
"-65","0","1","","0","1","305","1.75","610204302"
"-65","0","1","","0","1","305","1.75","610204303"
"0","-200","0","","0","2","0","0.85","610204401"
"0","-140","0","","0","3","0","0.85","610204402"
"0","-60","0","","0","4","0","1","610204403"
"0","-60","0","","0","5","0","1","610204404"
"0","-200","0","","0","2","0","0.85","610204501"
"0","-140","0","","0","3","0","0.85","610204502"
"0","-60","0","","0","4","0","1","610204503"
"0","-60","0","","0","5","0","1","610204504"
"-60","0","1","","0","1","160","1.38","610205101"
"0","0","1","","0","1","160","0.94","610205201"
