9b16630045d2f1d81c21ec5b70f558a97e3e210fc13aa9aac69b289b7a63456f,613f0ce3946155bac1491bb1749e0776c74395109676f308651290cbab4943f9,9747d5fa36861ae319a3a01a1995129f481cfd4e2a66657b13d5132ae1909286,b3aef4d9c3948762658460722253d62266528885be21c158a37b01af408d741a,5894373109a7594b983607f0c42dda3de4adb497aa20844c3c05cf18cc19dfd4,25b61e781c4724fa2ec5d92956d93884292a83ab33b83c6c32927f627e2623e1,de2c4445f3144488b3e5a1d9583d66fdd249c49e4ad8ade04fd1599d677d3e16,5090f0de327d6c5737f0d97a2ec65343b16d6ea2e41a6f6348a1eb6989c7642d,b789540d5df4ae1a274aeb8a0e94cca6c6a41db9e4ae880496c84734b8807c66,395f8d5d3f44bc383291eddbc7d26b035f78abc63f09440391265ebe89cf1e96,4bffb76bce01ab0a4a79890cca8ea14033b321da32fd36a17707d0b6c4c47bd6,9b419b73948b277faf1d9dcb2a369d549ac92b4754632843462e2860a4022b84,b2f053afe74ce07d2420a3277bbf9fa4ad952ec86b2e7f0126ef64a187c34a2b,9a015686a062b728181aa414c21e8ba733eac1f0b8f4779d514b2c1f15306d97,212bb0feec6d19222ea0ddb1fd51350c8ee52f5e93855871a90d68d09111e1e0,0f129efe373b1d9da2f09361f7ab378fa6e5cd059a60c715601fff6730377082
"103","0","0","105","1","0","0","101","1","5","10016","1","102","1","0","104"
"203","1","0","205","2","0","0","201","2","2","10021","2","202","1","0","204"
"303","1","0","305","2","0","0","301","3","5","10053","5","302","1","0","304"
"403","1","0","405","2","0","0","401","4","8","10044","4","402","1","0","404"
"503","2","0","505","3","0","0","501","5","2","10042","4","502","1","0","504"
"603","3","0","605","3","0","0","601","6","5","10024","2","602","1","0","604"
"703","4","0","705","3","0","0","701","7","8","10015","1","702","1","0","704"
"0","5","0","0","4","0","0","801","8","2","11012","101","0","1","0","0"
"903","6","0","905","4","0","0","901","9","5","10023","2","902","1","0","904"
"0","7","0","0","4","0","0","1001","10","8","11011","101","0","1","0","0"
"1103","8","0","1105","5","0","0","1101","11","2","10052","5","1102","1","0","1104"
"1203","9","0","1205","5","0","0","1201","12","5","10045","4","1202","1","0","1204"
"1303","10","0","1305","5","0","0","1301","13","8","10021","2","1302","1","0","1304"
"1403","11","0","1405","6","0","0","1401","14","2","10013","1","1402","1","0","1404"
"1503","12","0","1505","6","0","0","1501","15","5","10054","5","1502","1","0","1504"
"0","13","0","0","6","0","0","1601","16","8","11015","101","0","1","0","0"
"0","14","0","0","7","0","0","1701","17","2","11002","100","0","1","0","0"
"1803","15","0","1805","7","0","0","1801","18","5","10043","4","1802","1","0","1804"
"1903","16","0","1905","7","0","16","1901","19","8","10034","3","1902","1","0","1904"
"2003","17","0","2005","8","0","0","2001","20","2","10041","4","2002","1","0","2004"
"0","18","0","0","8","0","0","2101","21","5","11003","100","0","1","0","0"
"2203","19","0","2205","8","0","0","2201","22","8","10025","2","2202","1","0","2204"
"2303","20","0","2305","9","0","0","2301","23","2","10011","1","2302","1","0","2304"
"2403","21","0","2405","9","0","0","2401","24","5","10022","2","2402","1","0","2404"
"2503","22","0","2505","9","0","0","2501","25","8","10045","4","2502","1","0","2504"
"2603","23","0","0","10","0","24","2601","26","5","11006","100","2602","1","25","0"
"2703","26","0","2705","11","0","0","2701","27","2","10031","3","2702","1","0","2704"
"2803","26","0","2805","11","0","0","2801","28","5","10044","4","2802","1","0","2804"
"2903","26","0","2905","11","0","0","2901","29","8","10075","7","2902","1","0","2904"
"3003","27","0","3005","12","0","0","3001","30","2","10032","3","3002","1","0","3004"
"3103","28","0","3105","12","0","0","3101","31","5","10013","1","3102","1","0","3104"
"3203","29","0","3205","12","0","0","3201","32","8","10044","4","3202","1","0","3204"
"3303","30","0","3305","13","0","0","3301","33","2","10041","4","3302","1","0","3304"
"3403","31","0","3405","13","0","0","3401","34","5","10022","2","3402","1","0","3404"
"3503","32","0","3505","13","0","0","3501","35","8","10053","5","3502","1","0","3504"
"3603","33","0","3605","14","0","0","3601","36","2","10024","2","3602","1","0","3604"
"3703","34","0","3705","14","0","0","3701","37","5","10045","4","3702","1","0","3704"
"3803","35","0","3805","14","0","0","3801","38","8","10012","1","3802","1","0","3804"
"3903","36","0","3905","15","0","0","3901","39","2","10043","4","3902","1","0","3904"
"4003","37","0","4005","15","0","0","4001","40","5","10035","3","4002","1","0","4004"
"4103","38","0","4105","15","0","0","4101","41","8","10072","7","4102","1","0","4104"
"4203","39","0","4205","16","0","0","4201","42","2","10021","2","4202","1","0","4204"
"4303","40","0","4305","16","0","0","4301","43","5","10034","3","4302","1","0","4304"
"4403","41","0","4405","16","0","0","4401","44","8","10015","1","4402","1","0","4404"
"4503","42","0","4505","17","0","0","4501","45","2","10022","2","4502","1","0","4504"
"4603","43","0","4605","17","0","0","4601","46","5","10023","2","4602","1","0","4604"
"4703","44","0","4705","17","0","0","4701","47","8","10074","7","4702","1","0","4704"
"4803","45","0","4805","18","0","0","4801","48","2","10031","3","4802","1","0","4804"
"4903","46","0","4905","18","0","0","4901","49","5","10052","5","4902","1","0","4904"
"5003","47","0","5005","18","0","0","5001","50","8","10025","2","5002","1","0","5004"
"5103","48","0","5105","19","0","0","5101","51","2","10041","4","5102","1","0","5104"
"5203","49","0","5205","19","0","0","5201","52","5","10033","3","5202","1","0","5204"
"5303","50","0","5305","19","0","0","5301","53","8","10074","7","5302","1","0","5304"
"5403","51","0","0","20","0","52","5401","54","5","11016","101","5402","1","53","0"
"5503","54","0","5505","21","0","0","5501","55","2","10041","4","5502","1","0","5504"
"0","54","0","0","21","0","0","5601","56","5","11002","100","5602","1","0","0"
"5703","54","0","5705","21","0","0","5701","57","8","10065","6","5702","1","0","5704"
"5803","55","0","5805","22","0","0","5801","58","2","10022","2","5802","1","0","5804"
"5903","56","0","5905","22","0","0","5901","59","5","10013","1","5902","1","0","5904"
"0","57","0","0","22","0","0","6001","60","8","11015","101","6002","1","0","0"
"6103","58","0","6105","23","0","0","6101","61","2","10021","2","6102","1","0","6104"
"6203","59","0","6205","23","0","0","6201","62","5","10032","3","6202","1","0","6204"
