33bd90564e68ab701c841f69c8816b01087a8e21be295aba0b35f3ddcda18df9,e40213f338e6d08f8423d564609f36f088f3175fd2121ec68ee0d67c38d3031b,f4af796bf9e61ff566b32b0c8e273aaab8a17a2a55da8d1164a4edcb228e3d26,ee257ee2c6d560666effefaac7b9737a2b8359a7e548de5ea8840ce433335176,2b0a68feea7e7c820ac25b7af5e21a0f5f3a0ebe807834b39cca264f9d161a54,67cad1b671912634d7013509349fd4941ed66d9e253e15a3bd34a343a800b976,23bd4398d800e039e97f831da321438405b4d50f6218be69d94ad182fd82b2f7,11cd91f6369c00b532204a53400f3959c1a69fc7b5d6eb92ea4787ef5729065c,cc5a226c11a2f112a93422918853667e12983b53e5d141e079f379bef4047067,cbc31c14308c9c65bb3b3f32b17db9085d6e82a238a799afadb89d414f7e62ec,cf58c974364e553b0671be6899655a8be67cb84aff4f2769031196fae2487451
"psy_miyako_idle","1","119931","1.7","1","0","-200","1","1001","100","-220"
"psy_idle_normal","1","1","1.7","1","1","1000","5","1002","100","-220"
"psy_fairy_idle","1","2","1.7","1","0","-50","5","1003","105","-220"
"","1","11","1","1","","0","31","1004","0","1"
"","1","psy_item00_run","0.2","1","","","3","1005","1",""
"","1","285","","1","","2.5","2","1006","-220","0"
"","2.5","","","1","","","93","1007","",""
"","1","psy_item00_idle","0.2","1","","","3","1008","1",""
"","0.5","","","1","","","93","1009","",""
"","119931","psy_miyako_talk1","0.2","1","","","3","1010","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0101","","1","","0","21","1011","0",""
"0.5","119931","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","0","1","0","1","11","1012","6","0"
"","6","1","","1","","","93","1013","",""
"","119931","psy_miyako_doya_in","0.2","1","0.2","psy_miyako_doya_loop","3","1014","0","1"
"","1012","","","1","","","91","1015","",""
"","0","0","","1","","","22","1016","",""
"","2","psy_fairy_talk","0.2","1","","","3","1017","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_9901","","1","","0","21","1018","0",""
"0.5","2","キュイキュイ！","0","1","0","1","11","1019","6","0"
"","0","","","1","","","91","1020","",""
"","2","psy_fairy_idle","0.2","1","","","3","1021","1",""
"","119931","psy_miyako_talk2","0.2","1","","","3","1022","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0102","","1","","0","21","1023","0",""
"0.5","119931","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","0","1","0","1","11","1024","5","0"
"","2","1","","1","","","93","1025","",""
"","119931","psy_miyako_talk_joy2","0.2","1","","","3","1026","1",""
"","1024","","","1","","","91","1027","",""
"","0","0","","1","","","22","1028","",""
"","119931","psy_miyako_idle","0.2","1","","","3","1029","1",""
"","2","1","","1","","","4","1030","",""
"","2","psy_fairy_run_in","0.2","1","0","psy_fairy_run","3","1031","0","1"
"","1.3","","","1","","","93","1032","",""
"","2","1000","","1","","1","2","1033","-220","0"
"","2","","","1","","","93","1034","",""
"","119931","psy_miyako_doya_in","0.2","1","0.2","psy_miyako_doya_loop","3","1035","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0103","","1","","0","21","1036","0",""
"0.5","119931","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","0","1","0","1","11","1037","6","0"
"","0","","","1","","","91","1038","",""
"","0","0","","1","","","22","1039","",""
"0","1","11","0","1","0","0","12","1040","1","0"
"","1","psy_item00_talk_guts","0.2","1","0.2","psy_item00_idle_guts","3","1041","0","1"
"","2","","","1","","","93","1042","",""
"","119931","psy_miyako_talk_joy2","0.2","1","","","3","1043","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0104","","1","","0","21","1044","0",""
"0.5","119931","みんなみんな\nおいしいプリンにしてやるの～♪","0","1","0","1","11","1045","5","0"
"","4","1","","1","","","93","1046","",""
"","119931","psy_miyako_fight_in","0.2","1","0.2","psy_miyako_fight_loop","3","1047","0","1"
"","1","psy_item00_handsup","0.2","1","0.2","psy_item00_handsup_loop","3","1048","0","1"
"","1.5","","","1","","","93","1049","",""
"","1045","","","1","","","91","1050","",""
"","0","0","","1","","","22","1051","",""
"psy_miyako_start","1","119931","1.7","2","0","-300","1","2001","100","-200"
"psy_walk","1","106011","1.7","2","1","300","1","2002","100","-220"
"","1","11","1","2","","0","31","2003","0","1"
"psy_smoke_start","1","1","1.7","2","0","-300","5","2004","101","-200"
"","106011","185","","2","","2","2","2005","-220","0"
"","2","","","2","","","93","2006","",""
"","106011","psy_kyaru_talk_arm_crossed","0.2","2","0","psy_kyaru_talk_arm_crossed_loop","3","2007","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0305","","2","","0","21","2008","0",""
"0.5","106011","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","0","2","0","1","11","2009","8","0"
"","0","","","2","","","91","2010","",""
"","vo_minigame_1008","vo_minigame_1008_drama_0306","","2","","0","21","2011","0",""
"","106011","psy_talk_sad","0.2","2","","","3","2012","1",""
"0.5","106011","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","0","2","0","1","11","2013","8","0"
"","4","1","","2","","","93","2014","",""
"","106011","psy_talk_sad","0.2","2","","","3","2015","1",""
"","2013","","","2","","","91","2016","",""
"","106011","psy_idle_sad","0.2","2","","","3","2017","1",""
"","119931","psy_miyako_appear","0.2","2","0.2","psy_miyako_thinking4","3","2018","0","1"
"","1","psy_smoke_appear","0","2","0","psy_smoke_start","3","2019","0","0"
"","vo_minigame_1008","vo_minigame_1008_drama_0301","","2","","0","21","2020","0",""
"1","119931","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","0","2","0","1","11","2021","4","0"
"","1","1","","2","","","93","2022","",""
"","106011","psy_surprise","0.2","2","0.2","psy_idle_surprise2","3","2023","0","1"
"","2021","","","2","","","91","2024","",""
"","0","0","","2","","","22","2025","",""
"","119931","psy_miyako_idle_thinking","0.2","2","","","3","2026","1",""
"","106011","psy_talk_surprise2","0.2","2","","","3","2027","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0307","","2","","0","21","2028","0",""
"0.5","106011","キャッ！？\nいきなり出てきてなんなのよあんた！","0","2","0","1","11","2029","8","0"
"","0","","","2","","","91","2030","",""
"","106011","psy_idle_surprise2","0.2","2","","","3","2031","1",""
"","119931","psy_miyako_anger1","0.2","2","","","3","2032","1",""
