b5b23e2a49fd464f1f44472bb63e0b1d99557c5d66257bc135e51e7092f5daad,4805cc868636624b3fdf9f35ea7b171c318b3577ff3d37124d5cd66cccc6b386,1cfbca9d894ff8566a14b495cbc180488d8f5074cdac1760f613ed2c4ac9aef6,0a73bbadea22771e74caecb349ad64eced6b027534304589bb964c53795351ea,e0abc3f463385f21c6122de4445a32b98766de12e056c7da0e5c3bbb9d6eef70,b96f578b2a3924136f33c4e0e34bb72faca40d53ade8e2bfb48d25348f8ac95c,30a926fbf8237727962d181c0decd1662dd77c66eabc46f78de802b2c1f75120,bf778e7e0d87aba6b95842b463e3c185ebff58dbd6e11a604f95ced107ed5e27,9afee863d011e538d003a400697bbf6d3aa2ab57df9d01345f3873647cbe1d21,3913e2f37347b556defc2ed9e3f260f5fed0f812f8814eef10fd75421e248206,0088beb9bfcec45908d8aa92b5f04b955357eaba8533b35ec1d79c6efaa22020
"二人だけの時間","25","0","10157107","0","8","0","91002","10128","2","5128071"
"新居の必須条件","25","0","0","0","8","5128071","91002","10128","2","5128072"
"本当は誰よりも","25","0","0","0","8","5128072","91002","10128","2","5128073"
"家族で大切に\nしたいこと","25","0","0","0","8","5128073","91002","10128","2","5128074"
"誓いの言葉","50","0","0","0","8","5128074","91002","10128","2","5128075"
"血の婚約報告","25","0","10157107","0","8","0","91002","10128","3","5128081"
"風来人の家探し","25","0","0","0","8","5128081","91002","10128","3","5128082"
"愛おしい時間","25","0","0","0","8","5128082","91002","10128","3","5128083"
"トーゴクの\n家族文化","25","0","0","0","8","5128083","91002","10128","3","5128084"
"飾らない愛を","50","0","0","0","8","5128084","91002","10128","3","5128085"
"口約束は災いのもと","0","5128085","0","0","0","5128075","0","10128","4","5128091"
"譲れない家庭の味","0","0","0","11001271","0","5128091","0","10128","4","5128092"
"夢の語り部に誘われて","0","0","10157107","0","0","0","0","10128","1","5128161"
