8159370942acd9a7dc2b380a2b3f25dc9c962ba5ad3b7e57b613c0ed2749d106,69f3da40f30f0679ee2167ed65b594c452e0c5127e63a273a1637d909ca87ae6,15de25fc3cad62032aa81f1a7421c09669c0d09eef39e1582c6939afe941f06e,48a521c98ceac6957a4c1403dec8d2b4451bbe3feba164400e0e9e55193f7a6f,221cc775722ca25d9d3d72ab8b89570461a4a537d349cc9fddcd1d6f7da3517c,9fb36464ec5e83c1788ba6f0c54c995aaae5bb09c5f7e2f1f95ff87b00304c19,5dac99252e03d5ea43e9670d2df779e03948bb4811ea3c750b1db763c89597a6,b1f3a36121e82acfdd3b4c201d0b15a31f9d591671c86b0c4852b929b5603a98,60ec5e1991b37bf8643b3b64c4f811ad5abf44a674b4aeff79a6fb8269314209,d6584ef82a8d705056ebe96b72f8bcd3a681bb55d7cad04c3328e2a3ac02175f,28643702c381f8817db1d5c7293d5a491a5efd40dfeba9ca9987b80910de1f15
"8","2","31","10","285001001","25021","25015","2","91002","8","1"
"8","2","31","10","285001002","25021","25015","2","91002","8","2"
"8","2","32","10","285001003","25021","25015","2","91002","8","3"
"8","2","32","10","285001004","25021","25015","2","91002","8","4"
"8","2","33","10","285001005","25021","25015","2","91002","8","5"
"8","2","33","10","285001006","25021","25015","2","91002","9","6"
"8","2","34","10","285001007","25021","25015","2","91002","9","7"
"8","2","35","10","285001008","25021","25015","2","91002","9","8"
"8","2","35","10","285001009","25021","25015","2","91002","9","9"
"8","2","37","30","285001010","25021","25015","2","91002","10","10"
"8","2","41","10","285001011","25021","25015","2","91002","10","11"
"8","2","43","10","285001012","25021","25015","2","91002","11","12"
"8","2","46","10","285001013","25021","25015","2","91002","11","13"
"8","2","48","10","285001014","25021","25015","2","91002","12","14"
"8","2","50","10","285001015","25021","25015","2","91002","12","15"
"8","2","53","10","285001016","25021","25015","2","91002","13","16"
"8","2","55","10","285001017","25021","25015","2","91002","14","17"
"8","2","58","10","285001018","25021","25015","2","91002","14","18"
"8","2","60","10","285001019","25021","25015","2","91002","15","19"
"8","2","62","30","285001020","25021","25015","2","91002","15","20"
"8","2","68","10","285001021","25021","25015","2","91002","16","21"
"8","2","70","10","285001022","25021","25015","2","91002","16","22"
"8","2","72","10","285001023","25021","25015","2","91002","16","23"
"8","2","75","10","285001024","25021","25015","2","91002","17","24"
"8","2","77","10","285001025","25021","25015","2","91002","18","25"
"8","2","79","10","285001026","25021","25015","2","91002","18","26"
"8","2","82","10","285001027","25021","25015","2","91002","19","27"
"8","2","84","10","285001028","25021","25015","2","91002","19","28"
"8","2","86","10","285001029","25021","25015","2","91002","19","29"
"8","2","89","30","285001030","25021","25015","2","91002","20","30"
"8","2","94","10","285001031","25021","25015","2","91002","20","31"
"8","2","96","10","285001032","25021","25015","2","91002","21","32"
"8","2","99","10","285001033","25021","25015","2","91002","21","33"
"8","2","101","10","285001034","25021","25015","2","91002","22","34"
"8","2","103","10","285001035","25021","25015","2","91002","22","35"
"8","2","106","10","285001036","25021","25015","2","91002","23","36"
"8","2","108","10","285001037","25021","25015","2","91002","23","37"
"8","2","111","10","285001038","25021","25015","2","91002","24","38"
"8","2","113","10","285001039","25021","25015","2","91002","25","39"
"8","2","115","30","285001040","25021","25015","2","91002","25","40"
"8","2","121","10","285001041","25021","25015","2","91002","26","41"
"8","2","123","10","285001042","25021","25015","2","91002","27","42"
"8","2","125","10","285001043","25021","25015","2","91002","28","43"
"8","2","128","10","285001044","25021","25015","2","91002","28","44"
"8","2","130","10","285001045","25021","25015","2","91002","29","45"
"8","2","132","10","285001046","25021","25015","2","91002","30","46"
"8","2","135","10","285001047","25021","25015","2","91002","30","47"
"8","2","137","10","285001048","25021","25015","2","91002","31","48"
"8","2","139","10","285001049","25021","25015","2","91002","31","49"
"8","2","142","30","285001050","25021","25015","2","91002","31","50"
