46579b224439cec66a91f5f45dece10d7113af8844190ef3a05e453f210d1fd6,caf569588cb7722bef26ada8046e355a19a92662f4b2e521e7a726cb1bc559b8,2b889f5b7b36784e56c2e03aabcf53b8bbf09ff471622f7d7324767bb93956bf,c2d8a7ab3abafdb6ff950a2dbf6a26779dcec15f940e255eb19b4f9e4eebfe85,86176129910e45155d30ff6be156640f221bb882d48cf32a0a7addf5ca79217d,b4a36db7ad9f60440018a8189b4a7bfc28e8434a487866c7bf2be03073ce22b3,adfb657c96082cefdae5c750a7ffacfef27700a208ad1a13028bf181eb44cbf9,7fe487eb3eca18f71320779c0d9af19bc7b7b9be6b40bfed725f2c74c9daad85,2b02ba444c3af89d30e089dd90d9e7912fd06e9126f9453e755b3c64760ad35d,1856393b3e7d055efb15923b9137d3f6cb1d00c32153d62e79f7c611fc20a92f,a1896c65d0e00d521234516f071800027ce0d531da693186122bd9c03a7a1cdb,169f0e3faa0a9c6df0437f2b68c8b23526f9bf8b0053c162b40212183dba3804
"100700101","1007001","0","4","0","0","1","1","0.8","0","0","0"
"100700102","1007001","0","2","0","vo_svd","0","2","0","vo_svd_0101","0","0"
"100700103","1007001","0","1","1","0","0","3","0","0","1.684","300"
"100700104","1007001","0","4","0","0","1","4","1.949","0","0","0"
"100700105","1007001","15","1","2","0","0","5","0","0","1.363","327"
"100700106","1007001","0","4","0","0","1","6","3.027","0","0","0"
"100700107","1007001","0","2","0","vo_svd","0","7","0","vo_svd_0102","0","0"
"100700108","1007001","0","1","3","0","0","8","0","0","1.69","441"
"100700109","1007001","0","4","0","0","1","9","1.7","0","0","0"
"100700110","1007001","0","1","4","0","0","10","0","0","1.446","221"
"100700111","1007001","0","4","0","0","1","11","1.722","0","0","0"
"100700112","1007001","221","1","4","0","0","12","0","0","1.245","478"
"100700113","1007001","0","4","0","0","1","13","0.417","0","0","0"
"100700114","1007001","0","1","5","0","0","14","0","0","0.864","208"
"100700115","1007001","0","4","0","0","1","15","2.482","0","0","0"
"100700116","1007001","0","2","0","vo_svd","0","16","0","vo_svd_0103","0","0"
"100700117","1007001","0","1","6","0","0","17","0","0","2.352","420"
"100700118","1007001","0","4","0","0","1","18","1.694","0","0","0"
"100700119","1007001","0","1","7","0","0","19","0","0","0.953","268"
"100700120","1007001","0","4","0","0","1","20","2.5","0","0","0"
"100700201","1007002","0","4","0","0","1","1","0.8","0","0","0"
"100700202","1007002","0","2","0","vo_svd","0","2","0","vo_svd_0201","0","0"
"100700203","1007002","0","1","1","0","0","3","0","0","0.865","152"
"100700204","1007002","0","4","0","0","1","4","1.516","0","0","0"
"100700205","1007002","152","1","1","0","0","5","0","0","1.013","314"
"100700206","1007002","0","4","0","0","1","6","0.973","0","0","0"
"100700207","1007002","0","1","2","0","0","7","0","0","0.755","158"
"100700208","1007002","0","4","0","0","1","8","2.018","0","0","0"
"100700209","1007002","0","2","0","vo_svd","0","9","0","vo_svd_0202","0","0"
"100700210","1007002","0","1","3","0","0","10","0","0","0.541","132"
"100700211","1007002","0","4","0","0","1","11","0.517","0","0","0"
"100700212","1007002","132","1","3","0","0","12","0","0","0.992","299"
"100700213","1007002","0","4","0","0","1","13","0.792","0","0","0"
"100700214","1007002","0","1","4","0","0","14","0","0","0.751","132"
"100700215","1007002","0","4","0","0","1","15","1.887","0","0","0"
"100700216","1007002","0","2","0","vo_svd","0","16","0","vo_svd_0203","0","0"
"100700217","1007002","132","1","4","0","0","17","0","0","1.482","441"
"100700218","1007002","0","4","0","0","1","18","0.858","0","0","0"
"100700219","1007002","0","1","5","0","0","19","0","0","1.255","255"
"100700220","1007002","0","4","0","0","1","20","2.752","0","0","0"
"100700221","1007002","0","2","0","vo_svd","0","21","0","vo_svd_0204","0","0"
"100700222","1007002","0","1","6","0","0","22","0","0","1.827","336"
"100700223","1007002","0","4","0","0","1","23","1.654","0","0","0"
"100700224","1007002","0","1","7","0","0","24","0","0","1.773","364"
"100700225","1007002","0","4","0","0","1","25","2.5","0","0","0"
"100700301","1007003","0","4","0","0","1","1","0.8","0","0","0"
"100700302","1007003","0","2","0","vo_svd","0","2","0","vo_svd_0301","0","0"
"100700303","1007003","0","1","1","0","0","3","0","0","1.205","185"
"100700304","1007003","0","4","0","0","1","4","1.739","0","0","0"
"100700305","1007003","185","1","1","0","0","5","0","0","1.278","355"
"100700306","1007003","0","4","0","0","1","6","0.687","0","0","0"
"100700307","1007003","0","1","2","0","0","7","0","0","0.735","132"
"100700308","1007003","0","4","0","0","1","8","2.357","0","0","0"
"100700309","1007003","0","2","0","vo_svd","0","9","0","vo_svd_0302","0","0"
"100700310","1007003","132","1","2","0","0","10","0","0","1.542","364"
"100700311","1007003","0","4","0","0","1","11","1.9","0","0","0"
"100700312","1007003","0","1","3","0","0","12","0","0","1.82","336"
"100700313","1007003","0","4","0","0","1","13","1.754","0","0","0"
"100700314","1007003","0","1","4","0","0","14","0","0","1.133","255"
"100700315","1007003","0","4","0","0","1","15","2.697","0","0","0"
"100700316","1007003","0","2","0","vo_svd","0","16","0","vo_svd_0303","0","0"
"100700317","1007003","0","1","5","0","0","17","0","0","1.827","336"
"100700318","1007003","0","4","0","0","1","18","2.182","0","0","0"
"100700319","1007003","0","1","6","0","0","19","0","0","1.186","275"
"100700320","1007003","0","4","0","0","1","20","2.842","0","0","0"
"100700321","1007003","0","2","0","vo_svd","0","21","0","vo_svd_0304","0","0"
"100700322","1007003","0","1","7","0","0","22","0","0","2.067","336"
"100700323","1007003","0","4","0","0","1","23","1.844","0","0","0"
"100700324","1007003","0","1","8","0","0","24","0","0","2.068","364"
"100700325","1007003","0","4","0","0","1","25","2.5","0","0","0"
"100700401","1007004","0","4","0","0","1","1","0.8","0","0","0"
"100700402","1007004","0","2","0","vo_svd","0","2","0","vo_svd_0401","0","0"
"100700403","1007004","0","1","1","0","0","3","0","0","1.105","201"
"100700404","1007004","0","4","0","0","1","4","1.504","0","0","0"
"100700405","1007004","201","1","1","0","0","5","0","0","0.62","313"
"100700406","1007004","0","4","0","0","1","6","0.554","0","0","0"
"100700407","1007004","0","1","2","0","0","7","0","0","0.728","165"
"100700408","1007004","0","4","0","0","1","8","2.154","0","0","0"
"100700409","1007004","0","2","0","vo_svd","0","9","0","vo_svd_0402","0","0"
