31d793d9928161c496666890bce9dd2d7617d03dfd917ef1e8afdc8841dac6ca,f84111d4dc95ca1ec3f345cd2793c312aa0878bebe353339c3e032f7f2a630c5,0002853720fcd3b71f5f8e8cfa3d2897a6667aa93c71f114a33821437f4f0736
"50183","1","101"
"50183","2","102"
"50183","3","103"
"50183","4","104"
"50183","5","1"
"50183","6","2"
"50183","7","3"
"50183","8","4"
"50183","9","5"
"50183","10","6"
"50217","1","105"
"50217","2","101"
"50217","3","102"
"50217","4","103"
"50217","5","104"
"50217","6","1"
"50217","7","2"
"50217","8","3"
"50217","9","4"
"50217","10","5"
"50217","11","6"
"50248","1","105"
"50248","2","101"
"50248","3","102"
"50248","4","103"
"50248","5","104"
"50248","6","1"
"50248","7","2"
"50248","8","3"
"50248","9","4"
"50248","10","5"
"50248","11","6"
"50278","1","105"
"50278","2","101"
"50278","3","102"
"50278","4","103"
"50278","5","104"
"50278","6","1"
"50278","7","2"
"50278","8","3"
"50278","9","4"
"50278","10","5"
"50278","11","6"
"50309","1","105"
"50309","2","101"
"50309","3","102"
"50309","4","103"
"50309","5","104"
"50309","6","1"
"50309","7","2"
"50309","8","3"
"50309","9","4"
"50309","10","5"
"50309","11","6"
"50341","1","104"
"50341","2","105"
"50341","3","101"
"50341","4","102"
"50341","5","103"
"50341","6","1"
"50341","7","2"
"50341","8","3"
"50341","9","4"
"50341","10","5"
"50341","11","6"
"50375","1","105"
"50375","2","101"
"50375","3","102"
"50375","4","103"
"50375","5","104"
"50375","6","1"
"50375","7","2"
"50375","8","3"
"50375","9","4"
"50375","10","5"
"50375","11","6"
