e995d1963ca7898f03a45dd9ba911ad6c12ec5518f2a77f59867129c012060af,0e6eb8d63a8bc05823c820fc3594b8dd8f07f7954973a142a53c7b776b850b77,9862b858090ead3cb26a2abb5adb866ccef64018acc11d8dd891c614a1f5b566,e674119e9798e5eb11a46d09e30c93549b109e2e744b7897cec0c216a3f77166,b6517f7cf7ccbb4370699ce0d934d4651995fc9e9f29335826b77bf9cd0387fc,0651c4b370c6d4c9118e82fc9abc45369a92d48cec7a568bccf68a355a001924,691e16d5f3c4ecc85f56eabec4985d279112ed4bc7a182e3fe2be72443332aa6,ea363eafbf57f17aabc0e0b26280fca3d8cc38790ead151eeef6afefd8b9b8d7,a668a16eff0ebbd16bdb29ebd9002a6e690a9112c9b2097e9e364cecfbb8b861,b35f1dcc864a78c250a8f172f16a01658e826f0258bff6530544d790760ec013,0b0c3b5a32591b5357770d6f5d2bf260434887de1f83cf238dfa86cfc5f21878
"0","10003","10005","0","0","50067","0","0","10001","0","10002"
"0","10003","10005","0","10006","50079","0","0","10001","0","10002"
"0","10003","10005","0","10006","50084","0","10007","10001","0","10002"
"0","10003","10005","0","10006","50094","10008","10007","10001","0","10002"
"0","10003","10005","10009","10006","50108","10008","10007","10001","0","10002"
"0","10003","10005","10009","10006","50116","10008","10007","10001","0","10002"
"0","10003","10005","10009","10006","50119","10008","10007","10001","10010","10002"
"0","10003","10005","10009","10006","50129","10008","10007","10001","10010","10002"
"10011","10003","10005","10009","10006","50140","10008","10007","10001","10010","10002"
"10012","10005","10006","10010","10007","50151","10009","10008","10002","10011","10003"
"0","10011","10012","0","10013","50162","0","0","10009","0","10010"
"0","10012","10013","0","10014","50172","0","0","10010","0","10011"
"0","10013","10014","0","10015","50183","0","0","10011","0","10012"
"0","10015","10007","0","10005","50190","0","0","10013","0","10014"
"0","10014","10015","0","10016","50195","0","0","10012","0","10013"
"0","10016","10003","0","10002","50200","0","0","10014","0","10015"
"0","10015","10016","0","10017","50217","0","0","10013","0","10014"
"0","10017","10010","0","10009","50231","0","0","10015","0","10016"
"0","10016","10017","0","10018","50237","0","0","10014","0","10015"
"0","0","0","0","0","50248","0","0","10019","0","0"
"0","0","0","0","0","50261","0","0","10011","0","0"
"0","0","0","0","0","50267","0","0","10020","0","0"
"0","0","0","0","0","50278","0","0","10021","0","0"
"0","0","0","0","0","50291","0","0","10006","0","0"
"0","0","0","0","0","50298","0","0","10022","0","0"
"0","0","0","0","0","50309","0","0","10023","0","0"
"0","0","0","0","0","50321","0","0","10024","0","0"
"0","0","0","0","0","50331","0","0","10025","0","0"
"0","0","0","0","0","50341","0","0","10026","0","0"
