ca5c5c04cca7e2a44f7ea4205acb5a42680f9d23cb263b0b0439e0b4e9bf2983,f3a95a422fac14e612ab616d57e6325e6b79579e7fbb6665330fdc9390948a01,98d15948bbdb6aa7f184d62c00264d8db27b76a2e362aae39b2dff32f9bb52a8,703dc69faad37a7de1752a56eab53ead6be65b65f7de2f1233836e23bfd0b013,e41e21b14efe9db613fb34d711e7459ec30f6bb9a2a1400224fcc720ff71bc36
"1045","1048","1","1037","1025"
"1006","1004","2","1062","1003"
"1006","1007","3","1029","1003"
"1062","1045","4","1025","1047"
"1022","1013","5","1003","1043"
"1019","1004","6","1048","1006"
"1003","1033","7","1037","1062"
"1059","1053","8","1050","1056"
"1034","1011","9","1030","1001"
"1026","1023","10","1046","1063"
"1044","1038","11","1014","1020"
"1040","1049","12","1008","1017"
"1020","1044","13","1017","1023"
"1020","1038","14","1001","1017"
"1008","1048","15","1036","1030"
"1011","1038","16","1004","1044"
"1022","1011","17","1005","1043"
"1047","1016","18","1042","1046"
"1063","1028","19","1041","1014"
"1058","1055","20","1061","1052"
"1024","1001","21","1031","1025"
"1005","1063","22","1064","1024"
"1044","1000","23","1066","1040"
"1010","1038","24","1076","1000"
"1043","1019","25","1077","1003"
"1068","1069","26","1071","1070"
"1090","1091","27","1089","1092"
"1099","1100","28","1097","1098"
"1103","1104","29","1101","1102"
"1107","1108","30","1105","1106"
"1090","1091","31","1088","1089"
