61161c221ae0b97b5c12274a3b72ebe79fba124d1d8940fb248faf7ad45f3558,833d7b3108560d26924162cbd142ed40b7e8d1f5d9a6781fdda7a8b49913a5ff,a958887b4d70a91c5e7b9daa63dc541abde0e892738221ba45cac6be1e5dd56f,0b5b0682748b3ec9fdce12eaf1afdb35c3dd62f87594df94dcbea3c18100e12d,cbe7de1ba77b638c57ac1fbe142f5bc0a03d8f499cae1ab9b869de36e34d38d3,10d7f5f15733f6169678386f4b47a388470beddfc2424159ded367acf033629e,31a730851768787b4769d19012d7a336ba1b72ef7250b0fea1361c5c97e811af,d44fae412d7adf87782b0d4e51746ca06d68b788117e3294f316e3d00c4b5738,e105e5e04e37b1e6300fd9de20c12e56fb35c0b78703771e5521ed5fcb15c9f9,39c17dbf5a4eb82fb01e4d7a9085989dc1c978fe95cdd77ddd177f22f4b016d8,5446ffa8ef13aafd83ea075b78228ba5bec3010a4789bfba51d63f9f430eda6b,71663846c690f138204922901a2bcfa016d6ee1a11fc6131e6f4c96d0c618761,137ba5176901e02120c664471bac2402a40ad53fc4fd86abf2dc5ae7800d613f,9685ba6f1d1292359b975643363f2093852d0f1961667445a9f667035edb8514,aa88fc07e43343da4c952e38c061f12582f2c20f37c8cdd50e7e7661cbf373e4,4977dfee1216af0e0fa9bc6375bb8b33be83f39120f277a2cad674ae80e8fe67,c0cd1a5bc0f9abfe067a0f6fcf0497008bbf3216efb902dc5fe6c86737120aff,fd3aa1c54f79595181a9feae7429541cc3f5db425bf5151a1a82f56284603cb1,683d5daceca8db4788a542e2ea6c17ac841ab168d287d10d9d4c16c8724e598a
"90005","5","140001","32001","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"94002","10","25001","32001","1","12","0","0","2","4","8","1","2","1","200","0","140001","500000","91002"
"90005","15","140001","32001","1","2","94002","12","4","4","2","2","1","2","500","750000","140000","5","90008"
"94002","20","25001","32001","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32001","1","2","94002","12","4","4","2","2","1","2","500","750000","140000","5","90008"
"94002","30","25001","32001","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32001","1","2","94002","12","4","4","2","3","1","2","750","1000000","140000","5","90008"
"94002","40","25001","32001","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32001","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32001","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"90005","5","140001","32002","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"25001","10","140001","32002","1","2","94002","12","4","2","8","1","1","2","200","500000","21951","1","91002"
"90005","15","140001","32002","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","20","25001","32002","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32002","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","30","25001","32002","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32002","1","2","94002","12","4","4","2","3","1","2","1000","1000000","140000","5","90008"
"94002","40","25001","32002","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32002","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32002","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"90005","5","140001","32003","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"25001","10","140001","32003","1","2","94002","12","4","2","8","1","1","2","200","500000","21951","1","91002"
"90005","15","140001","32003","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","20","25001","32003","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32003","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","30","25001","32003","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32003","1","2","94002","12","4","4","2","3","1","2","1000","1000000","140000","5","90008"
"94002","40","25001","32003","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32003","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32003","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"90005","5","140001","32004","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"25001","10","140001","32004","1","2","94002","12","4","2","8","1","1","2","200","500000","21951","1","91002"
"90005","15","140001","32004","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","20","25001","32004","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32004","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","30","25001","32004","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32004","1","2","94002","12","4","4","2","3","1","2","1000","1000000","140000","5","90008"
"94002","40","25001","32004","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32004","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32004","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"90005","5","140001","32005","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"25001","10","140001","32005","1","2","94002","12","4","2","8","1","1","2","200","500000","21951","1","91002"
"90005","15","140001","32005","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","20","25001","32005","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32005","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","30","25001","32005","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32005","1","2","94002","12","4","4","2","3","1","2","1000","1000000","140000","5","90008"
"94002","40","25001","32005","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32005","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32005","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"90005","5","140001","32006","1","2","94002","12","4","4","2","1","1","2","500","500000","140000","10","90008"
"25001","10","140001","32006","1","2","94002","12","4","2","8","1","1","2","200","500000","21951","1","91002"
"90005","15","140001","32006","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","20","25001","32006","1","12","0","0","2","4","8","2","2","1","300","0","140001","750000","91002"
"90005","25","140001","32006","1","2","94002","12","4","4","2","2","1","2","700","750000","140000","5","90008"
"94002","30","25001","32006","1","12","0","0","2","4","8","3","2","1","500","0","140001","750000","91002"
"90005","35","140001","32006","1","2","94002","12","4","4","2","3","1","2","1000","1000000","140000","5","90008"
"94002","40","25001","32006","1","12","0","0","2","4","2","4","2","1","1000","0","140001","1000000","90008"
"90005","45","140001","32006","1","2","94002","12","4","4","2","4","1","2","1250","2000000","140000","5","90008"
"94002","50","25001","32006","1","12","0","0","2","4","2","4","2","1","1500","0","140001","2000000","90008"
"94002","5","90005","32007","1","12","0","0","2","4","2","1","15","10","500","0","140001","500000","90008"
"25001","10","140001","32007","1","2","94002","12","4","2","8","1","1","5","100","500000","21951","1","91002"
"94002","15","90005","32007","1","12","0","0","2","4","2","2","15","5","1000","0","140001","750000","90008"
"94002","20","25001","32007","1","12","0","0","2","4","8","2","5","1","150","0","140001","750000","91002"
"94002","25","90005","32007","1","12","0","0","2","4","2","2","15","5","1500","0","140001","750000","90008"
"25001","30","140001","32007","1","2","94002","12","4","2","8","3","3000","5","250","750000","90008","1","91002"
"94002","35","90005","32007","1","12","0","0","2","4","2","3","15","5","3500","0","140001","1000000","90008"
"94002","40","25001","32007","1","12","0","0","2","4","2","4","5","1","4000","0","140001","1000000","90008"
"94002","45","90005","32007","1","12","0","0","2","4","2","4","15","5","4500","0","140001","2000000","90008"
"94002","50","25001","32007","1","12","0","0","2","4","2","4","5","1","5000","0","140001","2000000","90008"
"94002","5","90005","32008","1","12","0","0","2","4","2","1","15","10","500","0","140001","500000","90008"
"25001","10","140001","32008","1","2","94002","12","4","2","8","1","1","5","100","500000","21951","1","91002"
"94002","15","90005","32008","1","12","0","0","2","4","2","2","15","5","1000","0","140001","750000","90008"
"94002","20","25001","32008","1","12","0","0","2","4","8","2","5","1","150","0","140001","750000","91002"
"94002","25","90005","32008","1","12","0","0","2","4","2","2","15","5","1500","0","140001","750000","90008"
"25001","30","140001","32008","1","2","94002","12","4","2","8","3","3000","5","250","750000","90008","1","91002"
"94002","35","90005","32008","1","12","0","0","2","4","2","3","15","5","3500","0","140001","1000000","90008"
"94002","40","25001","32008","1","12","0","0","2","4","2","4","5","1","4000","0","140001","1000000","90008"
"94002","45","90005","32008","1","12","0","0","2","4","2","4","15","5","4500","0","140001","2000000","90008"
"94002","50","25001","32008","1","12","0","0","2","4","2","4","5","1","5000","0","140001","2000000","90008"
"94002","5","90005","32009","1","12","0","0","2","4","2","1","15","10","500","0","140001","500000","90008"
"25001","10","140001","32009","1","2","94002","12","4","2","8","1","1","5","100","500000","21951","1","91002"
"94002","15","90005","32009","1","12","0","0","2","4","2","2","15","5","1000","0","140001","750000","90008"
"94002","20","25001","32009","1","12","0","0","2","4","8","2","5","1","150","0","140001","750000","91002"
"94002","25","90005","32009","1","12","0","0","2","4","2","2","15","5","1500","0","140001","750000","90008"
"25001","30","140001","32009","1","2","94002","12","4","2","8","3","3000","5","250","750000","90008","1","91002"
"94002","35","90005","32009","1","12","0","0","2","4","2","3","15","5","3500","0","140001","1000000","90008"
"94002","40","25001","32009","1","12","0","0","2","4","2","4","5","1","4000","0","140001","1000000","90008"
"94002","45","90005","32009","1","12","0","0","2","4","2","4","15","5","4500","0","140001","2000000","90008"
"94002","50","25001","32009","1","12","0","0","2","4","2","4","5","1","5000","0","140001","2000000","90008"
"94002","5","90005","32010","1","12","0","0","2","4","2","1","15","10","500","0","140001","500000","90008"
"25001","10","140001","32010","1","2","94002","12","4","2","8","1","1","5","100","500000","21951","1","91002"
"94002","15","90005","32010","1","12","0","0","2","4","2","2","15","5","1000","0","140001","750000","90008"
"94002","20","25001","32010","1","12","0","0","2","4","8","2","5","1","150","0","140001","750000","91002"
"94002","25","90005","32010","1","12","0","0","2","4","2","2","15","5","1500","0","140001","750000","90008"
"25001","30","140001","32010","1","2","94002","12","4","2","8","3","3000","5","250","750000","90008","1","91002"
"90005","35","140001","32010","1","2","94002","12","4","2","18","3","3500","15","1","1000000","90008","5","4101401"
"94002","40","25001","32010","1","12","0","0","2","4","2","4","5","1","4000","0","140001","1000000","90008"
"90005","45","140001","32010","1","2","94002","12","4","2","18","4","4500","15","1","2000000","90008","5","4109401"
"94002","50","25001","32010","1","12","0","0","2","4","2","4","5","1","5000","0","140001","2000000","90008"
"94002","5","90005","32011","1","12","0","0","2","4","2","1","15","10","500","0","140001","500000","90008"
"25001","10","140001","32011","1","2","94002","12","4","2","8","1","1","5","100","500000","21951","1","91002"
"94002","15","90005","32011","1","12","0","0","2","4","2","2","15","5","1000","0","140001","750000","90008"
"94002","20","25001","32011","1","12","0","0","2","4","8","2","5","1","150","0","140001","750000","91002"
"94002","25","90005","32011","1","12","0","0","2","4","2","2","15","5","1500","0","140001","750000","90008"
"25001","30","140001","32011","1","2","94002","12","4","2","8","3","3000","5","250","750000","90008","1","91002"
"90005","35","140001","32011","1","2","94002","12","4","2","18","3","3500","15","1","1000000","90008","5","4301401"
"94002","40","25001","32011","1","12","0","0","2","4","2","4","5","1","4000","0","140001","1000000","90008"
"90005","45","140001","32011","1","2","94002","12","4","2","18","4","4500","15","1","2000000","90008","5","4303401"
