3358002d5eec553f7ab490ce7928984d8e10c4f0ac57427328d1fb16b5e5b437,f5b88d3cf8709c224b26d8f7b02e27ba1f8a92285ef50b6458d397c0dc4cbe07,963ff3dd027fe7f0986606cee2de805a2da46f493c239786901ac1d9b233c3fb,355e16a953e014d181dac751ce454cd26e2327f424de5f105c39ea6e5beed4c6,26b02e18a3347efb8eab3d0337d5c1e1f20dd16b29428c02168105781fd0cd91,705555538f9e8b20568c8f2eab54e0dbb49847a23d5ad837cb737298b107fe8e
"0","10036","0","5035004","5035005","0"
"0","10059","0","5058004","5058005","0"
"10062","10063","1006201","0","0","10062115"
"10084","10085","1008401","0","0","10084115"
"10086","10087","1008601","0","0","10086115"
"10110","10111","1011001","0","0","10110115"
"10112","10113","1011201","0","0","10112115"
"10136","10137","1013601","0","0","10136110"
"10138","10139","1013801","0","0","10138115"
"10164","10165","1016401","0","0","10164110"
"20033","20034","2003301","0","0","20033115"
"20046","20047","2004601","0","0","20046115"
"20059","20060","2005901","0","0","20059115"
