99db7451d32ad730a138f72efddbec2186ae6fd6fb8b38fddc7b754722822b34,e33e1b005d9751afcc99b69fb238cdbde61c5c188be35828a3c02c84ae7450ef,6fdf49c303e4e6842873c2ed0f85a8c94fafdb0c77effb0b93da489d59de8b4f,a2ddd0e2390b6eed361c2e3514153f4d09a875956bd4e3a96bea0d41c45ce2ea,0198143ce826a35a9a1acac926c33786846a6db72f0fc4a529119289d835fb2f
"1006201","-1","301","1006001","1006001"
"1006211","-1","301","1006011","1006011"
"1007202","-1","301","1007002","1007002"
"1007211","-1","301","1007011","1007011"
"1007212","-1","301","1007012","1007012"
"1008203","-1","261","1008003","1008003"
"1018203","-1","261","1018003","1018003"
"1018211","-1","261","1018011","1018011"
"1018212","-1","261","1018012","1018012"
"1022212","-1","261","1022012","1022012"
"1026211","-1","301","1026011","1026011"
"1028203","-1","261","1028003","1028003"
"1034203","-1","261","1034003","1034003"
"1037203","-1","261","1037003","1037003"
"1038202","-1","261","1038002","1038002"
"1038203","-1","261","1038003","1038003"
"1038212","-1","261","1038012","1038012"
"1045202","-1","301","1045002","1045002"
"1045212","-1","301","1045012","1045012"
"1046203","-1","261","1046003","1046003"
"1056202","-1","301","1056002","1056002"
"1056212","-1","301","1056012","1056012"
"1057203","-1","261","1057003","1057003"
"1063203","-1","261","1063003","1063003"
"1067203","-1","261","1067003","1067003"
"1071201","-1","301","1071001","1071001"
"1071211","-1","301","1071011","1071011"
"1071212","-1","261","1071012","1071012"
"1079202","-1","261","1079002","1079002"
"1079212","-1","261","1079012","1079012"
"1082202","-1","261","1082002","1082002"
"1082212","-1","261","1082012","1082012"
"1083212","-1","261","1083012","1083012"
"1084203","-1","261","1084003","1084003"
"1084213","-1","261","1084013","1084013"
"1085212","-1","261","1085012","1085012"
"1089202","-1","301","1089002","1089002"
"1089212","-1","301","1089012","1089012"
"1091202","-1","261","1091002","1091002"
"1091212","-1","261","1091012","1091012"
"1103202","-1","261","1103002","1103002"
"1103212","-1","261","1103012","1103012"
"1106202","-1","261","1106002","1106002"
"1106212","-1","261","1106012","1106012"
"1110202","-1","261","1110002","1110002"
"1110212","-1","261","1110012","1110012"
"1114202","-1","261","1114002","1114002"
"1114212","-1","261","1114012","1114012"
"1118212","-1","261","1118012","1118012"
"1119202","-1","301","1119002","1119002"
"1119212","-1","301","1119012","1119012"
"1122201","-1","261","1122001","1122001"
"1122202","-1","261","1122002","1122002"
"1122212","-1","261","1122012","1122012"
"1124202","-1","261","1124002","1124002"
"1124212","-1","261","1124012","1124012"
"1125202","-1","301","1125002","1125002"
"1125212","-1","301","1125012","1125012"
"1126212","-1","261","1126012","1126012"
"1129202","-1","261","1129002","1129002"
"1129212","-1","261","1129012","1129012"
"1134202","-1","261","1134002","1134002"
"1134212","-1","261","1134012","1134012"
"1137212","-1","261","1137012","1137012"
"1138201","-1","261","1138001","1138001"
"1139203","-1","301","1139003","1139003"
"1141212","-1","261","1141012","1141012"
"1146202","-1","261","1146002","1146002"
"1146212","-1","261","1146012","1146012"
"1150202","-1","261","1150002","1150002"
"1150212","-1","261","1150012","1150012"
"1155203","-1","261","1155003","1155003"
"1156203","-1","261","1156003","1156003"
"1158203","-1","261","1158003","1158003"
"1158201","-1","261","1158101","1158101"
"1158211","-1","261","1158111","1158111"
"1160203","-1","261","1160003","1160003"
"1164203","-1","261","1164003","1164003"
"1166203","-1","261","1166003","1166003"
"1168203","-1","261","1168003","1168003"
"1170203","-1","261","1170003","1170003"
"1172203","-1","261","1172003","1172003"
"1176203","-1","261","1176003","1176003"
"1179203","-1","261","1179003","1179003"
"1190203","-1","261","1190003","1190003"
"1209203","-1","261","1209003","1209003"
"1211201","-1","261","1211001","1211001"
"1211202","-1","261","1211002","1211002"
"1211212","-1","261","1211012","1211012"
"1213202","-1","261","1213002","1213002"
"1215203","-1","261","1215003","1215003"
"1701203","-1","261","1701003","1701003"
"1802202","-1","261","1802002","1802002"
"1802212","-1","261","1802012","1802012"
"1807202","-1","261","1807002","1807002"
"1807212","-1","261","1807012","1807012"
