e0611812926525483ab7570badc2bee27ebe803ed8a40e7ad069944b21f2d22c,be49cd01d35997fdc5c6bd4238d0e4b7c2d9c188526c79d7255989a285dc8226,2e1ec21bdff06f2081a749bf47a7159ccbac3e570266cf7e9244515fbb0c177f,b6c01d85ded99cb237bd9be7477c809952c785cefa40e048dd2f84b33f050668,54eaa10ed1b21859f460361011760e3750dc6830f2d19c4ba7a6359244a5be96,e77f0aaf8f106e6236bb7b34fd5b474119df88e885ead22e86c7df6a63dbfc2e,02161a207620524e3e3afe9c586b5759c0978791ba233ad28329b84cd623735c,edac60063f44dd919a3e2d46df6f00ceb66ee7c4a45eb846ee563c3acdbefaed,69b91f1612b599f43641426acc0de57f1a5cc78ffa9442f952cb1798c858ef77,906ccf984b7b648e5f0909c22528e6164ec679a8823f6b242a51e7ac8cab7f2c,2af12d590cc73ce58deb85b6843a853b1db4915c840a3fa438777225ba31858f
"","1082","イ","","","","","","","",""
"","1107","オ","","","","","","","",""
"","1176","","","","","","ツ","","",""
"","1189","ー","","","","","","","ル","ホ"
"","1192","ゥー","","","","","","","",""
"","1245","イ","","","","","","","",""
"","1250","","","","ゃさ","","","","ちそ",""
"ナイト","2013","ト","イトメ","トメア","ア","ナイア","ナ","ナメア","メ","イ"
"ランド","2014","ラ","ラドソ","ンドル","ル","ランル","ン","ドソル","","ソ"
"そるの","2015","と","そのと","るのと","う","そるう","る","そのう","",""
"るなう","2016","と","なのと","のとう","の","るなと","る","るのう","う","な"
"ひくう","2017","う","ひうて","くうて","","ひくて","く","ひてい","い",""
"ふゃ","2019","ゃ","しん","","ん","ふゃ","ふ","ふん","し",""
"むしわ","2020","し","むぎし","ぎしゅ","ぎ","ぎゅわ","ゅ","むゅわ","む","わ"
"","2031","","","S","","E","","","",""
"AE","2032","","","","","","","","",""
"","2033","","","","","A","","R","",""
"","2034","","","","","E","","I","",""
"","2036","","","","","UA","","R","",""
"Y","2037","","E","","","E","","L","",""
"I","2038","","V","","","E","","L","",""
"","2040","","","","","L","","I","",""
"","2041","","","","","","","A","",""
"","2042","","","Y","","","","","",""
"","2043","","","K","","","","A","",""
"","2045","","","","","","","A","",""
"","2046","","","Q","","","","R","",""
"","2047","","","","","A","","R","",""
"","2048","","","KQ","","","","A","",""
"","2049","","","","","B","","","",""
"T","2050","","","","","U","","A","",""
"P","2052","","","","","EI","","C","",""
"T","2053","","","","","I","","A","",""
"S","2054","","","","","","","","",""
"","2055","","","","","","","R","",""
"","2056","","","","","V","","","",""
"","2058","","","","","","","WU","",""
"","2059","","","R","","","","","",""
"","2060","","","R","","","","","",""
"","2062","","","","","","","S","",""
"S","2063","","S","","","A","","E","",""
"A","2064","","","","","","","A","",""
"S","2065","","","","","A","","","",""
"","2066","","","C","","","","","",""
"","2067","","","","","B","","","",""
"","2068","","","L","","I","","","",""
"","2069","","","C","","","","E","",""
"","2070","","D","","","E","","","",""
"I","2071","","N","","","A","","","",""
"A","2074","","","","","","","C","",""
"A","2077","","","","","","","A","",""
"","2092","","","","し","","ち","","",""
"ト","2130","","ム","フ","","ン","","ァ","",""
"","2200","聴言","","","聞聴","","か","","わ","視"
"","2201","","","","ビブ","","ー","","",""
"","2202","","","","ル","","","","",""
"","2216","飯","","","","","","","鯉","麦"
"","2261","ゅ","","","","","","","う","し"
"","2264","","","","","","ぅ","","",""
"","2266","ー","","","","","","","",""
"","2295","ふ","","","き","","ん","","く","ひ"
"","2313","","","","だ","","","","",""
"","3020","","","ル","","","","ナ","",""
"","3066","ェ","","","","","","","","フ"
"","3068","","","","","","","","","く"
"","3073","","","","","","","","が",""
"","3084","","","","生","","","","",""
"","3158","","","","ア","","","","",""
"","3165","","","","","","","","ひ",""
"","3187","","","","か","","","","",""
"","3191","","","","シス","","オ","","デ",""
"","3193","","","","さ","","ま","","",""
"","3195","","","ブ","","","","","",""
"","3222","","","","","","","","ス",""
"","3238","","","","ず","","","","",""
"","3271","","","","帰","","","","",""
"","3277","ク","","","","","","","",""
"","3318","","","","","","","","ア",""
"","4029","","","","し","","ち","","",""
"","4049","","","","","","X","","",""
"","4052","","","","た","","","","",""
"","4077","","","","さ","","","","",""
"","4154","","","","","","帯","","",""
"","4157","","","","","そ","","","",""
"","4167","","","","","い","","","",""
"","4171","","","二","","","","","",""
"倍","4194","","","","","","","小","",""
"約","4195","","","","","","","大","",""
"","4196","","","","","","","","底","高"
"","4197","","","半","","","","","",""
"","4203","","","","く","","","","",""
"","4220","","","","","","","","ウ",""
"","4222","ィ","","","","","","","",""
"","4247","","","","","","","","","セ"
"","5010","","","","","","","","ー",""
"","5011","","","","","","","","ワ",""
"ラモ","5030","","テカ","","","","","","",""
"オモ","5031","","レカ","","","","","","",""
"","5051","","","","","","","","ー",""
"","5066","お","","","ら","","","","か",""
"","5100","","","","","","","","ぶ",""
"じ","5109","","つ","み","","","","つ","",""
"タ","5140","","ー","カ","","ン","","ウ","",""
"","5147","","","","","","ロ","","",""
"","5160","","","","","","","","と",""
"戌酉子","5193","牛","卯戌子","卯辰戌","","戌卯辰","","戌酉卯","虎",""
"","6060","","","","","","ト","","",""
"","6065","","","","","","","","ほ",""
"","6157","","","","ィ","","","","",""
"","6188","","ト","","","","","","",""
"","6203","ン","","","","","","","ド","イ"
"","6216","","","","ジ","","ラ","","ク",""
"","6227","","","チ","","ウ","","ョ","",""
