4b02ca94560a8fe9206cf69596214546f0b7700218de26ef4ab3832e0cad139c,a029690f375621f547c66fc4c7e06bc0396270421125e5734ba21d9c432ec7e4,66e65f323f207444766b458c5e318cdb20ab13bd2743cf4d2f2d458b17569c84,4171ed5060e723f7611e820935d71f4e6eb60f783ae2e7f8d41a13c134dcdd43
"10000","1","1","ＨＰ"
"10000","1","2","物理攻撃力"
"10000","1","3","物理防御力"
"10000","1","4","魔法攻撃力"
"10000","1","5","魔法防御力"
"10000","1","6","物理クリティカル"
"10000","1","7","魔法クリティカル"
"1","0","8","回避"
"1","0","9","ＨＰ吸収"
"1","0","10","ＨＰ自動回復"
"1","0","11","ＴＰ自動回復"
"1","0","12","物理貫通ダメージ"
"1","0","13","魔法貫通ダメージ"
"1","0","14","ＴＰ上昇"
"1","0","15","回復量上昇"
"1","0","16","ＴＰ消費軽減"
"1","0","17","命中"
"100","1","100","物理クリティカルダメージ"
"100","1","101","魔法クリティカルダメージ"
"100","1","102","物理与ダメージ"
"100","1","103","魔法与ダメージ"
"10000","1","104","属性ボーナス"
