0fbd9f7d349b722da34986ac95a7b01cc9f77979d09f5ca400513427d51e801c,ada6e882aa1c37a8b360bc67ba0ec8754fb027989bb2caa03cdc9b30d9109cf1,14faa5963a0e4d4385fdcd9951c37976231e965684fda0559154dec4f6c34dd0,736657df9a7593719649114417a3716c373a791831d01815a6f32837de216371,08da3de956d1f00f44c8cdcdba1736bd9a9b5566a9c202429cf20ae794726731,f3931c3a5b9091465a8cb10e0940badfdfe20deb0f2a690876d3fb76fdb43130
"50000","1","2","26202","50000","1"
"10","1","2","90013","10","2"
"1","1","2","26203","0","3"
"55000","2","2","26202","55000","4"
"10","2","2","90013","10","5"
"1","2","2","26203","0","6"
"60000","3","2","26202","60000","7"
"10","3","2","90013","10","8"
"1","3","2","26203","0","9"
"65000","4","2","26202","65000","10"
"10","4","2","90013","10","11"
"1","4","2","26203","0","12"
"70000","5","2","26202","70000","13"
"10","5","2","90013","10","14"
"1","5","2","26203","0","15"
"75000","6","2","26202","75000","16"
"10","6","2","90013","10","17"
"1","6","2","26203","0","18"
"80000","7","2","26202","80000","19"
"10","7","2","90013","10","20"
"1","7","2","26203","0","21"
"85000","8","2","26202","85000","22"
"10","8","2","90013","10","23"
"1","8","2","26203","0","24"
"90000","9","2","26202","90000","25"
"20","9","2","90013","20","26"
"1","9","2","26203","0","27"
"95000","10","2","26202","95000","28"
"20","10","2","90013","20","29"
"1","10","2","26203","0","30"
"100000","11","2","26202","100000","31"
"20","11","2","90013","20","32"
"1","11","2","26203","0","33"
"105000","12","2","26202","105000","34"
"20","12","2","90013","20","35"
"1","12","2","26203","0","36"
