98f0dfa0fe006bf7798784048a7a0a0a9a473968233dd14df7a49b9d886b826c,f7409e71aa25c5f3649b62c37e51fea79f099af90aba900219368dd5fc2e95d0
"210000101","15000"
"211030101","2980"
"221010101","1500"
"221020101","1500"
"221030101","1500"
"221030102","1500"
"221050101","1500"
"221070101","1500"
"221080101","1500"
"221090101","1500"
"221100101","1500"
"221110101","1500"
"221120101","1500"
"221130101","1500"
"221140101","1500"
"221160101","1500"
"221160102","1500"
"221170101","1500"
"222020101","1500"
"222040101","1500"
"222050101","1500"
"222060101","1500"
"222070101","1500"
"222080101","1500"
"222090101","1500"
"222100101","1500"
"222110101","1500"
"222130101","1500"
"222130102","1500"
"222140101","1500"
"222160101","1500"
"222180101","1500"
"222190101","1500"
"222200101","1500"
"222210101","1500"
"222220101","1500"
"222230101","1500"
"222240101","1500"
"222250101","1500"
"222270101","1500"
"222270102","1500"
"222280101","1500"
"222290101","1500"
"222300101","1500"
"222320101","1500"
"222340101","1500"
"222350101","1500"
"222360101","1500"
"222370101","1500"
"222380101","1500"
"222390101","1500"
"222400101","1500"
"222410101","1500"
"222430101","1500"
"222430102","1500"
"222440101","1500"
"222470101","1500"
"222480101","1500"
"222490101","1500"
"233010101","1500"
"233050101","1500"
"234020101","500"
"234030101","500"
"240010101","15000"
