caaae0cb870dd4c5dcc2bf948cdea31740a6de4ec68c6c850dc4d1a073c63038,ed5bf5b3d1f642873d55d9d97a1bf8a993e48aed55d1486361ef9ca68b6c7681,f2b26b2238701c13cbf0f9d28117f2ea6bf7567fdc1983a12050ec71e3fc377c,baea66074db9ba3d3af01f5870e6e7194af9cdee07464d61d978a3334fcac31f,6d7dca41d9952f44a7cfa413393340278c7aa6515140dd8936378df9f6dac16f,a868e58afb7a4fb3e29bb3a60b469f2b9328c07e5c271061eae20e9da7336577,bb976d8771f2460bf7194c0af6a36fc8c0b96398be9be68e388f2053e73e0052,ce34dab865071050c0ae013fd6f443da5f94d97e94230bd9c2998d132c0e2f87,3ab7661f92447b30e7d03942de765fa6556985e4fc6c169b9838bce116df94f8,4f81ef8a90e3e19002f282b2ba0d17ea1757d9e3c7bb89320642ff42f019068e,60db27b1219c46e0c04c2c6284dd6427de5381005d7d5d479eb6271010d7236a,33872210b7eb4b4f95700b48028f2691371e5d681f8bf372d7467206527841e4,f9d520a5fd1356afcd3ff4bee5cccd43b69552a299aae7570267d65f5e9c9f6b,48204f89b0497758cedd79c20270fdad91e502fffa876c317135f9583b8b3fa6,e3fa3e44e242070665077bc9435efb6ce11da8280bb9293d38740ca0aeb54f38,ebe1b63ea59d397e5ecb66072616337cef53399d9c94cee1e768631c4f35b8b0,ebc4a4d6bd4ec8a793f5979b07b19cd3c836e566a232f02a1952ebd16a816f1b,cf0a8a51d8f878a2c45b47eaf4f108e5db3639d22744a9f31d0f0f4b36ecbf17
"1","0","10000","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"2","0","10000","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"3","0","10000","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"4","0","10000","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"5","0","10001","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"6","0","10001","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"7","0","10001","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"8","0","10001","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"9","0","10002","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"10","0","10002","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"11","0","10002","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"12","0","10002","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"13","0","10003","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"14","0","10003","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"15","0","10003","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"16","0","10003","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"17","0","10004","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"18","0","10004","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"19","0","10004","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"20","0","10004","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"21","0","10005","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"22","0","10005","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"23","0","10005","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"24","0","10005","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"25","0","10006","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"26","0","10006","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"27","0","10006","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"28","0","10006","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"29","0","10007","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"30","0","10007","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"31","0","10007","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"32","0","10007","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"33","0","10008","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"34","0","10008","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"35","0","10008","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"36","0","10008","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"37","0","10009","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"38","0","10009","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"39","0","10009","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"40","0","10009","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"41","0","10010","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"42","0","10010","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"43","0","10010","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"44","0","10010","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"45","0","10011","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"46","0","10011","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"47","0","10011","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"48","0","10011","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"49","0","10012","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"50","0","10012","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"51","0","10012","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"52","0","10012","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"53","0","10013","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"54","0","10013","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"55","0","10013","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"56","0","10013","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"57","0","10014","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"58","0","10014","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"59","0","10014","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"60","0","10014","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"61","0","10015","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"62","0","10015","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"63","0","10015","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"64","0","10015","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
"65","0","10016","1","0","0","0","0","0","0","8","0","0","0","91002","500","0","0"
"66","0","10016","2","0","0","0","0","0","0","8","0","0","0","91002","400","0","0"
"67","0","10016","3","0","0","0","0","0","0","8","0","0","0","91002","300","0","0"
"68","0","10016","4","0","0","0","0","0","0","8","0","0","0","91002","250","0","0"
