4d96e107575d20235e67ce6f3e4e2ca3b232f0d244a909789ee051e7a531f442,a1f5bf40783bce5bc764239fee5c0935df37825af0ef4ea6a5e1027bd0939bf1,4640337bc1174b3887041833d5130eb4c41507dda007a69b9530729d7318df84,d4bb224b63588ac405519a7dfa1f932a677efc2ba23cd4fe8ada7a1ee651b4b9,b6c82a452c86495fe1d07c678359bcf13c08197f4375e02de123e19d0aa4f817,64b395a46e4169315912eaed9486827e2608d2591ab2c7dcbeaf413e76cf9eeb,6e3f5267973291b02f8d865245fa3bf1fac47223a1ba8dbdb1e51685f6a084cb,e9bc375b048310eb4a84f499c9c15135272d27b231f861e4302e6e39022bf673,e3eede2e39ed8147952bce650dffd1ada0f5e7a0d53001d5a8b4544c321bf6ca
"1","1","30000","0","12000","90001","90043","10","10000"
"2","2","30000","0","24000","90002","90047","20","10000"
"3","3","30000","0","24000","90002","90047","20","10000"
"4","4","30000","0","24000","90002","90047","20","10000"
"5","5","30000","0","24000","90002","90047","20","10000"
"6","6","30000","0","24000","90002","90047","20","10000"
"7","7","30000","0","24000","90002","90047","20","10000"
"8","8","30000","0","24000","90002","90047","20","10000"
"9","9","30000","0","24000","90002","90047","20","10000"
"10","10","30000","0","24000","90002","90047","20","10000"
"11","11","30000","90011","48000","90003","90051","40","10000"
"12","12","30000","90011","48000","90003","90051","40","10000"
"13","13","30000","90011","48000","90003","90051","40","10000"
"14","14","30000","90011","48000","90003","90051","40","10000"
"15","15","30000","90011","48000","90003","90051","40","10000"
"16","16","30000","90011","48000","90003","90051","40","10000"
"17","17","30000","90011","48000","90003","90051","40","10000"
"18","18","30000","90011","48000","90003","90051","40","10000"
"19","19","30000","90011","48000","90003","90051","40","10000"
"20","20","30000","90011","48000","90003","90051","40","10000"
"21","21","30000","90015","72000","90004","90055","60","10000"
"22","22","30000","90015","72000","90004","90055","60","10000"
"23","23","30000","90015","72000","90004","90055","60","10000"
"24","24","30000","90015","72000","90004","90055","60","10000"
"25","25","30000","90015","72000","90004","90055","60","10000"
"26","26","30000","90015","72000","90004","90055","60","10000"
"27","27","30000","90015","72000","90004","90055","60","10000"
"28","28","30000","90015","72000","90004","90055","60","10000"
"29","29","30000","90015","72000","90004","90055","60","10000"
"30","30","30000","90015","72000","90004","90055","60","10000"
"31","31","30000","90015","96000","90005","90059","80","10000"
"32","32","30000","90015","96000","90005","90059","80","10000"
"33","33","30000","90015","96000","90005","90059","80","10000"
"34","34","30000","90015","96000","90005","90059","80","10000"
"35","35","30000","90015","96000","90005","90059","80","10000"
"36","36","30000","90015","96000","90005","90059","80","10000"
"37","37","30000","90015","96000","90005","90059","80","10000"
"38","38","30000","90015","96000","90005","90059","80","10000"
"39","39","30000","90015","96000","90005","90059","80","10000"
"40","40","30000","90015","96000","90005","90059","80","10000"
"41","41","30000","90017","144000","90005","90063","120","10000"
"42","42","30000","90017","144000","90005","90063","120","10000"
"43","43","30000","90017","144000","90005","90063","120","10000"
"44","44","30000","90017","144000","90005","90063","120","10000"
"45","45","30000","90017","144000","90005","90063","120","10000"
"46","46","30000","90017","144000","90005","90063","120","10000"
"47","47","30000","90017","144000","90005","90063","120","10000"
"48","48","30000","90017","144000","90005","90063","120","10000"
"49","49","30000","90017","144000","90005","90063","120","10000"
"50","50","30000","90017","144000","90005","90063","120","10000"
"51","51","30000","90019","180000","90006","90067","150","10000"
"52","52","30000","90019","180000","90006","90067","150","10000"
"53","53","30000","90019","180000","90006","90067","150","10000"
"54","54","30000","90019","180000","90006","90067","150","10000"
"55","55","30000","90019","180000","90006","90067","150","10000"
"56","56","30000","90019","180000","90006","90067","150","10000"
"57","57","30000","90019","180000","90006","90067","150","10000"
"58","58","30000","90019","180000","90006","90067","150","10000"
"59","59","30000","90019","180000","90006","90067","150","10000"
"60","60","30000","90019","180000","90006","90067","150","10000"
"61","61","30000","90021","216000","90007","90071","180","10000"
"62","62","30000","90021","216000","90007","90071","180","10000"
"63","63","30000","90021","216000","90007","90071","180","10000"
"64","64","30000","90021","216000","90007","90071","180","10000"
"65","65","30000","90021","216000","90007","90071","180","10000"
"66","66","30000","90021","216000","90007","90071","180","10000"
"67","67","30000","90021","216000","90007","90071","180","10000"
"68","68","30000","90021","216000","90007","90071","180","10000"
"69","69","30000","90021","216000","90007","90071","180","10000"
"70","70","30000","90021","216000","90007","90071","180","10000"
