ee1f27568daec2228c0ce275d31dcfe23525b313b122f3b46fc5032b4929f672,60aae2fe86d53ecc3e31ec8cd1d829b5f30722fa53180539ad338515e8479b11,21b875d758476d0d317b152f6fb1e846b9ca06897b01d7c4dc1692f7b9cef1b3,907e80b3c79d45c40ef705809aa05bca8e5f98d63f2401337c61f8d83f44ba0a,8e3c5b14f2ed1fa6065f108499e1b5d00090d7bd813867149efd9c190e44b6b5,1aeb254da9e06e4520b88739ad6b249134b998e3c374b503e8990422bf3ddbf4
"-1480","11","-1480","1","1","2816"
"-1302","21","-1400","1","1","2816"
"-1263","31","-1302","1","1","2816"
"-1224","41","-1263","1","1","2816"
"-1185","51","-1224","1","1","2816"
"-1146","61","-1185","1","1","2816"
"-1146","71","-1146","1","1","2816"
"-1146","81","-1146","1","1","2816"
"-1107","91","-1146","1","1","2816"
"-1068","101","-1107","1","1","2816"
"-1029","111","-1068","1","1","2816"
"-1029","121","-1029","1","1","2816"
"-1029","131","-1029","1","1","2816"
"-1029","141","-1029","1","1","2816"
"-988","151","-1029","1","1","2816"
"-947","161","-988","1","1","2816"
"-906","171","-947","1","1","2816"
"-865","181","-906","1","1","2816"
"-865","191","-865","1","1","2816"
"-865","201","-865","1","1","2816"
"-824","211","-865","1","1","2816"
"-783","221","-824","1","1","2816"
"-742","231","-783","1","1","2816"
"-701","241","-742","1","1","2816"
"-660","251","-701","1","1","2816"
"-619","261","-660","1","1","2816"
"-619","271","-619","1","1","2816"
"-619","281","-619","1","1","2816"
"-619","291","-619","1","1","2816"
"-578","301","-619","1","1","2816"
"-537","311","-578","1","1","2816"
"-496","321","-537","1","1","2816"
"-496","331","-496","1","1","2816"
"-496","341","-496","1","1","2816"
"-496","351","-496","1","1","2816"
"-455","361","-496","1","1","2816"
"-414","371","-455","1","1","2816"
"-373","381","-414","1","1","2816"
"-332","391","-373","1","1","2816"
"-332","401","-332","1","1","2816"
"-332","411","-332","1","1","2816"
"-200","421","-332","1","1","2816"
"-1181","431","-1246","2","2","2816"
"-1152","441","-1181","2","2","2816"
"-1152","451","-1152","2","2","2816"
"-1123","461","-1152","2","2","2816"
"-1094","471","-1123","2","2","2816"
"-1094","481","-1094","2","2","2816"
"-1065","491","-1094","2","2","2816"
"-1065","501","-1065","2","2","2816"
"-1036","511","-1065","2","2","2816"
"-1036","521","-1036","2","2","2816"
