c78691ebc7040d26062fd78705af6f54b1e5e85a1b2b968a6470ff31171b1e81,f4a75decc62597f3338b7b2d8c91824d89d267bbf2d81955d7b41d99a0590042,792a99a87b0fc8b757aa3c647720730fb2a2573924d12fc4cca5a9530acf4d68,87a7ca0589e5d788e32a5c7ec37f2621e6c80cc6dcd10e57b61f294e05dc5d95,1bce440b2b76671c84d1e41f86b9d49c720ec3f235547d28f62fca3e353b6ab0,b727845c6432fb726799c2ade843645695b16d3d1959bfbf477a5006b9a8edc2,fa87f23c516f8d9e014dd7fb40367782df44a85a5ef19e998ae0d6219759eed2,c6b0d7f89891e2ec51bd0e5ce64821fe90ca846e554987058a8ab50e157f5dfd,6d5d09a88ef9e9579a26ff67aebf8515dac4bcbc875bce1b7eb316bfcddc8d58,e7aa1b99a6b5cae01193d3902b9a4601410bd68a9b407fe5413a77c6c401abce,c9e4544223c382fa5083e7f2972b5493ce7aa6e14e7598f2d7301df99ce68a3b
"ttk_idle_def","850","1","1","5","100","102611","1","-120","1","1010001"
"","0","1","","31","0","2","2","1","1","1010002"
"","-80","1","","31","-120","1","1","1","1","1010003"
"","","1","","93","","","1","","","1010004"
"","0","1","","21","0","vo_minigame_1005_top_000","vo_minigame_1005","","","1010005"
"","0","1","0.3","3","ttk_idle_doya","ttk_doya","102611","1","0.3","1010006"
"","8","1","0","11","","任された仕事は\nきちんとやるよ","102611","","0","1010007"
"","","1","","91","","","0","","","1010008"
"ttk_idle_def","850","2","1","5","100","102611","1","-120","1","1020001"
"","0","2","","31","0","2","2","1","1","1020002"
"","-80","2","","31","-120","1","1","1","1","1020003"
"","","2","","93","","","1","","","1020004"
"","0","2","","21","0","vo_minigame_1005_top_001","vo_minigame_1005","","","1020005"
"","0","2","0.3","3","ttk_idle_def","ttk_idle_smile","102611","1","0.3","1020006"
"","8","2","0","11","","あたしの前に\n現れたこと\n後悔させてあげる","102611","","0","1020007"
"","","2","","91","","","0","","","1020008"
"ttk_idle_def","850","3","1","5","100","102611","1","-120","1","1030001"
"","0","3","","31","0","2","2","1","1","1030002"
"","-80","3","","31","-120","1","1","1","1","1030003"
"","","3","","93","","","1","","","1030004"
"","0","3","","21","0","vo_minigame_1005_top_002","vo_minigame_1005","","","1030005"
"","0","3","0.3","3","ttk_idle_joy","ttk_joy","102611","1","0.1","1030006"
"","8","3","0","11","","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","102611","","0","1030007"
"","","3","","93","","","2.2","","","1030008"
"","1","3","0.3","3","","ttk_talk_sad","102611","","0.3","1030009"
"","","3","","93","","","3","","","1030010"
"","1","3","0.3","3","","ttk_idle_def","102611","","0.3","1030011"
"","","3","","91","","","0","","","1030012"
"ttk_idle_def","850","4","1","5","100","102611","1","-120","1","1040001"
"","0","4","","31","0","2","2","1","1","1040002"
"","-80","4","","31","-120","1","1","1","1","1040003"
"","","4","","93","","","1","","","1040004"
"","0","4","","21","0","vo_minigame_1005_top_003","vo_minigame_1005","","","1040005"
"","0","4","0.3","3","ttk_idle_shock","ttk_shock","102611","1","0.3","1040006"
"","8","4","0","11","","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","102611","","0","1040007"
"","","4","","93","","","5","","","1040008"
"","1","4","0.3","3","","ttk_idle_def","102611","","0.3","1040009"
"","","4","","93","","","0.7","","","1040010"
"ttk_idle_def","850","5","1","5","100","102611","1","-120","1","1050001"
"","0","5","","31","0","2","2","1","1","1050002"
"","-80","5","","31","-120","1","1","1","1","1050003"
"","","5","","93","","","1","","","1050004"
"","0","5","","21","0","vo_minigame_1005_top_004","vo_minigame_1005","","","1050005"
"","0","5","0.3","3","","ttk_surprise","102611","","0.3","1050006"
"","8","5","0","11","","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","102611","","0","1050007"
"","","5","","93","","","0.9","","","1050008"
"","1","5","0.3","3","","ttk_talk_anger","102611","","0.3","1050009"
"","","5","","93","","","0.8","","","1050010"
"","0","5","0.3","3","ttk_talk_sad","ttk_sad","102611","1","0.3","1050011"
"","","5","","93","","","5","","","1050012"
"","1","5","0.3","3","","ttk_idle_def","102611","","0.3","1050013"
"","","5","","91","","","0","","","1050014"
"ttk_idle_def","850","6","1","5","100","102611","1","-120","1","1060001"
"","0","6","","31","0","2","2","1","1","1060002"
"","-80","6","","31","-120","1","1","1","1","1060003"
"","","6","","93","","","1","","","1060004"
"","0","6","","21","0","vo_minigame_1005_top_005","vo_minigame_1005","","","1060005"
"","1","6","0.3","3","","ttk_idle_worry","102611","","0.3","1060006"
"","8","6","0","11","","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","102611","","0","1060007"
"","","6","","93","","","7","","","1060008"
"","0","6","0.3","3","ttk_idle_def","ttk_amz","102611","1","0.3","1060009"
"","","6","","91","","","0","","","1060010"
