b69131e0f735a0e9e0c22eb07c6be591ee7eacdd9166b6db9911507251475f31,819b579f4e80c3bd332843bbb66e39b039d0591c86d97b3e335d8c208017076e,22c901a6923dfadbfd7bb40bcf3e3ddf788899281772ff9ef1150da0f5fb6b6b
"2","135801","138401"
"3","135801","138401"
"4","135801","138401"
"5","135801","138401"
"6","135801","138401"
"7","135801","138401"
"8","135801","138401"
"2","136001","138501"
"3","136001","138501"
"4","136001","138501"
"5","136001","138501"
"6","136001","138501"
"7","136001","138501"
"8","136001","138501"
"2","180701","118401"
"3","180701","118301"
"4","180701","118401"
"5","180701","118401"
"6","180701","118301"
"7","180701","118401"
"8","180701","118301"
"2","138901","141701"
"3","138901","141701"
"4","138901","141701"
"5","138901","141701"
"6","138901","141701"
"7","138901","141701"
"8","138901","141701"
"2","139001","141801"
"3","139001","141801"
"4","139001","141801"
"5","139001","141801"
"6","139001","141801"
"7","139001","141801"
"8","139001","141801"
"9","105701","170101"
"10","105701","170101"
"11","105701","170101"
"12","105701","170101"
"2","180801","120401"
"3","180801","120501"
"4","180801","120601"
"5","180801","120501"
"6","180801","120601"
"7","180801","120501"
"8","180801","120401"
"2","180901","121701"
"3","180901","121801"
"4","180901","121701"
"5","180901","121801"
"6","180901","121701"
"7","180901","121801"
"8","180901","121801"
"2","181001","124401"
"3","181001","124301"
"4","181001","124401"
"5","181001","124401"
"6","181001","124301"
"7","181001","124401"
"8","181001","124301"
"2","181101","128201"
"3","181101","128101"
"4","181101","128201"
"5","181101","128201"
"6","181101","128101"
"7","181101","128201"
"8","181101","128101"
