0021579a6419e2312c4e3d1caf466439ed13bdc4ac06ad4abd8c1dd413511111,a0cbf47eca4b3bb39641cef65352b653a70adceb0595487e0e4670432aa8d078,f15714e875302dedbb54a1a8ef9939532ef1da320561db09d2f0ab056902d446,ac20d00e663dd2a0b64577a1431a707191df01badcbeeaddb2423b7d64c609dc,da7399250bb56b5652e02fbeff19f17eab2bddd86a997a8871bfad65a0c5e5a6,4cca7897ccd51341f1d2710f04f4b3499e7c7c854d9e3d03b92cb9c0231fd583
"1","1","26202","50000","2","50000"
"2","1","90013","10","2","10"
"3","1","26203","1","2","0"
"4","2","26202","55000","2","55000"
"5","2","90013","10","2","10"
"6","2","26203","1","2","0"
"7","3","26202","60000","2","60000"
"8","3","90013","10","2","10"
"9","3","26203","1","2","0"
"10","4","26202","65000","2","65000"
"11","4","90013","10","2","10"
"12","4","26203","1","2","0"
"13","5","26202","70000","2","70000"
"14","5","90013","10","2","10"
"15","5","26203","1","2","0"
"16","6","26202","75000","2","75000"
"17","6","90013","10","2","10"
"18","6","26203","1","2","0"
"19","7","26202","80000","2","80000"
"20","7","90013","10","2","10"
"21","7","26203","1","2","0"
"22","8","26202","85000","2","85000"
"23","8","90013","10","2","10"
"24","8","26203","1","2","0"
"25","9","26202","90000","2","90000"
"26","9","90013","20","2","20"
"27","9","26203","1","2","0"
"28","10","26202","95000","2","95000"
"29","10","90013","20","2","20"
"30","10","26203","1","2","0"
"31","11","26202","100000","2","100000"
"32","11","90013","20","2","20"
"33","11","26203","1","2","0"
"34","12","26202","105000","2","105000"
"35","12","90013","20","2","20"
"36","12","26203","1","2","0"
