9f244497397e452063b96a38004bc539274e9a435bd5db1c273c352905396be4,f3443b7b5a257d2c1288eb7b20c3006b7c72a401643489794bd8fa5771ffbbac
"401702101","3000003"
"401702102","3000004"
"401702103","3000002"
"401702104","3000006"
"401702105","2000003"
"401702201","3000003"
"401702202","3000004"
"401702203","3000002"
"401702204","3000006"
"401702205","2000003"
"401702301","3000003"
"401702302","3000004"
"401702303","3000002"
"401702304","3000006"
"401702305","2000003"
"401702401","3000003"
"401702402","3000004"
"401702403","3000002"
"401702404","3000006"
"401702405","2000003"
"401702501","3000003"
"401702502","3000004"
"401702503","3000002"
"401702504","3000006"
"401702505","2000003"
"401702601","3000003"
"401702602","3000004"
"401702603","3000002"
"401702604","3000006"
"401702605","2000003"
"401702701","3000003"
"401702702","3000004"
"401702703","3000002"
"401702704","3000006"
"401702705","2000003"
"401703101","3000001"
"401703102","3000000"
"401703103","3000000"
"401703104","3000000"
"401703105","3000000"
"401703106","3000009"
"401703107","3000005"
"401703108","3000008"
"401703201","3000001"
"401703202","3000000"
"401703203","3000000"
"401703204","3000000"
"401703205","3000000"
"401703206","3000009"
"401703207","3000005"
"401703208","3000008"
"401703301","3000001"
"401703302","3000000"
"401703303","3000000"
"401703304","3000000"
"401703305","3000000"
"401703306","3000009"
"401703307","3000005"
"401703308","3000008"
"401703401","3000001"
"401703402","3000000"
"401703403","3000000"
"401703404","3000000"
"401703405","3000000"
"401703406","3000009"
"401703407","3000005"
"401703408","3000008"
"401703501","3000001"
"401703502","3000000"
"401703503","3000000"
"401703504","3000000"
"401703505","3000000"
"401703506","3000009"
"401703507","3000005"
"401703508","3000008"
"401703601","3000001"
"401703602","3000000"
"401703603","3000000"
"401703604","3000000"
"401703605","3000000"
"401703606","3000009"
"401703607","3000005"
"401703608","3000008"
"401703701","3000001"
"401703702","3000000"
"401703703","3000000"
"401703704","3000000"
"401703705","3000000"
"401703706","3000009"
"401703707","3000005"
"401703708","3000008"
"401704101","3000001"
"401704102","3000001"
"401704103","3000001"
"401704104","3000001"
"401704105","3000003"
"401704106","2000002"
"401704107","3000005"
"401704108","3000009"
"401704201","3000001"
"401704202","3000001"
"401704203","3000001"
"401704204","3000001"
"401704205","3000003"
"401704206","2000002"
"401704207","3000005"
"401704208","3000009"
"401704301","3000001"
"401704302","3000001"
"401704303","3000001"
"401704304","3000001"
"401704305","3000003"
"401704306","2000002"
"401704307","3000005"
"401704308","3000009"
"401704401","3000001"
"401704402","3000001"
"401704403","3000001"
"401704404","3000001"
"401704405","3000003"
"401704406","2000002"
"401704407","3000005"
"401704408","3000009"
"401704501","3000001"
"401704502","3000001"
"401704503","3000001"
"401704504","3000001"
"401704505","3000003"
"401704506","2000002"
"401704507","3000005"
"401704508","3000009"
"401704601","3000001"
"401704602","3000001"
"401704603","3000001"
"401704604","3000001"
"401704605","3000003"
"401704606","2000002"
"401704607","3000005"
"401704608","3000009"
"401704701","3000001"
"401704702","3000001"
"401704703","3000001"
"401704704","3000001"
"401704705","3000003"
"401704706","2000002"
"401704707","3000005"
"401704708","3000009"
"550105111","3000005"
"550105112","3000005"
"550105113","3000005"
"550105114","3000005"
"550105116","2000000"
"550105118","3000008"
"550105213","3000005"
"550105214","3000005"
"550105215","3000005"
"550105216","3000005"
"550105220","2000000"
"550105224","3000008"
"550105315","3000005"
"550105316","3000005"
"550105317","3000005"
"550105318","3000005"
"550105322","2000000"
"550105326","3000008"
"550105416","3000005"
"550105417","3000005"
"550105418","3000005"
"550105419","3000005"
"550105424","2000000"
"550105429","3000008"
"550105516","3000005"
"550105517","3000005"
"550105518","3000005"
"550105519","3000005"
"550105524","2000000"
"550105529","3000008"
