1797acdda97c96d572254851ba5c407e0b4cde9186275f1d95562ef3db43fbe0,93f64eaf5d3ac1bd8b14411ca1b6bf28b929f0689e11689dda53d3ca92d43596,ad97f81ec72460eaa4aa16a1c7a0e6ecc10d774a88a28b11e80cbeaf31f02959,22fee016e571f1c162ee134a058b369fb706aa4204899832ebafcaa0b7e42e6d,12126c464508df6f165b43ddef500da3750262d83aec05976246673e35e91d10,283e8b616de4886f610ab90ae0ad19f88816c2e71d55b88e9fb85c8442970cd1,96a24f1f080c863b606b48b0bcffacc7c56843c225211d9026fb7c4abd83f80b,f89ced7f075aa1085f18024f90785ff75e5ad9304e1ce19a09c0831d216901c7,127e8db22821924737daa6e7f26996aeda4671ea6f52989de6ae1c52c6404fda,09ed1a79d7ad6c7f3eb268d883f3f421dad1b2a7ff99177556cbae039ce41680
"2110001","1","0","0","パグ","0","バク","ハグ","0","バグ"
"2110003","1","0","0","手首","0","テクニック","テイク","0","テクノロジー"
"2110005","1","0","0","ゆきやけ","0","ふぶき","じひびき","0","なだれ"
"2110006","1","0","0","大理石","0","化石","黒曜石","0","磁石"
"2110007","1","0","0","ミスト","0","リバー","ガルフ","0","オーシャン"
"2110008","1","0","0","カットマーク","0","ラットマーク","バットマーク","0","アットマーク"
"2110010","1","0","0","建物の中の場所","0","太陽があたらない場所","いつもすずしい場所","0","太陽の日があたる場所"
"2110011","1","0","0","バレンタインデート","0","ダブルデート","ハッピーデート","0","アップデート"
"2110012","1","0","0","バリケード","0","ブルドーザー","オブリガード","0","ブリザード"
"2110014","1","0","0","火星","0","月","地球","0","太陽"
"2110016","1","0","0","新幹線","0","放物線","電話線","0","地平線"
"2110018","1","0","0","青歴史","0","白歴史","赤歴史","0","黒歴史"
"2110019","1","0","0","みそ","0","みりん","お酢","0","しょうゆ"
"2110021","1","0","0","顔","0","お腹","手のひら","0","背中"
"2110022","1","0","0","看板","0","ガラス板","ベニヤ板","0","鉄板"
"2110023","1","0","0","エンコード","0","プレスコード","バーコード","0","ドレスコード"
"2110024","1","0","0","まくおとし","0","だるまおとし","やくおとし","0","こけらおとし"
"2110025","1","0","0","ライン","0","コイル","ライス","0","コイン"
"2110026","1","0","0","パラソル","0","パラレル","ナチュラル","0","アパレル"
"2110028","1","0","0","薄塗り","0","ぼかし","上塗り","0","透かし"
"2110031","1","0","0","胃薬","0","風邪薬","塗り薬","0","目薬"
"2110032","1","0","0","石の上","0","のれん","馬の耳","0","ぬか"
"2110034","1","0","0","豆腐","0","なみだ","カナブン","0","金棒"
"2110035","1","0","0","サイダー","0","レモネード","コーラ","0","水"
"2110036","1","0","0","四度","0","一度","二度","0","三度"
"2110037","1","0","0","メガネ","0","髪の毛","手ぬぐい","0","たんこぶ"
"2110038","1","0","0","天国","0","光","極楽","0","闇"
"2110039","1","0","0","あんみつ","0","団子","ようかん","0","ぼた餅"
"2110040","1","0","0","あぶ","0","はえ","か","0","はち"
"2110041","1","0","0","猫","0","猿","羊","0","馬"
"2110042","1","0","0","土","0","風","火","0","水"
"2110043","1","0","0","水","0","寒","氷","0","冷"
"2110044","1","0","0","脇","0","韓","散","0","朝"
"2110045","1","0","0","生卵","0","生麦","生米","0","生姜"
"2110046","1","0","0","占星","0","先生","先制","0","宣誓"
"2110047","1","0","0","気性","0","気象","希少","0","起床"
"2110049","1","0","0","未","0","非","無","0","不"
"2110050","1","0","0","未","0","不","無","0","非"
"2110051","1","0","0","未","0","不","非","0","無"
"2110052","1","0","0","無","0","不","非","0","未"
"2110053","1","0","0","有名無実","0","馬耳東風","一日千秋","0","三日坊主"
"2110054","1","0","0","きつね","0","ねこ","いぬ","0","たぬき"
"2110056","1","0","0","あしのうら","0","くつひも","てぶくろ","0","たび"
"2110058","1","0","0","万 ","0","十","千","0","百"
"2110060","1","0","0","七","0","九","八","0","十"
"2111001","1","0","0","ハイテンション","0","ジャッジメント","アジテーション","0","ハッピーエンド"
"2111002","1","0","0","夢はスーパースター☆☆★","0","ちぇる～ん☆","やばいですね★","0","どるるるる～ん★"
