ad7d4ac509d2df97eccc96d29365c0f6747f84ed9548e8ca4a5fd7aa1703a78d,9617b535b115d1945e6ac40809c473f749e11ae28756d88946c85dc627bc7a7c,826417081b94047cbfdcf71e3f1fda09ea3ab2296ad5273c3d6923cc5cab64ae,0b53a5d08eb344c6d64c5f6b0ad4bddd81e4e5e504343f7455e7d54d72df5395,6209a470b2006f5f026ef291c8ec1397b4e839a230ab3818d0ad284c5c67351a,9369f230f1e0895a4c0331a07cfb31a34fdfc9e508a7b2efacdd6d9f1d0b33a9,315703c9814423321cb1ebc37ec838d1927964d36332dea0b9b84b80910706d4,6bb79f203581a6b58fb5a18ef24c6d0949dc7c74c6b03d6a5ed9cd7810dadc1c,a768d06f9397664131872277bcdbc4be0dd6ad7e3cf09d768429e909e2e48cf4,8a0a5a7cdc5e830b4b8d444f079cfb97cd7a07a35375ac150726d152659002e6,dca23a56693535a68e87d436154cd4ead19d3ebf8839fcc5c4fd8449d6b1e689,c8b64a9fd381a8a9e4b4f51d9721011cd88e828853f4b1baf1047c691e0d3099,09af59c24c0e15e7ce9dd9d0a38d05db51514e1f1b5fa7b06d2f40a55bf9a821,010a6816041ad99c1e968854379f89a1bc258cb131b43c180b7c1aa79dad7634,460653ac914dc0ae846005d029aef8e3f6a8f350fb89fcdd2c93669ad41eba14,8035e4f0858a8ee232745ab77400ce64e17321348b5c14f65c3d4fe035a26f65,5c2698c50bf75a0b03624fea92bf2da3450105edefa7c3abff61a068069c0302,2035eca899cc10ca1eb50f346928dcee9fcdcd81a6ec85ed9d0656473926b778,bd17d25e3830ac9469b6e35765db826cfbdde8ce5100dda5a82d97a9ed6104f0
"1","23001","0","0","20004","12","80","1","50","2","2","1002200","0","2000000","50","0","0","0","94002"
"2","23001","0","0","20004","12","80","51","40","2","2","1002200","0","1600000","100","0","0","0","94002"
"3","23001","0","0","20004","12","60","101","40","2","2","1002200","0","1400000","200","0","0","0","94002"
"4","23001","0","0","20004","12","60","201","35","2","2","1002200","0","1200000","500","0","0","0","94002"
"5","23001","0","0","20004","12","40","501","35","2","2","1002200","0","1000000","1000","0","0","0","94002"
"6","23001","0","0","20004","12","40","1001","30","2","2","1002200","0","800000","1500","0","0","0","94002"
"7","23001","0","0","20004","12","40","1501","25","2","2","1002200","0","600000","2000","0","0","0","94002"
"8","23001","0","0","20003","12","80","2001","25","2","2","1002200","0","600000","3000","0","0","0","94002"
"9","23001","0","0","20003","12","60","3001","20","2","2","1002200","0","400000","5000","0","0","0","94002"
"10","23001","0","0","20003","12","40","5001","15","2","2","1002200","0","300000","10000","0","0","0","94002"
"11","23001","0","0","20003","12","20","10001","10","2","2","1002200","0","200000","100000","0","0","0","94002"
"12","23001","0","0","20003","12","12","100001","5","2","2","1002200","0","100000","200000","0","0","0","94002"
"13","23001","0","0","20003","12","8","200001","5","2","2","1002200","0","80000","300000","0","0","0","94002"
"14","23001","0","0","20003","12","5","300001","5","2","2","1002200","0","60000","400000","0","0","0","94002"
"15","23001","0","0","20003","12","3","400001","5","2","2","1002200","0","50000","-1","0","0","0","94002"
