e5155e4bf567d84c7ef0129d3d71d65a770c88f051ab36e0f59438920322d5f0,8cbe28bc2aeba33c4201bf2ab1191f18f5f18ac6e8a61633b92d09b75e03e762,f7a26685396d1c0b89cb9d5986ee0a4a5863d81d7f86685f1c545330af8b4713,abf189bc92a0b07d26d5aaeaf4628c907f0d3920585aa8d81867d5ffb6e70ad2,d9618c4b944c71bb9819450146ea5f688b7ad56c5735b66f4d09b58802215f17,cdc1e4c1ee2057882c01183a8a8be16f328a673be7ae39a20f444930820e064a,90ca4864869587e01505c13533297190d596399ebcf07988bcc8468a6447f614,4518f48816917fd7cad2541c60f0e8c6f5b28a4ca560039900278a9849d8fe2e,404caf8e5fcbf713dc2c6b26971f1b496a4a2292c19478fa4951ee790d549c1a,51d35ed18496fe0446e1b98132fc35c2fa488fc720d26942ffc8343b1497704e
"1","0","","1","0","0","2","vo_10011600","vo_10011600_0101","1010001"
"2","0","　明日から","1","0","8","1","0","0","1010002"
"3","1","","1","1.625","0","4","0","0","1010003"
"4","0","聖テレサ女学院に通うことになっちゃった！","1","0","10","1","0","0","1010004"
"5","1","","1","4","0","4","0","0","1010005"
"6","0","","1","0","0","2","vo_10011600","vo_10011600_0102","1010006"
"7","0","　なんで、","1","0","8","1","0","0","1010007"
"8","1","","1","1.375","0","4","0","0","1010008"
"9","0","どうしてこんなことになっちゃったんだろう。\n","1","0","9","1","0","0","1010009"
"10","1","","1","3.33333333333333","0","4","0","0","1010010"
"11","0","","1","0","0","2","vo_10011600","vo_10011600_0103","1010011"
"12","0","ミサト先生は","1","0","8","1","0","0","1010012"
"13","1","","1","1.75","0","4","0","0","1010013"
"14","0","私ならきっとやれると言ってくれたけど……","1","0","10","1","0","0","1010014"
"15","1","","1","3","0","4","0","0","1010015"
"16","0","絶対ムリだー！\n","1","0","8","1","0","0","1010016"
"17","1","","1","3.875","0","4","0","0","1010017"
"18","0","","1","0","0","2","vo_10011600","vo_10011600_0104","1010018"
"19","0","でも。","1","0","8","1","0","0","1010019"
"20","1","","1","2.375","0","4","0","0","1010020"
"21","0","でも……","1","0","8","1","0","0","1010021"
"22","1","","1","2.5","0","4","0","0","1010022"
"23","0","","1","0","0","2","vo_10011600","vo_10011600_0105","1010023"
"24","0","でも、","1","0","8","1","0","0","1010024"
"25","1","","1","1.375","0","4","0","0","1010025"
"26","0","もしも、","1","0","8","1","0","0","1010026"
"27","1","","1","1.5","0","4","0","0","1010027"
"28","0","私が聖テレサ女学院で頑張ることが出来たら。\n\n","1","0","8","1","0","0","1010028"
"29","1","","1","4.875","0","4","0","0","1010029"
"30","0","","1","0","0","2","vo_10011600","vo_10011600_0106","1010030"
