36726386885f010e2febd96f43f72551eef6981abf342dce831dc4521fe730f7,51fefd911ae618b35e9bb1e89efa23dcfb3f9bef3346ef0bd9a26e520a381d5f,bd73e66755972d73e35a3f256bc0f8adebad2fb9cf7b87ed0ec92f3499701e55,6496fe337b1d7dde7ddb06e5ac3d744f5d05cd3e974b328aacdb096f09a9d764,385fe038509a4b96fc66f1e5ab59dec5348e351a341663473888ab82b23ba9c5,152279b99a464e60a677200bb5936591db17ec65a37e3e380b78a07dbbac413f,07cee127139aa740f0c1686b3757b5fc8a77b397233658ca8110647f2fde9221,57640a5df0ee009578f8a3b512192f67028956b896be2f61d6d4614203b7e7cb,2d82e7aac9f32e53c49be35d6e07dce7c36792f17434181d47a3eb6ea852ce6a,06c5eccedb4ecd38d0bdf2b2e263a1191a0ba8c093fea58bf44386aedfccf6dd,21a2e73ce4efb3a29ac18ef8c5e13abfff66bd6ab99c0cb620bfccb120cc17b3
"1","ストーリーへ","2020/07/31 12:00:00","イベントスペシャルエピソード","1004601","10046","2020/08/31 11:59:59","5046601","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","5046601"
"2","ストーリーへ","2020/09/14 21:00:00","イベントスペシャルエピソード","1004801","10048","2020/09/30 11:59:59","5048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","0"
"3","ストーリーへ","2020/09/14 21:00:00","イベントスペシャルエピソード","1004802","10048","2020/09/30 11:59:59","5048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","0"
"4","ストーリーへ","2021/01/14 21:00:00","イベントスペシャルエピソード","1005601","10056","2021/01/31 11:59:59","5056","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","5056601"
"3","ストーリーへ","2021/02/28 12:00:00","イベントスペシャルエピソード","1006101","10061","2021/03/18 14:59:59","5061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061601"
"5","ストーリーへ","2021/03/14 21:00:00","イベントスペシャルエピソード","1006102","10061","2021/03/18 14:59:59","10061","","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061602"
"3","ストーリーへ","2021/03/18 15:00:00","イベントスペシャルエピソード","1006103","10061","2021/03/31 11:59:59","5061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061601"
"6","ストーリーへ","2021/04/30 12:00:00","ミニゲーム ストーリー解放","1006601","10066","2021/05/31 11:59:59","1004","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました","5027704"
"5","イベントへ","2021/07/14 21:00:00","イオからのコメント追加","1007001","10070","2021/07/18 14:59:59","10070","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。","5070601"
"1","ストーリーへ","2021/08/18 12:00:00","イベントスペシャルエピソード","1007301","10073","2021/08/31 11:59:59","5046601","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。","5046601"
