93c08d6dbc64e542a47666fc10477fd892869c3bb110151d35e6c673dfe823f5,ef7404f4d1393513aa5b7580fbef02947edc7a70dcb328d672d42757e316a5e1,1762dcdfa4e30dcfec2af14398afede71a62ddbde0f39d5f6fac083ecc6e17e6,51d0285f01aa7c947a2e4d55d92a35c0809a0de06a7d5d6e54024da9337cb14f,10b94fc51c76f4e8d33de966bc58c071061978c51ff58ad2601f4b5c7d66c8c4,d2c600b80c1937f8e8598733ba6325c7af06335ea35006e8eb61d080da850d50,023c8a4a250489caeddab94548dd95ebfb903a680d9cb33dc88232bfb2b5a54c,c6b533b6d47872cc3fd00875fbe3117c66fa670f5482d6f9fdb87e0c5305bf78,e04af7e8c82855280074475250960dd0b4d20248376911b6748ff7d35e9358e4,f85ce197402fc93b9169b591a42cdab9afae5b9d4094e3635334d4aa152d2065,4dbdbf0e4b89ede9f1976c2ba4f9c5eb42fd43c62a972696215b91ab525564b0,3971f580ef7c473e17ff8fbbd5346b342894e63813eb396fb9190425ebe741f4
"200","201","0","0","0","0","110111","4","110111","0","1","0"
"200","201","0","0","0","0","110121","4","110121","0","1","0"
"200","201","0","0","0","0","110211","4","110211","0","1","0"
"200","201","0","0","0","0","110221","4","110221","0","1","0"
"200","201","0","0","0","0","110311","4","110311","0","1","0"
"200","201","0","0","0","0","110321","4","110321","0","1","0"
"200","201","0","0","0","0","110411","4","110411","0","1","0"
"200","201","0","0","0","0","110421","4","110421","0","1","0"
"200","411","0","0","0","0","110511","6","110511","0","1","0"
"300","421","0","0","0","0","110521","6","110521","0","1","0"
"0","711","0","0","0","0","110711","3","110711","0","0","0"
"0","712","0","0","0","0","110712","3","110712","0","0","0"
"0","721","0","0","0","0","110721","4","110721","0","0","0"
"0","722","0","0","0","0","110722","4","110722","0","0","0"
"0","731","0","0","0","0","1500","1","110731","0","0","0"
"0","732","0","0","0","0","2000","1","110732","0","0","0"
"0","821","0","0","0","0","110811","3","110811","0","0","0"
"0","823","0","0","0","0","110812","4","110812","0","0","0"
"0","822","0","0","0","0","110813","3","110813","0","0","0"
"0","811","0","0","0","0","1000","1","110821","0","0","0"
"300","411","0","0","0","0","110911","6","110911","0","1","0"
"450","421","0","0","0","0","110921","6","110921","0","1","0"
"0","311","0","0","0","0","3000","1","111011","0","0","0"
"0","312","0","0","0","0","1000","1","111012","0","0","0"
"0","321","0","0","0","0","3000","1","111021","0","0","0"
"0","322","0","0","0","0","1000","1","111022","0","0","0"
"0","331","0","0","0","0","3000","1","111031","0","0","0"
"0","332","0","0","0","0","1000","1","111032","0","0","0"
"0","1011","0","0","0","0","2000","1","111111","0","0","0"
"0","1023","0","0","0","0","111121","3","111121","0","0","0"
"0","1022","0","0","0","0","111122","3","111122","0","0","0"
"0","1021","0","0","0","0","111123","3","111123","0","0","0"
"0","1111","0","0","0","0","2000","1","111211","0","0","0"
"111221","1121","0","0","0","0","111220","4","111221","0","4","0"
"111222","1122","0","0","0","0","111220","4","111222","0","4","0"
"111223","1123","0","0","0","0","111220","4","111223","0","4","0"
"400","411","0","0","0","0","111311","6","111311","0","1","0"
"600","421","0","0","0","0","111321","6","111321","0","1","0"
"500","411","0","0","0","0","111711","6","111711","0","1","0"
"750","421","0","0","0","0","111721","6","111721","0","1","0"
"131411","511","0","0","0","0","131411","3","131411","0","7","0"
"0","513","0","0","0","0","500","1","131412","0","0","0"
"0","911","0","0","0","0","131511","7","131511","0","0","0"
"0","912","0","0","0","0","500","1","131512","0","0","0"
"131611","611","0","0","0","0","2000","1","131611","0","7","0"
"0","612","0","0","0","0","500","1","131612","0","0","0"
"231411","512","0","0","0","0","231411","3","231411","0","7","0"
"0","513","0","0","0","0","500","1","231412","0","0","0"
"0","921","0","0","0","0","231511","7","231511","0","0","0"
"0","922","0","0","0","0","500","1","231512","0","0","0"
"0","0","0","0","0","0","231521","4","231521","0","0","0"
"231611","621","0","0","0","0","4000","1","231611","0","7","0"
"0","622","0","0","0","0","500","1","231612","0","0","0"
"0","0","0","0","0","0","0","8","231621","0","0","0"
"0","514","0","0","0","0","331411","3","331411","0","0","0"
"0","513","0","0","0","0","500","1","331412","0","0","0"
"0","931","0","0","0","0","331511","4","331511","0","0","0"
"0","932","0","0","0","0","500","1","331512","0","0","0"
"0","0","0","0","0","0","331521","4","331521","0","0","0"
"0","631","0","0","0","0","8000","1","331611","0","0","0"
"0","632","0","0","0","0","500","1","331612","0","0","0"
"0","0","0","0","0","0","0","8","331621","0","0","0"
