dce379ec8b0c6fdd64ab69be17158238e7591b21986593e550d531d3adc00872,d9be8f48ddd496ee7d2399b67ae196a569412e994cb221ad1722e1fa0ff42f25,14153e7a0d0afe04149b9270b7371b72ce714a6f43245f41141f9834dc83d14d,37aba501f67cf2354869f5d0e6072fcd2b601464852fead5500f2653347fdad3,0014c9c3c4fe83dee3da482b9aae2b553136ed88b636dfc956b25d2df25c0cc0,a36eafd46ef56110b1fe37df80912000b91803165a4a8a4bcbee38aacdb74edf,8cce3fb95965a5d40a5ab2d47d5f6d836512ea55e8e4fc851c6d4fd90c084721,96f751b2faddca6a976a36fe5ad12d8485cef8a0ca8b4f6afb8e2ce4bde4eea6,9a55bae501884832c3f0952a6234ba2ad2ce91003d749794224e7903824e2887,aec696fffcb3fcb425e13fe5bc21b50a2cf7106290929803fa5caf5a9f41f584,b4ff44a5d84036a6681819a5c690576df5b9c65aff268e9edae34485d9f56cbe
"101001","160","-420","0","100","1","1","5","101","-230","cgg_idle_normal"
"101002","1.6","375","1","100","105811","1","1","101","-230","cgg_idle_def"
"101003","1.6","490","1","101","106011","1","1","101","-230","cgg_idle_def"
"101004","0.1","1","0","1","1","1","6","101","1",""
"101005","0.1","1","0","1","1","105811","6","101","1",""
"101006","0.1","1","0","1","1","106011","6","101","1",""
"101007","","","","","0","0.2","93","101","",""
"101008","","0","","0","vo_minigame_1007_top_talk_1_001","vo_minigame_1007","21","101","",""
"101009","0","0","0","7","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","105811","11","101","0","0"
"101010","0.2","","","1","cgg_idle_surprise1","1","3","101","",""
"101011","0.2","cgg_talk_surprise_kira","0","0","cgg_surprise_kira","105811","3","101","1",""
"101012","","","","","0","2.1","93","101","",""
"101013","0.2","","","1","cgg_idle_surprise3","1","3","101","",""
"101014","0.2","","","1","cgg_talk_joy1","105811","3","101","",""
"101015","","","","","","101009","91","101","",""
"101016","0.2","","","1","cgg_idle_def","105811","3","101","",""
"101017","","0","","0","vo_minigame_1007_top_talk_1_002","vo_minigame_1007","21","101","",""
"101018","0","0","0","6","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","106011","11","101","0","0"
"101019","0.2","","","1","cgg_idle_reaction1","1","3","101","",""
"101020","0.2","","","1","cgg_talk_surprise1","106011","3","101","",""
"101021","","","","","0","2.1","93","101","",""
"101022","0.2","","","1","cgg_idle_nod","1","3","101","",""
"101023","0.2","","","1","cgg_talk_bitter","106011","3","101","",""
"101024","","","","","","101018","91","101","",""
"101025","","","","","0","0.5","93","101","",""
"101026","0.2","","","1","cgg_idle_normal","1","3","101","",""
"101027","0.2","","","1","cgg_idle_def","106011","3","101","",""
"101028","0.2","","","1","cgg_idle_joy2","105811","3","101","",""
"101029","0.2","","","1.4","10","105811","12","101","",""
"101030","","","","","0","3","93","101","",""
"101031","0.2","","","1","cgg_idle_def","105811","3","101","",""
"101032","0.2","","","1","cgg_talk_surprise_dere","106011","3","101","",""
"101033","0.2","","","1.4","8","106011","12","101","",""
"101034","","","","","0","3","93","101","",""
"101035","0.2","","","1","cgg_idle_def","106011","3","101","",""
"101036","0.2","cgg_idle_surprise1","0","0","cgg_surprise1","1","3","101","1",""
"101037","0.2","","","1.4","4","1","12","101","",""
"101038","","","","","0","3","93","101","",""
"101039","","","","","0","101026","101","101","",""
"101040","","","","","0.5","0","22","101","",""
"101041","0.1","1","0","1","1","1","6","101","0",""
"101042","0.1","1","0","1","1","105811","6","101","0",""
"101043","0.1","1","0","1","1","106011","6","101","0",""
"101044","","","","","0","0.1","93","101","",""
"101045","0","","","1","cgg_idle_normal","1","3","101","",""
"101046","0","","","1","cgg_idle_def","105811","3","101","",""
"101047","0","","","1","cgg_idle_def","106011","3","101","",""
"102001","160","-420","0","100","1","1","5","102","-230","cgg_idle_normal"
"102002","1.6","375","1","100","105911","1","1","102","-230","cgg_idle_def"
"102003","1.6","490","1","101","106411","1","1","102","-230","cgg_idle_def"
"102004","0.1","1","0","1","1","1","6","102","1",""
"102005","0.1","1","0","1","1","105911","6","102","1",""
"102006","0.1","1","0","1","1","106411","6","102","1",""
"102007","","","","","0","0.2","93","102","",""
