8f4e7d47fd9c9245e5c056018568669656fc817e7e4fc90baff4331d2160aa3b,aa9757625ef65a71aa60c798415109870c5e80b4cdad8f1900980fa6468a711f,1b9f3b827ceff47c022e42c7321e1f160eb02b4e1803bc6a4d0960023c8e0575,c587462eaeb580ae031bc2cf508a65db365e2055e49bb74421893b77b2887f39,d40eb0d2fcd7aa0fa25281cb4da32e8db871a29fe54a0df98768d0e292a01303,2a60d11788bdf52287c7a8aedf5824608ef7a6c61dae068866a36c5e1345b7e2,f0ec59ecae04f0504b7520891d23a5becbc88105b4e0e4b1372f02c56edab337
"9999999","0","1","50","0","50","1"
"9999999","0","2","80","0","20","2"
"2000","0","3","30","0","70","3"
"5000","30","3","40","0","30","4"
"10000","40","3","40","20","0","5"
"15000","40","3","30","30","0","6"
"20000","40","3","25","35","0","7"
"25000","40","3","20","40","0","8"
"30000","40","3","15","45","0","9"
"35000","40","3","10","50","0","10"
"40000","35","3","10","55","0","11"
"45000","35","3","5","60","0","12"
"50000","30","3","5","65","0","13"
"55000","30","3","0","70","0","14"
"60000","25","3","0","75","0","15"
"65000","20","3","0","80","0","16"
"70000","15","3","0","85","0","17"
"75000","10","3","0","90","0","18"
"80000","5","3","0","95","0","19"
"9999999","0","3","0","100","0","20"
