ed7b37e47230171da23b2998dcb72b3afe401f6b324426c909ce47272269f0cd,79c9ad4c7c017605f67a18f549f3f15c98558d58f7b0fbe01b15bcf350e84abf,156ddf7cab5f2f0cca93087ca92e583ff738d17f23a9b47b1182ffe953cc264e,fff6e2f5709be9024d0063c9752c2769d49202b09336ee15eecb498c9b4831a1,70bf2b1ef7b133010a192600766f060169265cc4a373d9858daf9e4654d06b31,d346066275ec0f47f4506c3b63ad414b46f3f4c2a870b22b4b9b33e2848ffa18,17db7970e92823840c73996dbc2463d017e494399051560fff6f5f87830cb6c3,72ff8ae6935115f7c74bd057d8e2dfb61e72735bc201996cd54274c3b5ab5109,e35357f52269b90d4d14042e6d2a4f0455e8456f2f4989542ac1d6a4c8ab567b,f7d5af76b218b30d149fd02aa86da594da625fbb31d5558da85e6500f2a153e7
"2","2","3000","vo_minigame_1013_icon_2_002_001","1000","vo_minigame_1013_icon_1_002_001","1","2","訓練はまだ\nここからですわ","調子が上がって\nきたなっ"
"2","2","3000","vo_minigame_1013_icon_2_003_001","5000","vo_minigame_1013_icon_1_003_001","2","2","クスクス、悪くない\n流れですわね","ほらほら、\nまだいけるだろ？"
"3","2","3000","vo_minigame_1013_icon_2_004_001","10000","vo_minigame_1013_icon_1_004_001","3","2","すばらしい\n記録ですわ","へへっ、おまえら\nやるじゃねえか！"
"3","3","3000","vo_minigame_1013_icon_2_005_001","10000","vo_minigame_1013_icon_1_005_001","4","2","乗りに乗って\nいますわね","あたしたちはまだ\n止まらねえぜ！"
"3","3","3000","vo_minigame_1013_icon_2_005_002","10000","vo_minigame_1013_icon_1_005_002","5","2","まだまだ行きます\nついてきなさい","見てろよ！\nマコト班の快進撃だ！"
"3","3","3000","vo_minigame_1013_icon_2_005_003","10000","vo_minigame_1013_icon_1_005_003","6","2","エリコ班の\n本領発揮ですわ！","うおぉぉっ！\n絶好調だぜ！"
"3","4","3000","vo_minigame_1013_icon_2_006_001","0","vo_minigame_1013_icon_1_006_001","7","2","ここからは\n前人未到の領域です！","どこまで行けるか\n楽しみだなっ！"
"4","5","1000","vo_minigame_1013_icon_2_007_001","1","vo_minigame_1013_icon_1_007_001","8","3","厄介でしたわ…","まだ諦めんなよっ"
"4","5","1000","vo_minigame_1013_icon_2_007_002","1","vo_minigame_1013_icon_1_007_002","9","3","油断大敵です","冷やっとしたぜ…！"
"4","5","1000","vo_minigame_1013_icon_2_007_003","1","vo_minigame_1013_icon_1_007_003","10","3","忌々しいっ…","弱音を吐くなっ"
"3","6","1500","vo_minigame_1013_icon_2_008_001","99","vo_minigame_1013_icon_1_008_001","11","4","大所帯ですわね","マコト班集合！"
"3","6","1500","vo_minigame_1013_icon_2_008_002","99","vo_minigame_1013_icon_1_008_002","12","4","エリコ班へようこそ","連携してくぞ！"
"6","8","3000","vo_minigame_1013_icon_2_020_001","0","vo_minigame_1013_icon_1_020_001","13","1","ナナカちゃんに\nお任せあれ","みんなに力を！"
"7","9","3000","vo_minigame_1013_icon_2_022_001","0","vo_minigame_1013_icon_1_022_001","14","1","はっはっは！\n任せろ！","任せてくれたまえ"
"8","10","3000","vo_minigame_1013_icon_2_023_001","0","vo_minigame_1013_icon_1_023_001","15","1","どんどんいくわよ","ほな、いきまひょか"
