299d2250c1734e6b91f5bcce459ea472e686292d678ee07b16ca72f9ce0f4d22,efaf4fcbfa0bbd6c32f9c9714f4967e744963f2a3f8bbb8078d9677855a1a9c7,34d22241a486392b5916de5225837052456ffe857fd9fb08e7ed9b3b30da3b84,c36a73d80b581dcec8d306b67d0a0daf08f803bef1b0cdb5c966f21e38bced4e,b685a12a12a7e47d7a0e2cd1ae33a6f0842112d5767e88a7ff629e49db46f139,7a490b1baab7f9247dd7f1abf10be69e071cb292cac3468e3d254fc93f965ec4
"10201","102010201","5201009","2","0","2"
"10201","102010202","5201010","2","0","3"
"10201","102010301","0","3","0","502510"
"10202","102020201","0","2","0","501220"
"10202","102020301","0","3","0","501201"
"10203","102030201","0","2","0","500801"
"10203","102030301","0","3","0","500031"
"10204","102040201","0","2","0","502360"
"10204","102040301","0","3","0","500030"
"10205","102050201","0","2","0","502170"
"10205","102050301","0","3","0","502080"
"10206","102060201","0","2","0","501030"
"10206","102060301","0","3","0","500160"
"10207","102070201","0","2","0","500690"
"10207","102070301","0","3","0","500163"
"10208","102080201","0","3","0","532300"
"10209","102090201","0","2","0","502460"
"10209","102090301","0","3","0","502290"
"10210","102100201","0","3","0","502080"
"10211","102110201","0","2","0","501460"
"10211","102110301","0","3","0","500037"
"10212","102120201","0","2","0","500341"
"10212","102120301","0","3","0","501470"
"10213","102130102","5213006","1","0","2"
"10213","102130103","5213010","1","0","3"
"10213","102130104","5213013","1","0","4"
"10213","102130301","0","3","0","502790"
"10214","102140201","0","2","0","502820"
"10214","102140301","0","3","0","502230"
"10215","102150102","5215007","1","0","2"
"10215","102150201","0","2","0","500194"
"10215","102150301","0","3","0","502830"
"10216","102160201","0","2","0","500361"
"10216","102160301","0","3","0","500360"
"10216","102160501","0","5","0","500140"
"10217","102170102","5217007","1","0","2"
"10217","102170201","0","2","0","502500"
"10217","102170301","0","3","0","502451"
"10218","102180201","0","2","0","500285"
"10218","102180301","0","3","0","501030"
"10219","102190201","0","2","0","502920"
"10219","102190301","0","3","0","501610"
