330017003bd8fdceca898d3f16f3dd96503b2a035187742417b9e2178cb2eb4d,e41f94cdd550626918fbe0c7cf8c55f8a191b4c6eaca59a611f3f4dba9503d2c,dc58055ee106d7e6e30c05eb8e9ba961dee5710232efdb1ddad8171b8ad2d80a,f9f23c2d750878a6ae5f78cd54fa13a1c16510348061bdd80cbd10b75e8e4a32,dbbe8a003097fe3af0d3a05a5a2f7d2ab6dc5fc028619fa9d0a7f1808a32cb1d,b2c2383272dc7bf2dfe6c429fd1daee4a18d1dcf5c0fcd064dfc9a69a55f318f,4a9596f045670366d1f4d0f60e77588a0bc7ee71c5ba574e6da49f5938e3ab9f,2e718a941be39ef523753d359f645c5941f535829ca4c99c57274cc338b1e226,479b0cfdf0b38fd0bf8cb886f49f0643af28cccabef1b40479bbc070b096a08a,64e6b1aeea5fc58654a8a91c676920bfbcf415e17b851f6820b810cc9813c66e,1866033337c1288b7cf0bc68e7f4528f81a23db8ced4f2156fe8f3e174f10d24,705f2ffb2b122eefb58a94a3814816d71a8ee38cc54752497b25dc29246c49b8,eaee0949adb9bd1f54163821b1c2b3bdca9278360ff04000cd9eec4af35be058,2954b2e261e7b7b95e6cb7c5ea091d80b94a84896c93de9e8141c8a40bf937a4,ac355dab43d09049ac0f240f1759564092a55f31fae3cfe28da70fd22013a04c,62660b5efb4ab3cff04464a8cdae3bd21ef2216fff37dccae07fd8bd22a798c7,aad387725667997698f016edcb032bef11d741420ba6bb54910544683101d9e9,ce4c815f2405bd4b04283744a0e540f16b11726849d76c2e3d914e5d17bce365
"1","20","94002","150","0","5","91002","5","2","2","0","0","22003","12","8","20003","150000","1"
"2","15","94002","145","0","9","91002","2","2","2","0","0","22003","12","8","20003","100000","6"
"3","11","94002","140","0","19","91002","5","2","2","0","0","22002","12","8","20003","80000","10"
"4","10","94002","130","0","29","91002","5","2","2","0","0","22002","12","8","20003","80000","20"
"5","9","94002","120","0","39","91002","4","2","2","0","0","22002","12","8","20003","70000","30"
"6","8","94002","110","0","49","91002","4","2","2","0","0","22002","12","8","20003","70000","40"
"7","7","94002","100","0","99","91002","3","2","2","0","0","22002","12","8","20003","60000","50"
"8","2","94002","80","0","499","91002","2","2","2","0","0","22002","12","8","20003","40000","100"
"9","7","94002","50","0","999","91002","1","2","2","0","0","22002","12","8","20002","20000","500"
"10","4","94002","20","0","4999","91002","3","2","2","0","0","22001","12","8","20002","16000","1000"
"11","3","94002","15","0","9999","91002","2","2","2","0","0","22001","12","8","20002","9000","5000"
"12","8","94002","10","0","11999","91002","1","2","2","0","0","22001","12","8","20001","4000","10000"
"13","7","94002","5","0","13999","91002","1","2","2","0","0","22001","12","8","20001","3000","12000"
"14","6","94002","4","0","14999","91002","1","2","2","0","0","22001","12","8","20001","2000","14000"
"15","5","94002","3","0","30000","91002","1","2","2","0","0","22001","12","8","20001","1800","15000"
