5cefbc383b5bc36be29a450d9373138b1afde4cf4c7f5b6e24ed37841c8a47e1,60842116ef78faca0a56188d71edd7cfb7cdad91d4fa02d67660af1d2e505ff2,c6549a0205a4cf4239641d193322d6c22437c5c29fe3fb9cadb1a965553d16a0,585dbbb12c0d9e5d48c474ef616c9460e8b09aea91181af1fa1751b1b9de6518,3801968e41d379009f8adeafb4f619c3d0a1fbefbc945dd2303ba1ae31cec7de
"135","1","1","1","300"
"425","2","1","1","-100"
"-100","3","2","1","125"
"375","4","2","1","-415"
"25","5","3","1","-50"
"-25","6","3","1","-300"
"-195","7","4","1","-335"
"105","8","4","1","-415"
"135","9","5","1","-160"
"345","10","6","1","-40"
"-230","11","7","1","90"
"230","12","8","1","-420"
"30","13","9","1","250"
"280","14","10","1","-245"
"-150","15","11","1","-110"
