b4f58c00acd9ff66c3b6d77da60eaa7a142cc4359dff138cf855b0fd396fccb9,657c62f65a454819ed139bc1deaf01ddd111ba9b5345732f2f6e42483a7e8754,b2907adc2c21a904a122213ef844a57db196fdc828c4609833f0d5421eade0df,161f58cb390e2a4de6e2251d87e2097db74491478b76a1b595969859ed4dde69,a5de320d078dea68a0861e6889ffd2e83b97fb6705e1f4a09dd23911d6ee2299,db34723ff1cb86072aa7cdcd62e65897656f671cc5a433a2ce71651fe7938ee8,9900ac73e139dd54dc2af726f79a1af2b52c6e348f9f248d3ea24f0f29fe61bb,f331a58d17adf1e4f996c09eb3a87ea18866f9b2b81483f6058454360806e716,3ca2d502e40c2453b9451a206660f7a8b8e0d4044b8817b537af3407ce38f5f7,f7cd418f2993defdf963b86ff47b138790eff0685108ed753bcbcd0831270b54,29856ce33e6ec1765f3c9ab744a26bbec7afc03d5636b85b06ab2931131bd5ca
"0","0","0","0","0","0","10002","50047","0","10003","10001"
"0","0","0","0","0","0","10002","50051","0","10003","10001"
"0","0","0","10004","0","0","10002","50061","0","10003","10001"
"0","0","0","10005","0","0","10002","50067","0","10003","10001"
"0","10006","0","10005","0","0","10002","50079","0","10003","10001"
"0","10006","0","10005","0","10007","10002","50084","0","10003","10001"
"0","10006","10008","10005","0","10007","10002","50094","0","10003","10001"
"0","10006","10008","10005","10009","10007","10002","50108","0","10003","10001"
"0","10006","10008","10005","10009","10007","10002","50116","0","10003","10001"
"0","10006","10008","10005","10009","10007","10002","50119","10010","10003","10001"
"0","10006","10008","10005","10009","10007","10002","50129","10010","10003","10001"
"10011","10006","10008","10005","10009","10007","10002","50140","10010","10003","10001"
"10012","10007","10009","10006","10010","10008","10003","50151","10011","10005","10002"
"0","10013","0","10012","0","0","10010","50162","0","10011","10009"
"0","10014","0","10013","0","0","10011","50172","0","10012","10010"
"0","10015","0","10014","0","0","10012","50183","0","10013","10011"
"0","10005","0","10007","0","0","10014","50190","0","10015","10013"
"0","10016","0","10015","0","0","10013","50195","0","10014","10012"
"0","10002","0","10003","0","0","10015","50200","0","10016","10014"
"0","10017","0","10016","0","0","10014","50217","0","10015","10013"
"0","10009","0","10010","0","0","10016","50231","0","10017","10015"
"0","10018","0","10017","0","0","10015","50237","0","10016","10014"
"0","0","0","0","0","0","0","50248","0","0","10019"
"0","0","0","0","0","0","0","50261","0","0","10011"
"0","0","0","0","0","0","0","50267","0","0","10020"
"0","0","0","0","0","0","0","50278","0","0","10021"
"0","0","0","0","0","0","0","50291","0","0","10006"
"0","0","0","0","0","0","0","50298","0","0","10022"
"0","0","0","0","0","0","0","50309","0","0","10023"
"0","0","0","0","0","0","0","50321","0","0","10024"
"0","0","0","0","0","0","0","50331","0","0","10025"
"0","0","0","0","0","0","0","50341","0","0","10026"
